time,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka]
2025-04-02T11:31:14+02:00,18420.000000,0.457764,0.407101
2025-04-02T11:31:15+02:00,60000.000000,1.373291,1.373291
2025-04-02T11:31:16+02:00,50000.000000,1.144409,1.144409
2025-04-02T11:31:17+02:00,60000.000000,1.373291,1.373291
2025-04-02T11:31:18+02:00,60000.000000,1.373291,1.373291
2025-04-02T11:31:19+02:00,60000.000000,1.144409,1.373291
2025-04-02T11:31:20+02:00,60000.000000,1.373291,1.373291
2025-04-02T11:31:21+02:00,53187.000000,1.373291,1.373291
2025-04-02T11:31:22+02:00,66813.000000,1.373291,1.373291
2025-04-02T11:31:23+02:00,60000.000000,1.373291,1.373291
2025-04-02T11:31:24+02:00,60000.000000,1.373291,1.373291
2025-04-02T11:31:25+02:00,50000.000000,1.373291,1.144409
2025-04-02T11:31:26+02:00,60000.000000,1.373291,1.373291
2025-04-02T11:31:27+02:00,60000.000000,1.144409,1.373291
2025-04-02T11:31:28+02:00,50000.000000,1.373291,1.144409
2025-04-02T11:31:29+02:00,60000.000000,1.373291,1.373291
2025-04-02T11:31:30+02:00,60000.000000,1.373291,1.373291
2025-04-02T11:31:31+02:00,70000.000000,1.373291,1.602173
2025-04-02T11:31:32+02:00,60000.000000,1.433229,1.433229
2025-04-02T11:31:33+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:31:34+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:31:35+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:31:36+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:31:37+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:31:38+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:31:39+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:31:40+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:31:41+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:31:42+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:31:43+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:31:44+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:31:45+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:31:46+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:31:47+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:31:48+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:31:49+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:31:50+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:31:51+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:31:52+02:00,50000.000000,1.239777,1.239777
2025-04-02T11:31:53+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:31:54+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:31:55+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:31:56+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:31:57+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:31:58+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:31:59+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:00+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:01+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:02+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:32:03+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:04+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:05+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:06+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:07+02:00,50000.000000,1.239777,1.239777
2025-04-02T11:32:08+02:00,60120.240481,1.739166,1.490713
2025-04-02T11:32:09+02:00,60180.541625,1.243507,1.492209
2025-04-02T11:32:10+02:00,60120.240481,1.490713,1.490713
2025-04-02T11:32:11+02:00,60120.240481,1.490713,1.490713
2025-04-02T11:32:12+02:00,50100.200401,1.490713,1.242261
2025-04-02T11:32:13+02:00,60120.240481,1.490713,1.490713
2025-04-02T11:32:14+02:00,70140.280561,1.490713,1.739166
2025-04-02T11:32:15+02:00,60120.240481,1.490713,1.490713
2025-04-02T11:32:16+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:17+02:00,60120.240481,1.739166,1.490713
2025-04-02T11:32:18+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:19+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:20+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:21+02:00,60120.240481,1.490713,1.490713
2025-04-02T11:32:22+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:23+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:24+02:00,60120.240481,1.490713,1.490713
2025-04-02T11:32:25+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:26+02:00,70070.070070,1.489221,1.737425
2025-04-02T11:32:27+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:28+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:29+02:00,60000.000000,1.735687,1.487732
2025-04-02T11:32:30+02:00,60060.060060,1.241018,1.489221
2025-04-02T11:32:31+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:32+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:33+02:00,60060.060060,1.737425,1.489221
2025-04-02T11:32:34+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:35+02:00,60060.060060,1.241018,1.489221
2025-04-02T11:32:36+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:37+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:38+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:39+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:40+02:00,60060.060060,1.737425,1.489221
2025-04-02T11:32:41+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:42+02:00,60060.060060,1.241018,1.489221
2025-04-02T11:32:43+02:00,59940.059940,1.486246,1.486246
2025-04-02T11:32:44+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:45+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:46+02:00,60000.000000,1.735687,1.487732
2025-04-02T11:32:47+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:48+02:00,60060.060060,1.489221,1.489221
2025-04-02T11:32:49+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:50+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:32:51+02:00,49950.049950,1.486246,1.238538
2025-04-02T11:32:52+02:00,60120.240481,1.242261,1.490713
2025-04-02T11:32:53+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:32:54+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:32:55+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:32:56+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:32:57+02:00,50050.050050,1.241018,1.241018
2025-04-02T11:32:58+02:00,59940.059940,1.486246,1.486246
2025-04-02T11:32:59+02:00,60060.060060,1.241018,1.489221
2025-04-02T11:33:00+02:00,49950.049950,1.486246,1.238538
2025-04-02T11:33:01+02:00,60060.060060,1.241018,1.489221
2025-04-02T11:33:02+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:33:03+02:00,50000.000000,1.239777,1.239777
2025-04-02T11:33:04+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:33:05+02:00,50000.000000,1.487732,1.239777
2025-04-02T11:33:06+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:33:07+02:00,60060.060060,1.241018,1.489221
2025-04-02T11:33:08+02:00,49950.049950,1.486246,1.238538
2025-04-02T11:33:09+02:00,60000.000000,1.239777,1.487732
2025-04-02T11:33:10+02:00,60000.000000,1.487732,1.487732
2025-04-02T11:33:11+02:00,60060.060060,1.489221,1.489221
