time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-02T11:31:13+02:00,0.065037,193.765625,,
2025-04-02T11:31:14+02:00,137.187144,237.167969,,
2025-04-02T11:31:15+02:00,138.710144,208.839844,,
2025-04-02T11:31:16+02:00,135.133295,206.972656,,
2025-04-02T11:31:17+02:00,138.322312,230.410156,,
2025-04-02T11:31:18+02:00,136.521056,209.261719,,
2025-04-02T11:31:19+02:00,136.672144,203.035156,,
2025-04-02T11:31:20+02:00,141.669928,233.839844,,
2025-04-02T11:31:21+02:00,136.414288,214.886719,,
2025-04-02T11:31:22+02:00,139.098505,226.179688,,
2025-04-02T11:31:23+02:00,141.557147,221.027344,,
2025-04-02T11:31:24+02:00,133.211818,194.519531,,
2025-04-02T11:31:25+02:00,134.561005,199.695312,,
2025-04-02T11:31:26+02:00,135.052163,202.917969,,
2025-04-02T11:31:27+02:00,134.157843,218.906250,,
2025-04-02T11:31:28+02:00,141.140909,186.847656,,
2025-04-02T11:31:29+02:00,135.640245,204.257812,,
2025-04-02T11:31:30+02:00,141.871695,219.320312,,
2025-04-02T11:31:31+02:00,138.110659,195.265625,,
2025-04-02T11:31:32+02:00,137.567538,211.207031,,
2025-04-02T11:31:33+02:00,133.233300,223.628906,,
2025-04-02T11:31:34+02:00,134.290064,195.773438,,
2025-04-02T11:31:35+02:00,137.681547,210.988281,,
2025-04-02T11:31:36+02:00,138.414475,222.199219,,
2025-04-02T11:31:37+02:00,133.935180,194.718750,,
2025-04-02T11:31:38+02:00,136.558693,200.613281,,
2025-04-02T11:31:39+02:00,136.364754,211.328125,,
2025-04-02T11:31:40+02:00,135.905327,216.597656,,
2025-04-02T11:31:41+02:00,135.930747,197.382812,,
2025-04-02T11:31:42+02:00,133.589251,196.531250,,
2025-04-02T11:31:43+02:00,135.019570,206.105469,,
2025-04-02T11:31:44+02:00,137.130000,209.644531,,
2025-04-02T11:31:45+02:00,138.793170,234.027344,,
2025-04-02T11:31:46+02:00,135.624371,202.417969,,
2025-04-02T11:31:47+02:00,135.328744,203.132812,,
2025-04-02T11:31:48+02:00,137.200705,222.886719,,
2025-04-02T11:31:49+02:00,136.402504,205.125000,,
2025-04-02T11:31:50+02:00,132.202452,201.324219,,
2025-04-02T11:31:51+02:00,136.807637,203.113281,,
2025-04-02T11:31:52+02:00,134.907701,208.964844,,
2025-04-02T11:31:53+02:00,136.502013,217.117188,,
2025-04-02T11:31:54+02:00,136.486160,219.046875,,
2025-04-02T11:31:55+02:00,133.915292,227.851562,,
2025-04-02T11:31:56+02:00,134.710754,216.613281,,
2025-04-02T11:31:57+02:00,134.783816,200.960938,,
2025-04-02T11:31:58+02:00,136.412286,208.164062,,
2025-04-02T11:31:59+02:00,133.168281,228.968750,,
2025-04-02T11:32:00+02:00,138.434280,202.574219,,
2025-04-02T11:32:01+02:00,137.771055,212.640625,,
2025-04-02T11:32:02+02:00,136.410625,220.578125,,
2025-04-02T11:32:03+02:00,136.608049,225.593750,,
2025-04-02T11:32:04+02:00,138.944003,219.242188,,
2025-04-02T11:32:05+02:00,139.641074,227.898438,,
2025-04-02T11:32:06+02:00,135.777003,219.312500,,
2025-04-02T11:32:07+02:00,138.402993,203.843750,,
2025-04-02T11:32:08+02:00,138.737593,208.019531,,
2025-04-02T11:32:09+02:00,140.661727,222.714844,,
2025-04-02T11:32:10+02:00,139.800873,213.000000,,
2025-04-02T11:32:11+02:00,141.209885,231.250000,,
2025-04-02T11:32:12+02:00,138.193659,203.570312,,
2025-04-02T11:32:13+02:00,136.164322,214.820312,,
2025-04-02T11:32:14+02:00,135.116293,199.582031,,
2025-04-02T11:32:15+02:00,136.609045,202.910156,,
2025-04-02T11:32:16+02:00,139.093026,227.941406,,
2025-04-02T11:32:17+02:00,135.303974,206.347656,,
2025-04-02T11:32:18+02:00,138.301717,229.929688,,
2025-04-02T11:32:19+02:00,134.764483,201.613281,,
2025-04-02T11:32:20+02:00,136.711408,204.816406,,
2025-04-02T11:32:21+02:00,140.403043,200.734375,,
2025-04-02T11:32:22+02:00,137.522040,213.718750,,
2025-04-02T11:32:23+02:00,136.431865,223.515625,,
2025-04-02T11:32:24+02:00,138.049655,197.875000,,
2025-04-02T11:32:25+02:00,138.676703,202.746094,,
2025-04-02T11:32:26+02:00,138.570648,231.382812,,
2025-04-02T11:32:27+02:00,140.407493,204.761719,,
2025-04-02T11:32:28+02:00,136.280072,206.414062,,
2025-04-02T11:32:29+02:00,140.898056,214.609375,,
2025-04-02T11:32:30+02:00,136.456458,233.808594,,
2025-04-02T11:32:31+02:00,139.648740,204.945312,,
2025-04-02T11:32:32+02:00,136.987333,214.796875,,
2025-04-02T11:32:33+02:00,135.059267,216.890625,,
2025-04-02T11:32:34+02:00,138.361616,234.460938,,
2025-04-02T11:32:35+02:00,138.325632,215.675781,,
2025-04-02T11:32:36+02:00,138.113170,204.558594,,
2025-04-02T11:32:37+02:00,140.072473,229.683594,,
2025-04-02T11:32:38+02:00,137.984524,203.757812,,
2025-04-02T11:32:39+02:00,136.853477,211.191406,,
2025-04-02T11:32:40+02:00,140.210402,219.726562,,
2025-04-02T11:32:41+02:00,136.495183,215.609375,,
2025-04-02T11:32:42+02:00,136.495974,219.617188,,
2025-04-02T11:32:43+02:00,137.251202,237.410156,,
2025-04-02T11:32:44+02:00,138.185737,211.503906,,
2025-04-02T11:32:45+02:00,137.944921,225.152344,,
2025-04-02T11:32:46+02:00,140.636768,201.398438,,
2025-04-02T11:32:47+02:00,136.632663,224.683594,,
2025-04-02T11:32:48+02:00,138.675703,205.843750,,
2025-04-02T11:32:49+02:00,134.534763,203.902344,,
2025-04-02T11:32:50+02:00,133.250410,232.101562,,
2025-04-02T11:32:51+02:00,137.176549,195.292969,,
2025-04-02T11:32:52+02:00,134.720687,195.687500,,
2025-04-02T11:32:53+02:00,135.200534,204.355469,,
2025-04-02T11:32:54+02:00,133.515551,205.214844,,
2025-04-02T11:32:55+02:00,135.344497,229.785156,,
2025-04-02T11:32:56+02:00,135.292840,232.433594,,
2025-04-02T11:32:57+02:00,132.468966,204.445312,,
2025-04-02T11:32:58+02:00,136.361309,216.500000,,
2025-04-02T11:32:59+02:00,133.186901,216.398438,,
2025-04-02T11:33:00+02:00,136.064411,199.101562,,
2025-04-02T11:33:01+02:00,135.309447,200.953125,,
2025-04-02T11:33:02+02:00,137.946834,205.402344,,
2025-04-02T11:33:03+02:00,133.241525,212.894531,,
2025-04-02T11:33:04+02:00,137.259122,220.113281,,
2025-04-02T11:33:05+02:00,132.295065,198.593750,,
2025-04-02T11:33:06+02:00,136.744647,196.500000,,
2025-04-02T11:33:07+02:00,133.332009,208.101562,,
2025-04-02T11:33:08+02:00,136.570101,229.953125,,
2025-04-02T11:33:09+02:00,137.824129,195.492188,,
2025-04-02T11:33:10+02:00,141.328994,228.394531,,
2025-04-02T11:33:11+02:00,138.168149,207.886719,,
2025-04-02T11:33:12+02:00,137.809015,213.058594,,
