time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-02T11:54:48+02:00,,,18.078324,1277.746094
2025-04-02T11:54:49+02:00,,,103.857373,1277.585938
2025-04-02T11:54:50+02:00,,,95.836065,1277.714844
2025-04-02T11:54:51+02:00,,,111.054099,1280.335938
2025-04-02T11:54:52+02:00,,,107.370125,1278.722656
2025-04-02T11:54:53+02:00,,,101.701192,1533.964844
2025-04-02T11:54:54+02:00,,,132.948270,1536.070312
2025-04-02T11:54:55+02:00,,,116.684978,1540.152344
2025-04-02T11:54:56+02:00,,,96.544967,1540.437500
2025-04-02T11:54:57+02:00,,,88.821822,1540.320312
2025-04-02T11:54:58+02:00,,,113.957208,1540.617188
2025-04-02T11:54:59+02:00,,,99.141333,1614.382812
2025-04-02T11:55:00+02:00,,,93.217814,1614.425781
2025-04-02T11:55:01+02:00,,,105.118595,1615.738281
2025-04-02T11:55:02+02:00,,,118.583720,1616.140625
2025-04-02T11:55:03+02:00,,,88.084053,1615.988281
2025-04-02T11:55:04+02:00,,,100.902887,1616.652344
2025-04-02T11:55:05+02:00,,,100.108673,1617.000000
2025-04-02T11:55:06+02:00,,,88.741622,1616.812500
2025-04-02T11:55:07+02:00,,,85.888195,1617.078125
2025-04-02T11:55:08+02:00,,,99.833128,1617.230469
2025-04-02T11:55:09+02:00,,,85.980591,1617.074219
2025-04-02T11:55:10+02:00,,,88.573162,1617.152344
2025-04-02T11:55:11+02:00,,,101.664227,1617.308594
2025-04-02T11:55:12+02:00,,,89.279162,1617.421875
2025-04-02T11:55:13+02:00,,,84.936463,1617.609375
2025-04-02T11:55:14+02:00,,,107.191041,1617.898438
2025-04-02T11:55:15+02:00,,,83.692638,1617.746094
2025-04-02T11:55:16+02:00,,,86.078335,1617.789062
2025-04-02T11:55:17+02:00,,,99.832286,1618.347656
2025-04-02T11:55:18+02:00,,,85.728112,1617.925781
2025-04-02T11:55:19+02:00,,,83.757299,1617.675781
2025-04-02T11:55:20+02:00,,,84.751871,1616.976562
2025-04-02T11:55:21+02:00,,,99.436669,1617.187500
2025-04-02T11:55:22+02:00,,,86.685398,1617.292969
2025-04-02T11:55:23+02:00,,,86.718796,1617.601562
2025-04-02T11:55:24+02:00,,,101.524639,1617.546875
2025-04-02T11:55:25+02:00,,,83.094015,1617.535156
2025-04-02T11:55:26+02:00,,,83.654858,1617.582031
2025-04-02T11:55:27+02:00,,,99.286327,1617.710938
2025-04-02T11:55:28+02:00,,,86.722450,1618.277344
2025-04-02T11:55:29+02:00,,,88.539720,1617.937500
2025-04-02T11:55:30+02:00,,,106.550030,1618.101562
2025-04-02T11:55:31+02:00,,,90.146289,1618.167969
2025-04-02T11:55:32+02:00,,,105.150378,1618.210938
2025-04-02T11:55:33+02:00,,,93.923950,1618.343750
2025-04-02T11:55:34+02:00,,,91.500515,1618.410156
2025-04-02T11:55:35+02:00,,,105.584730,1618.500000
2025-04-02T11:55:36+02:00,,,86.424800,1618.824219
2025-04-02T11:55:37+02:00,,,86.809402,1618.644531
2025-04-02T11:55:38+02:00,,,88.144453,1516.859375
2025-04-02T11:55:39+02:00,,,85.987588,1516.914062
2025-04-02T11:55:40+02:00,,,85.316413,1516.917969
2025-04-02T11:55:41+02:00,,,90.583614,1517.492188
2025-04-02T11:55:42+02:00,,,86.550892,1517.101562
2025-04-02T11:55:43+02:00,,,85.724287,1517.398438
2025-04-02T11:55:44+02:00,,,87.634619,1517.230469
2025-04-02T11:55:45+02:00,,,84.905265,1517.246094
2025-04-02T11:55:46+02:00,,,81.999705,1517.316406
2025-04-02T11:55:47+02:00,,,92.007690,1517.460938
2025-04-02T11:55:48+02:00,,,81.316667,1517.519531
2025-04-02T11:55:49+02:00,,,82.202013,1517.554688
2025-04-02T11:55:50+02:00,,,89.983501,1517.675781
2025-04-02T11:55:51+02:00,,,86.727522,1517.718750
2025-04-02T11:55:52+02:00,,,90.398280,1517.769531
2025-04-02T11:55:53+02:00,,,84.611994,1517.792969
2025-04-02T11:55:54+02:00,,,85.492268,1517.843750
2025-04-02T11:55:55+02:00,,,88.058971,1517.917969
2025-04-02T11:55:56+02:00,,,83.556410,1517.953125
2025-04-02T11:55:57+02:00,,,84.656018,1518.000000
2025-04-02T11:55:58+02:00,,,89.237938,1518.105469
2025-04-02T11:55:59+02:00,,,84.370473,1518.125000
2025-04-02T11:56:00+02:00,,,84.393556,1518.156250
2025-04-02T11:56:01+02:00,,,89.473495,1518.234375
2025-04-02T11:56:02+02:00,,,86.412332,1518.289062
2025-04-02T11:56:03+02:00,,,84.305903,1518.605469
2025-04-02T11:56:04+02:00,,,89.324503,1518.414062
