time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-04-02T13:06:36+02:00,51169.000000,33.445517,
2025-04-02T13:06:37+02:00,60000.000000,40.130816,
2025-04-02T13:06:38+02:00,51854.000000,40.130967,
2025-04-02T13:06:39+02:00,58146.000000,40.169229,
2025-04-02T13:06:40+02:00,60000.000000,33.474310,
2025-04-02T13:06:41+02:00,60000.000000,40.169472,
2025-04-02T13:06:42+02:00,60000.000000,40.170140,
2025-04-02T13:06:43+02:00,60000.000000,40.170281,
2025-04-02T13:06:44+02:00,60000.000000,43.454979,
2025-04-02T13:06:45+02:00,60000.000000,36.599186,
2025-04-02T13:06:46+02:00,60000.000000,40.074368,
2025-04-02T13:06:47+02:00,60000.000000,46.865602,
2025-04-02T13:06:48+02:00,66460.000000,40.170804,
2025-04-02T13:06:49+02:00,63540.000000,46.101935,
2025-04-02T13:06:50+02:00,58939.096267,40.210345,
2025-04-02T13:06:51+02:00,61099.796334,41.246779,
2025-04-02T13:06:52+02:00,70000.000000,40.571465,
2025-04-02T13:06:53+02:00,60000.000000,40.571224,
2025-04-02T13:06:54+02:00,60000.000000,47.332685,
2025-04-02T13:06:55+02:00,60656.000000,40.570849,
2025-04-02T13:06:56+02:00,69344.000000,40.571142,
2025-04-02T13:06:57+02:00,60000.000000,47.333521,
2025-04-02T13:06:58+02:00,70000.000000,40.571046,
2025-04-02T13:06:59+02:00,59760.956175,47.143537,
2025-04-02T13:07:00+02:00,60240.963855,40.734025,
2025-04-02T13:07:01+02:00,70000.000000,40.571975,
2025-04-02T13:07:02+02:00,60000.000000,40.969058,
2025-04-02T13:07:03+02:00,61196.000000,46.935420,
2025-04-02T13:07:04+02:00,68804.000000,40.571019,
2025-04-02T13:07:05+02:00,60000.000000,46.133862,
2025-04-02T13:07:06+02:00,70000.000000,41.770325,
2025-04-02T13:07:07+02:00,60000.000000,40.571260,
2025-04-02T13:07:08+02:00,60000.000000,47.332430,
2025-04-02T13:07:09+02:00,70000.000000,40.571516,
2025-04-02T13:07:10+02:00,60000.000000,40.570516,
2025-04-02T13:07:11+02:00,60000.000000,40.571286,
2025-04-02T13:07:12+02:00,66833.000000,47.332723,
2025-04-02T13:07:13+02:00,63167.000000,40.571020,
2025-04-02T13:07:14+02:00,59642.147117,43.504765,
2025-04-02T13:07:15+02:00,60362.173038,44.405239,
2025-04-02T13:07:16+02:00,70000.000000,40.571017,
2025-04-02T13:07:17+02:00,60000.000000,45.401042,
2025-04-02T13:07:18+02:00,60000.000000,42.503338,
2025-04-02T13:07:19+02:00,70000.000000,40.570855,
2025-04-02T13:07:20+02:00,60000.000000,47.333121,
2025-04-02T13:07:21+02:00,60000.000000,40.571347,
2025-04-02T13:07:22+02:00,70000.000000,40.570810,
2025-04-02T13:07:23+02:00,60000.000000,40.571876,
2025-04-02T13:07:24+02:00,60000.000000,46.202486,
2025-04-02T13:07:25+02:00,60000.000000,41.703246,
2025-04-02T13:07:26+02:00,70000.000000,40.571617,
2025-04-02T13:07:27+02:00,60000.000000,41.897773,
2025-04-02T13:07:28+02:00,60000.000000,46.006322,
2025-04-02T13:07:29+02:00,70000.000000,40.570378,
2025-04-02T13:07:30+02:00,60000.000000,47.333720,
2025-04-02T13:07:31+02:00,64773.000000,40.572042,
2025-04-02T13:07:32+02:00,65227.000000,40.571647,
2025-04-02T13:07:33+02:00,60000.000000,40.570940,
2025-04-02T13:07:34+02:00,60000.000000,47.333655,
2025-04-02T13:07:35+02:00,66541.000000,40.571134,
2025-04-02T13:07:36+02:00,63459.000000,40.571921,
2025-04-02T13:07:37+02:00,60000.000000,47.333035,
2025-04-02T13:07:38+02:00,68077.000000,40.552656,
2025-04-02T13:07:39+02:00,61923.000000,40.514542,
2025-04-02T13:07:40+02:00,60000.000000,44.175796,
2025-04-02T13:07:41+02:00,68361.000000,43.728045,
2025-04-02T13:07:42+02:00,61639.000000,40.571706,
2025-04-02T13:07:43+02:00,60000.000000,47.333061,
2025-04-02T13:07:44+02:00,70000.000000,40.571001,
2025-04-02T13:07:45+02:00,60000.000000,40.571983,
2025-04-02T13:07:46+02:00,60000.000000,47.332582,
2025-04-02T13:07:47+02:00,60000.000000,40.514209,
2025-04-02T13:07:48+02:00,70000.000000,40.476326,
2025-04-02T13:07:49+02:00,60000.000000,40.571862,
2025-04-02T13:07:50+02:00,60000.000000,40.571860,
2025-04-02T13:07:51+02:00,60000.000000,47.333114,
2025-04-02T13:07:52+02:00,65788.000000,40.571316,
2025-04-02T13:07:53+02:00,64212.000000,40.570408,
2025-04-02T13:07:54+02:00,60000.000000,40.570968,
2025-04-02T13:07:55+02:00,60000.000000,47.332565,
2025-04-02T13:07:56+02:00,70000.000000,40.571740,
2025-04-02T13:07:57+02:00,60000.000000,40.561511,
2025-04-02T13:07:58+02:00,60000.000000,47.266676,
2025-04-02T13:07:59+02:00,70000.000000,40.571304,
2025-04-02T13:08:00+02:00,60000.000000,40.532631,
2025-04-02T13:08:01+02:00,60000.000000,47.294996,
2025-04-02T13:08:02+02:00,70000.000000,40.572510,
2025-04-02T13:08:03+02:00,60000.000000,40.571312,
2025-04-02T13:08:04+02:00,60000.000000,47.332913,
2025-04-02T13:08:05+02:00,60000.000000,40.571515,
2025-04-02T13:08:06+02:00,70000.000000,40.571260,
2025-04-02T13:08:07+02:00,60000.000000,44.388308,
2025-04-02T13:08:08+02:00,66233.000000,43.515727,
2025-04-02T13:08:09+02:00,63767.000000,40.571178,
2025-04-02T13:08:10+02:00,60000.000000,45.574709,
2025-04-02T13:08:11+02:00,60000.000000,42.329351,
2025-04-02T13:08:12+02:00,70000.000000,40.571422,
2025-04-02T13:08:13+02:00,60000.000000,43.109520,
2025-04-02T13:08:14+02:00,60000.000000,44.795958,
2025-04-02T13:08:15+02:00,70000.000000,40.571573,
2025-04-02T13:08:16+02:00,50000.000000,40.571196,
2025-04-02T13:08:17+02:00,60000.000000,40.571548,
2025-04-02T13:08:18+02:00,60000.000000,36.391350,
2025-04-02T13:08:19+02:00,60000.000000,37.989239,
2025-04-02T13:08:20+02:00,54843.000000,40.571566,
2025-04-02T13:08:21+02:00,55157.000000,40.571064,
2025-04-02T13:08:22+02:00,60000.000000,40.570970,
2025-04-02T13:08:23+02:00,60000.000000,37.838099,
2025-04-02T13:08:24+02:00,60000.000000,36.542151,
2025-04-02T13:08:25+02:00,60000.000000,40.572495,
2025-04-02T13:08:26+02:00,60000.000000,40.571552,
2025-04-02T13:08:27+02:00,58977.000000,40.571747,
2025-04-02T13:08:28+02:00,51023.000000,40.571872,
2025-04-02T13:08:29+02:00,60000.000000,40.571434,
2025-04-02T13:08:30+02:00,60000.000000,35.639815,
2025-04-02T13:08:31+02:00,60000.000000,38.740122,
2025-04-02T13:08:32+02:00,60000.000000,40.572221,
2025-04-02T13:08:33+02:00,60000.000000,40.571975,
