time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-02T13:09:51+02:00,,,5.795638,1408.914062
2025-04-02T13:09:52+02:00,,,96.749919,1408.750000
2025-04-02T13:09:53+02:00,,,164.975897,1409.628906
2025-04-02T13:09:54+02:00,,,106.680515,1409.753906
2025-04-02T13:09:55+02:00,,,128.016843,1409.921875
2025-04-02T13:09:56+02:00,,,115.989743,1410.101562
2025-04-02T13:09:57+02:00,,,117.619694,1410.265625
2025-04-02T13:09:58+02:00,,,134.877273,1410.417969
2025-04-02T13:09:59+02:00,,,112.812680,1410.527344
2025-04-02T13:10:00+02:00,,,122.518549,1410.664062
2025-04-02T13:10:01+02:00,,,115.749060,1410.976562
2025-04-02T13:10:02+02:00,,,118.597026,1410.890625
2025-04-02T13:10:03+02:00,,,134.663620,1411.210938
2025-04-02T13:10:04+02:00,,,107.390088,1411.214844
2025-04-02T13:10:05+02:00,,,124.362103,1411.347656
2025-04-02T13:10:06+02:00,,,121.188118,1411.914062
2025-04-02T13:10:07+02:00,,,117.282034,1411.546875
2025-04-02T13:10:08+02:00,,,124.252623,1411.675781
2025-04-02T13:10:09+02:00,,,104.383096,1411.710938
2025-04-02T13:10:10+02:00,,,128.363146,1411.792969
2025-04-02T13:10:11+02:00,,,113.894372,1411.929688
2025-04-02T13:10:12+02:00,,,119.299513,1412.062500
2025-04-02T13:10:13+02:00,,,125.601753,1412.273438
2025-04-02T13:10:14+02:00,,,128.154427,1412.363281
2025-04-02T13:10:15+02:00,,,102.358543,1412.671875
2025-04-02T13:10:16+02:00,,,126.575796,1412.523438
2025-04-02T13:10:17+02:00,,,103.314137,1412.570312
2025-04-02T13:10:18+02:00,,,134.831598,1412.644531
2025-04-02T13:10:19+02:00,,,113.103699,1412.816406
2025-04-02T13:10:20+02:00,,,122.207216,1413.242188
2025-04-02T13:10:21+02:00,,,121.184371,1413.160156
2025-04-02T13:10:22+02:00,,,124.264310,1413.464844
2025-04-02T13:10:23+02:00,,,110.905099,1413.433594
2025-04-02T13:10:24+02:00,,,126.091129,1413.765625
2025-04-02T13:10:25+02:00,,,115.390220,1414.093750
2025-04-02T13:10:26+02:00,,,119.965339,1413.750000
2025-04-02T13:10:27+02:00,,,114.127153,1413.835938
2025-04-02T13:10:28+02:00,,,114.911237,1414.207031
2025-04-02T13:10:29+02:00,,,118.498009,1414.140625
2025-04-02T13:10:30+02:00,,,120.991567,1414.195312
2025-04-02T13:10:31+02:00,,,111.394296,1414.234375
2025-04-02T13:10:32+02:00,,,96.952726,1414.390625
2025-04-02T13:10:33+02:00,,,120.170946,1414.433594
2025-04-02T13:10:34+02:00,,,126.297269,1414.527344
2025-04-02T13:10:35+02:00,,,117.728961,1414.523438
2025-04-02T13:10:36+02:00,,,136.935613,1414.617188
2025-04-02T13:10:37+02:00,,,112.058230,1414.515625
2025-04-02T13:10:38+02:00,,,114.290607,1414.628906
2025-04-02T13:10:39+02:00,,,116.252000,1414.160156
2025-04-02T13:10:40+02:00,,,107.485387,1414.171875
2025-04-02T13:10:41+02:00,,,129.792831,1414.238281
2025-04-02T13:10:42+02:00,,,113.775627,1414.339844
2025-04-02T13:10:43+02:00,,,117.063985,1414.550781
2025-04-02T13:10:44+02:00,,,112.240751,1414.894531
2025-04-02T13:10:45+02:00,,,118.347183,1414.875000
2025-04-02T13:10:46+02:00,,,114.485467,1415.007812
2025-04-02T13:10:47+02:00,,,124.655629,1415.214844
2025-04-02T13:10:48+02:00,,,101.083606,1415.289062
2025-04-02T13:10:49+02:00,,,132.526613,1415.410156
2025-04-02T13:10:50+02:00,,,123.816642,1415.566406
2025-04-02T13:10:51+02:00,,,109.806529,1415.683594
2025-04-02T13:10:52+02:00,,,120.954351,1416.000000
2025-04-02T13:10:53+02:00,,,114.743212,1415.910156
2025-04-02T13:10:54+02:00,,,119.245985,1416.011719
2025-04-02T13:10:55+02:00,,,112.036950,1416.058594
2025-04-02T13:10:56+02:00,,,129.314260,1416.207031
2025-04-02T13:10:57+02:00,,,101.829005,1416.226562
2025-04-02T13:10:58+02:00,,,126.438735,1419.187500
2025-04-02T13:10:59+02:00,,,112.500868,1419.289062
2025-04-02T13:11:00+02:00,,,121.492144,1419.414062
2025-04-02T13:11:01+02:00,,,107.336605,1419.558594
2025-04-02T13:11:02+02:00,,,111.965026,1419.839844
2025-04-02T13:11:03+02:00,,,122.137048,1420.101562
2025-04-02T13:11:04+02:00,,,106.112773,1420.121094
2025-04-02T13:11:05+02:00,,,120.363023,1420.062500
2025-04-02T13:11:06+02:00,,,115.535334,1420.742188
2025-04-02T13:11:07+02:00,,,102.260673,1420.238281
2025-04-02T13:11:08+02:00,,,121.836312,1420.363281
