time,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka]
2025-04-02T13:16:16+02:00,39570.000000,1.012255,0.895303
2025-04-02T13:16:17+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:18+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:19+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:20+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:21+02:00,70000.000000,1.373291,1.602173
2025-04-02T13:16:22+02:00,60000.000000,1.602173,1.373291
2025-04-02T13:16:23+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:24+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:25+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:26+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:27+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:28+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:29+02:00,70000.000000,1.373291,1.602173
2025-04-02T13:16:30+02:00,60000.000000,1.373291,1.373291
2025-04-02T13:16:31+02:00,60000.000000,1.602173,1.373291
2025-04-02T13:16:32+02:00,60000.000000,1.376009,1.373291
2025-04-02T13:16:33+02:00,60000.000000,1.487732,1.471376
2025-04-02T13:16:34+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:35+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:36+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:37+02:00,70000.000000,1.487732,1.735687
2025-04-02T13:16:38+02:00,60000.000000,1.735687,1.487732
2025-04-02T13:16:39+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:40+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:41+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:42+02:00,70000.000000,1.487732,1.735687
2025-04-02T13:16:43+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:44+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:45+02:00,60000.000000,1.735687,1.487732
2025-04-02T13:16:46+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:47+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:48+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:49+02:00,60000.000000,1.239777,1.487732
2025-04-02T13:16:50+02:00,50000.000000,1.487732,1.239777
2025-04-02T13:16:51+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:52+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:53+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:54+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:55+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:16:56+02:00,70000.000000,1.487732,1.735687
2025-04-02T13:16:57+02:00,50000.000000,1.487732,1.239777
2025-04-02T13:16:58+02:00,50000.000000,1.239777,1.239777
2025-04-02T13:16:59+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:00+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:01+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:02+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:03+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:04+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:05+02:00,60000.000000,1.239777,1.487732
2025-04-02T13:17:06+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:07+02:00,50000.000000,1.487732,1.239777
2025-04-02T13:17:08+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:09+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:10+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:11+02:00,70000.000000,1.487732,1.735687
2025-04-02T13:17:12+02:00,50000.000000,1.487732,1.239777
2025-04-02T13:17:13+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:14+02:00,70000.000000,1.487732,1.735687
2025-04-02T13:17:15+02:00,60000.000000,1.735687,1.487732
2025-04-02T13:17:16+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:17+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:18+02:00,60000.000000,1.239777,1.487732
2025-04-02T13:17:19+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:20+02:00,60000.000000,1.735687,1.487732
2025-04-02T13:17:21+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:22+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:23+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:24+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:25+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:26+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:27+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:28+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:29+02:00,70000.000000,1.487732,1.735687
2025-04-02T13:17:30+02:00,60000.000000,1.735687,1.487732
2025-04-02T13:17:31+02:00,60000.000000,1.239777,1.487732
2025-04-02T13:17:32+02:00,60000.000000,1.735687,1.487732
2025-04-02T13:17:33+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:34+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:35+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:36+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:37+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:38+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:39+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:40+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:41+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:42+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:43+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:44+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:45+02:00,70000.000000,1.487732,1.735687
2025-04-02T13:17:46+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:47+02:00,60000.000000,1.735687,1.487732
2025-04-02T13:17:48+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:49+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:50+02:00,60000.000000,1.239777,1.487732
2025-04-02T13:17:51+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:52+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:53+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:54+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:55+02:00,50000.000000,1.487732,1.239777
2025-04-02T13:17:56+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:57+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:58+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:17:59+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:18:00+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:18:01+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:18:02+02:00,60000.000000,1.239777,1.487732
2025-04-02T13:18:03+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:18:04+02:00,50000.000000,1.487732,1.239777
2025-04-02T13:18:05+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:18:06+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:18:07+02:00,70000.000000,1.487732,1.735687
2025-04-02T13:18:08+02:00,50000.000000,1.487732,1.239777
2025-04-02T13:18:09+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:18:10+02:00,60000.000000,1.239777,1.487732
2025-04-02T13:18:11+02:00,50000.000000,1.487732,1.239777
2025-04-02T13:18:12+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:18:13+02:00,60000.000000,1.487732,1.487732
2025-04-02T13:18:14+02:00,60000.000000,1.239777,1.487732
