time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-04-02T13:19:27+02:00,27114.000000,68.828408,
2025-04-02T13:19:28+02:00,28140.000000,72.113994,
2025-04-02T13:19:29+02:00,30414.000000,77.103785,
2025-04-02T13:19:30+02:00,26562.000000,67.630858,
2025-04-02T13:19:31+02:00,30252.000000,77.932858,
2025-04-02T13:19:32+02:00,31146.000000,79.667769,
2025-04-02T13:19:33+02:00,31362.000000,81.018851,
2025-04-02T13:19:34+02:00,31158.000000,78.685164,
2025-04-02T13:19:35+02:00,29316.000000,75.246047,
2025-04-02T13:19:36+02:00,29880.000000,76.812074,
2025-04-02T13:19:37+02:00,31158.000000,79.283939,
2025-04-02T13:19:38+02:00,30900.000000,79.268586,
2025-04-02T13:19:39+02:00,30996.000000,80.143719,
2025-04-02T13:19:40+02:00,31398.000000,79.053641,
2025-04-02T13:19:41+02:00,31560.000000,81.172383,
2025-04-02T13:19:42+02:00,32040.000000,81.632979,
2025-04-02T13:19:43+02:00,31446.000000,81.940043,
2025-04-02T13:19:44+02:00,31728.000000,80.266544,
2025-04-02T13:19:45+02:00,32922.000000,83.552130,
2025-04-02T13:19:46+02:00,31500.000000,81.141677,
2025-04-02T13:19:47+02:00,32130.000000,81.679039,
2025-04-02T13:19:48+02:00,31374.000000,80.573608,
2025-04-02T13:19:49+02:00,31176.000000,79.652416,
2025-04-02T13:19:50+02:00,31410.000000,80.711787,
2025-04-02T13:19:51+02:00,30756.000000,79.299293,
2025-04-02T13:19:52+02:00,29034.000000,73.987084,
2025-04-02T13:19:53+02:00,31758.000000,80.389370,
2025-04-02T13:19:54+02:00,31806.000000,83.214359,
2025-04-02T13:19:55+02:00,32772.000000,82.347477,
2025-04-02T13:19:56+02:00,31194.000000,81.263618,
2025-04-02T13:19:57+02:00,29796.000000,75.824533,
2025-04-02T13:19:58+02:00,32988.000000,84.290453,
2025-04-02T13:19:59+02:00,32706.000000,83.383939,
2025-04-02T13:20:00+02:00,32616.000000,83.307116,
2025-04-02T13:20:01+02:00,31866.000000,81.893568,
2025-04-02T13:20:02+02:00,31272.000000,79.681059,
2025-04-02T13:20:03+02:00,31896.000000,82.538883,
2025-04-02T13:20:04+02:00,33660.000000,84.674569,
2025-04-02T13:20:05+02:00,32538.000000,83.629773,
2025-04-02T13:20:06+02:00,33228.000000,85.596448,
2025-04-02T13:20:07+02:00,33534.000000,85.458166,
2025-04-02T13:20:08+02:00,29616.000000,76.807870,
2025-04-02T13:20:09+02:00,33246.000000,85.611813,
2025-04-02T13:20:10+02:00,28296.000000,72.444310,
2025-04-02T13:20:11+02:00,29994.000000,77.330268,
2025-04-02T13:20:12+02:00,32202.000000,81.632369,
2025-04-02T13:20:13+02:00,33462.000000,85.534989,
2025-04-02T13:20:14+02:00,32526.000000,82.400601,
2025-04-02T13:20:15+02:00,31806.000000,82.523519,
2025-04-02T13:20:16+02:00,31950.000000,81.217524,
2025-04-02T13:20:17+02:00,32532.000000,84.582381,
2025-04-02T13:20:18+02:00,31374.000000,78.912827,
2025-04-02T13:20:19+02:00,33750.000000,86.272492,
2025-04-02T13:20:20+02:00,31224.000000,80.403197,
2025-04-02T13:20:21+02:00,32118.000000,82.431331,
2025-04-02T13:20:22+02:00,33720.000000,86.426139,
2025-04-02T13:20:23+02:00,32550.000000,82.584977,
2025-04-02T13:20:24+02:00,33372.000000,86.072752,
2025-04-02T13:20:25+02:00,33264.000000,84.812851,
2025-04-02T13:20:26+02:00,32646.000000,83.476127,
2025-04-02T13:20:27+02:00,33402.000000,85.089415,
2025-04-02T13:20:28+02:00,32112.000000,83.814149,
2025-04-02T13:20:29+02:00,32712.000000,83.168834,
2025-04-02T13:20:30+02:00,31728.000000,81.832109,
