time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-02T15:37:33+02:00,0.130282,188.539062,,
2025-04-02T15:37:34+02:00,63.744605,228.222656,,
2025-04-02T15:37:35+02:00,146.838290,228.250000,,
2025-04-02T15:37:36+02:00,141.203049,226.898438,,
2025-04-02T15:37:37+02:00,136.313567,239.175781,,
2025-04-02T15:37:38+02:00,137.907620,235.500000,,
2025-04-02T15:37:39+02:00,138.423544,245.902344,,
2025-04-02T15:37:40+02:00,133.772477,212.195312,,
2025-04-02T15:37:41+02:00,134.527162,217.562500,,
2025-04-02T15:37:42+02:00,133.416563,233.882812,,
2025-04-02T15:37:43+02:00,136.468922,209.519531,,
2025-04-02T15:37:44+02:00,136.205646,213.976562,,
2025-04-02T15:37:45+02:00,134.794968,221.957031,,
2025-04-02T15:37:46+02:00,134.858437,206.285156,,
2025-04-02T15:37:47+02:00,134.885159,215.847656,,
2025-04-02T15:37:48+02:00,133.751256,223.933594,,
2025-04-02T15:37:49+02:00,134.319755,208.328125,,
2025-04-02T15:37:50+02:00,134.554657,204.925781,,
2025-04-02T15:37:51+02:00,136.841093,224.835938,,
2025-04-02T15:37:52+02:00,134.494917,235.828125,,
2025-04-02T15:37:53+02:00,133.997738,201.621094,,
2025-04-02T15:37:54+02:00,133.762773,206.132812,,
2025-04-02T15:37:55+02:00,133.332513,229.414062,,
2025-04-02T15:37:56+02:00,131.919482,232.671875,,
2025-04-02T15:37:57+02:00,136.053907,209.433594,,
2025-04-02T15:37:58+02:00,134.867338,210.445312,,
2025-04-02T15:37:59+02:00,132.892633,228.656250,,
2025-04-02T15:38:00+02:00,140.293280,223.476562,,
2025-04-02T15:38:01+02:00,137.179942,207.003906,,
2025-04-02T15:38:02+02:00,135.859669,209.250000,,
2025-04-02T15:38:03+02:00,133.542175,219.933594,,
2025-04-02T15:38:04+02:00,137.832898,204.914062,,
2025-04-02T15:38:05+02:00,133.182091,236.636719,,
2025-04-02T15:38:06+02:00,137.603393,242.589844,,
2025-04-02T15:38:07+02:00,133.807847,204.480469,,
2025-04-02T15:38:08+02:00,137.618585,220.464844,,
2025-04-02T15:38:09+02:00,132.466407,215.488281,,
2025-04-02T15:38:10+02:00,139.927092,224.753906,,
2025-04-02T15:38:11+02:00,131.532908,206.128906,,
2025-04-02T15:38:12+02:00,134.508287,206.300781,,
2025-04-02T15:38:13+02:00,137.490769,206.500000,,
2025-04-02T15:38:14+02:00,134.149834,217.089844,,
2025-04-02T15:38:15+02:00,133.835871,227.523438,,
2025-04-02T15:38:16+02:00,135.225940,211.636719,,
2025-04-02T15:38:17+02:00,133.201118,224.273438,,
2025-04-02T15:38:18+02:00,134.923842,229.285156,,
2025-04-02T15:38:19+02:00,134.330606,203.039062,,
2025-04-02T15:38:20+02:00,133.474651,220.300781,,
2025-04-02T15:38:21+02:00,132.333817,218.589844,,
2025-04-02T15:38:22+02:00,136.656405,242.656250,,
2025-04-02T15:38:23+02:00,130.876450,211.628906,,
2025-04-02T15:38:24+02:00,134.312626,217.144531,,
2025-04-02T15:38:25+02:00,132.232525,220.652344,,
2025-04-02T15:38:26+02:00,133.936162,221.125000,,
2025-04-02T15:38:27+02:00,133.481062,239.394531,,
2025-04-02T15:38:28+02:00,133.040388,240.597656,,
2025-04-02T15:38:29+02:00,133.276878,210.308594,,
2025-04-02T15:38:30+02:00,135.029244,212.695312,,
2025-04-02T15:38:31+02:00,134.305389,219.910156,,
2025-04-02T15:38:32+02:00,136.825492,216.871094,,
2025-04-02T15:38:33+02:00,134.652040,217.886719,,
2025-04-02T15:38:34+02:00,131.944267,210.328125,,
2025-04-02T15:38:35+02:00,134.937436,222.933594,,
2025-04-02T15:38:36+02:00,134.906734,248.343750,,
2025-04-02T15:38:37+02:00,136.904557,205.710938,,
2025-04-02T15:38:38+02:00,134.467389,221.960938,,
2025-04-02T15:38:39+02:00,135.617799,249.605469,,
2025-04-02T15:38:40+02:00,133.082264,214.511719,,
2025-04-02T15:38:41+02:00,134.460747,215.449219,,
2025-04-02T15:38:42+02:00,135.496046,234.644531,,
2025-04-02T15:38:43+02:00,131.810150,205.578125,,
2025-04-02T15:38:44+02:00,134.168207,214.921875,,
2025-04-02T15:38:45+02:00,135.385938,230.218750,,
2025-04-02T15:38:46+02:00,135.915205,235.742188,,
2025-04-02T15:38:47+02:00,132.907541,209.019531,,
2025-04-02T15:38:48+02:00,137.015140,213.859375,,
