time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-02T16:00:32+02:00,0.870543,115.656250,,
2025-04-02T16:00:33+02:00,86.025805,278.062500,,
2025-04-02T16:00:34+02:00,147.896888,312.183594,,
2025-04-02T16:00:35+02:00,139.641124,289.277344,,
2025-04-02T16:00:36+02:00,139.931558,307.281250,,
2025-04-02T16:00:37+02:00,141.575202,300.679688,,
2025-04-02T16:00:38+02:00,137.363065,278.671875,,
2025-04-02T16:00:39+02:00,140.552626,292.042969,,
2025-04-02T16:00:40+02:00,138.995324,302.722656,,
2025-04-02T16:00:41+02:00,135.306523,284.804688,,
2025-04-02T16:00:42+02:00,136.752903,301.621094,,
2025-04-02T16:00:43+02:00,138.010871,282.933594,,
2025-04-02T16:00:44+02:00,137.788910,286.769531,,
2025-04-02T16:00:45+02:00,138.969283,310.230469,,
2025-04-02T16:00:46+02:00,136.648844,284.464844,,
2025-04-02T16:00:47+02:00,136.804968,310.082031,,
2025-04-02T16:00:48+02:00,134.529778,306.792969,,
2025-04-02T16:00:49+02:00,137.227859,293.304688,,
2025-04-02T16:00:50+02:00,135.617024,285.957031,,
2025-04-02T16:00:51+02:00,137.699511,294.265625,,
2025-04-02T16:00:52+02:00,137.520476,309.097656,,
2025-04-02T16:00:53+02:00,139.702652,277.203125,,
2025-04-02T16:00:54+02:00,135.929626,290.531250,,
2025-04-02T16:00:55+02:00,140.550237,305.644531,,
2025-04-02T16:00:56+02:00,133.359598,288.867188,,
2025-04-02T16:00:57+02:00,135.684759,289.781250,,
2025-04-02T16:00:58+02:00,137.188619,295.777344,,
2025-04-02T16:00:59+02:00,136.245234,300.402344,,
2025-04-02T16:01:00+02:00,135.612289,307.089844,,
2025-04-02T16:01:01+02:00,137.660590,292.480469,,
2025-04-02T16:01:02+02:00,132.582414,293.003906,,
2025-04-02T16:01:03+02:00,142.237791,294.019531,,
2025-04-02T16:01:04+02:00,137.795101,284.433594,,
2025-04-02T16:01:05+02:00,136.678777,304.910156,,
2025-04-02T16:01:06+02:00,133.790029,285.511719,,
2025-04-02T16:01:07+02:00,135.862032,288.187500,,
2025-04-02T16:01:08+02:00,138.718399,303.554688,,
2025-04-02T16:01:09+02:00,139.153838,274.417969,,
2025-04-02T16:01:10+02:00,140.354384,302.847656,,
2025-04-02T16:01:11+02:00,145.247986,296.664062,,
2025-04-02T16:01:12+02:00,137.958039,284.750000,,
2025-04-02T16:01:13+02:00,138.827902,298.214844,,
2025-04-02T16:01:14+02:00,141.845784,307.042969,,
2025-04-02T16:01:15+02:00,137.579755,278.941406,,
2025-04-02T16:01:16+02:00,136.458191,289.429688,,
2025-04-02T16:01:17+02:00,139.772639,306.191406,,
2025-04-02T16:01:18+02:00,140.743139,279.164062,,
2025-04-02T16:01:19+02:00,138.971519,294.859375,,
2025-04-02T16:01:20+02:00,137.667135,298.710938,,
