time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-04-02T16:00:35+02:00,50000.000000,31.919690,
2025-04-02T16:00:36+02:00,60000.000000,39.193503,
2025-04-02T16:00:37+02:00,60000.000000,40.169147,
2025-04-02T16:00:38+02:00,60000.000000,40.169242,
2025-04-02T16:00:39+02:00,50000.000000,40.169633,
2025-04-02T16:00:40+02:00,60000.000000,33.446090,
2025-04-02T16:00:41+02:00,60000.000000,40.122414,
2025-04-02T16:00:42+02:00,50000.000000,40.170119,
2025-04-02T16:00:43+02:00,60000.000000,33.475978,
2025-04-02T16:00:44+02:00,60000.000000,40.170221,
2025-04-02T16:00:45+02:00,60000.000000,40.169996,
2025-04-02T16:00:46+02:00,50000.000000,40.170444,
2025-04-02T16:00:47+02:00,60000.000000,35.427192,
2025-04-02T16:00:48+02:00,60000.000000,43.698614,
2025-04-02T16:00:49+02:00,60000.000000,34.623723,
2025-04-02T16:00:50+02:00,60000.000000,40.227137,
2025-04-02T16:00:51+02:00,60000.000000,40.570987,
2025-04-02T16:00:52+02:00,60000.000000,47.313796,
2025-04-02T16:00:53+02:00,60000.000000,40.514089,
2025-04-02T16:00:54+02:00,60000.000000,38.940784,
2025-04-02T16:00:55+02:00,60000.000000,40.303503,
2025-04-02T16:00:56+02:00,60000.000000,35.707413,
2025-04-02T16:00:57+02:00,50000.000000,40.571334,
2025-04-02T16:00:58+02:00,60000.000000,37.858875,
2025-04-02T16:00:59+02:00,60000.000000,36.502446,
2025-04-02T16:01:00+02:00,50000.000000,40.514112,
2025-04-02T16:01:01+02:00,60000.000000,33.809772,
2025-04-02T16:01:02+02:00,50000.000000,40.571942,
2025-04-02T16:01:03+02:00,60000.000000,40.571707,
2025-04-02T16:01:04+02:00,60000.000000,40.571485,
2025-04-02T16:01:05+02:00,60000.000000,40.571521,
2025-04-02T16:01:06+02:00,60000.000000,38.202121,
2025-04-02T16:01:07+02:00,60000.000000,36.178857,
2025-04-02T16:01:08+02:00,60000.000000,40.570947,
2025-04-02T16:01:09+02:00,60000.000000,40.571720,
2025-04-02T16:01:10+02:00,60000.000000,40.571412,
2025-04-02T16:01:11+02:00,50000.000000,40.570998,
2025-04-02T16:01:12+02:00,60000.000000,33.809091,
2025-04-02T16:01:13+02:00,60000.000000,40.570427,
2025-04-02T16:01:14+02:00,60000.000000,40.571256,
2025-04-02T16:01:15+02:00,60000.000000,40.571248,
2025-04-02T16:01:16+02:00,60000.000000,40.570602,
2025-04-02T16:01:17+02:00,60000.000000,40.571035,
2025-04-02T16:01:18+02:00,60000.000000,40.571225,
2025-04-02T16:01:19+02:00,60000.000000,40.571792,
2025-04-02T16:01:20+02:00,60000.000000,40.571369,
2025-04-02T16:01:21+02:00,60000.000000,43.288934,
2025-04-02T16:01:22+02:00,60000.000000,44.595519,
2025-04-02T16:01:23+02:00,60000.000000,40.513860,
2025-04-02T16:01:24+02:00,60000.000000,40.571256,
2025-04-02T16:01:25+02:00,70000.000000,40.570687,
2025-04-02T16:01:26+02:00,60000.000000,40.570923,
2025-04-02T16:01:27+02:00,60000.000000,40.570735,
2025-04-02T16:01:28+02:00,60000.000000,40.571207,
2025-04-02T16:01:29+02:00,60000.000000,42.529471,
2025-04-02T16:01:30+02:00,60000.000000,45.298921,
2025-04-02T16:01:31+02:00,60000.000000,40.571662,
2025-04-02T16:01:32+02:00,60000.000000,40.571353,
2025-04-02T16:01:33+02:00,60000.000000,40.571826,
2025-04-02T16:01:34+02:00,60000.000000,40.571748,
2025-04-02T16:01:35+02:00,60000.000000,35.712025,
2025-04-02T16:01:36+02:00,60000.000000,45.364583,
2025-04-02T16:01:37+02:00,60000.000000,40.561030,
2025-04-02T16:01:38+02:00,60000.000000,33.771090,
2025-04-02T16:01:39+02:00,50000.000000,40.456946,
2025-04-02T16:01:40+02:00,60000.000000,35.168903,
2025-04-02T16:01:41+02:00,57745.000000,39.211637,
2025-04-02T16:01:42+02:00,52255.000000,33.809097,
2025-04-02T16:01:43+02:00,50000.000000,40.514169,
2025-04-02T16:01:44+02:00,60000.000000,40.551958,
2025-04-02T16:01:45+02:00,60000.000000,33.809130,
2025-04-02T16:01:46+02:00,50000.000000,40.571419,
2025-04-02T16:01:47+02:00,60000.000000,40.571502,
2025-04-02T16:01:48+02:00,60000.000000,33.808988,
2025-04-02T16:01:49+02:00,60000.000000,40.571180,
2025-04-02T16:01:50+02:00,50000.000000,40.571354,
2025-04-02T16:01:51+02:00,60000.000000,33.809600,
2025-04-02T16:01:52+02:00,50000.000000,33.809213,
2025-04-02T16:01:53+02:00,60000.000000,40.571773,
2025-04-02T16:01:54+02:00,50000.000000,40.572068,
2025-04-02T16:01:55+02:00,60000.000000,33.809477,
2025-04-02T16:01:56+02:00,50000.000000,40.571529,
2025-04-02T16:01:57+02:00,60000.000000,33.809440,
2025-04-02T16:01:58+02:00,53935.000000,40.571142,
2025-04-02T16:01:59+02:00,56065.000000,36.897851,
2025-04-02T16:02:00+02:00,60000.000000,37.483766,
2025-04-02T16:02:01+02:00,50000.000000,33.809368,
2025-04-02T16:02:02+02:00,60000.000000,40.571204,
2025-04-02T16:02:03+02:00,50000.000000,34.403293,
2025-04-02T16:02:04+02:00,60000.000000,39.824779,
2025-04-02T16:02:05+02:00,50000.000000,33.811597,
2025-04-02T16:02:06+02:00,60000.000000,40.570884,
2025-04-02T16:02:07+02:00,50000.000000,37.185188,
2025-04-02T16:02:08+02:00,60000.000000,37.195480,
2025-04-02T16:02:09+02:00,60000.000000,40.571489,
2025-04-02T16:02:10+02:00,50000.000000,33.809744,
2025-04-02T16:02:11+02:00,55784.000000,40.532671,
2025-04-02T16:02:12+02:00,54216.000000,40.456849,
2025-04-02T16:02:13+02:00,60000.000000,33.809277,
2025-04-02T16:02:14+02:00,50000.000000,40.570833,
2025-04-02T16:02:15+02:00,60000.000000,33.810458,
2025-04-02T16:02:16+02:00,50000.000000,36.838983,
2025-04-02T16:02:17+02:00,60000.000000,37.466207,
2025-04-02T16:02:18+02:00,50000.000000,37.234930,
2025-04-02T16:02:19+02:00,60000.000000,37.146070,
2025-04-02T16:02:20+02:00,50000.000000,33.809088,
2025-04-02T16:02:21+02:00,56484.000000,40.572156,
2025-04-02T16:02:22+02:00,53516.000000,33.809745,
2025-04-02T16:02:23+02:00,50000.000000,33.810048,
2025-04-02T16:02:24+02:00,50000.000000,40.571098,
2025-04-02T16:02:25+02:00,60000.000000,33.810235,
2025-04-02T16:02:26+02:00,50000.000000,33.809538,
2025-04-02T16:02:27+02:00,50000.000000,40.571872,
2025-04-02T16:02:28+02:00,60000.000000,33.809715,
2025-04-02T16:02:29+02:00,50000.000000,40.570780,
2025-04-02T16:02:30+02:00,60000.000000,33.809656,
2025-04-02T16:02:31+02:00,59159.000000,40.571456,
