time,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka]
2025-04-02T16:09:51+02:00,40500.000000,1.033541,0.916345
2025-04-02T16:09:52+02:00,60000.000000,1.373291,1.373291
2025-04-02T16:09:53+02:00,70000.000000,1.373291,1.602173
2025-04-02T16:09:54+02:00,60000.000000,1.602173,1.373291
2025-04-02T16:09:55+02:00,60000.000000,1.373291,1.373291
2025-04-02T16:09:56+02:00,60000.000000,1.373291,1.373291
2025-04-02T16:09:57+02:00,70000.000000,1.373291,1.602173
2025-04-02T16:09:58+02:00,60000.000000,1.373291,1.373291
2025-04-02T16:09:59+02:00,60000.000000,1.602173,1.373291
2025-04-02T16:10:00+02:00,60000.000000,1.144409,1.373291
2025-04-02T16:10:01+02:00,50000.000000,1.373291,1.144409
2025-04-02T16:10:02+02:00,70000.000000,1.475876,1.602173
2025-04-02T16:10:03+02:00,60000.000000,1.499588,1.373291
2025-04-02T16:10:04+02:00,60000.000000,1.144409,1.373291
2025-04-02T16:10:05+02:00,50000.000000,1.373291,1.144409
2025-04-02T16:10:06+02:00,60000.000000,1.373291,1.373291
2025-04-02T16:10:07+02:00,60000.000000,1.373291,1.373291
2025-04-02T16:10:08+02:00,60000.000000,1.471376,1.452303
2025-04-02T16:10:09+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:10+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:11+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:12+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:13+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:14+02:00,50000.000000,1.239777,1.239777
2025-04-02T16:10:15+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:16+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:17+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:18+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:19+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:20+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:21+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:22+02:00,50000.000000,1.239777,1.239777
2025-04-02T16:10:23+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:24+02:00,50000.000000,1.239777,1.239777
2025-04-02T16:10:25+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:26+02:00,50000.000000,1.239777,1.239777
2025-04-02T16:10:27+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:28+02:00,50000.000000,1.239777,1.239777
2025-04-02T16:10:29+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:30+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:31+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:32+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:33+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:34+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:35+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:36+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:37+02:00,50000.000000,1.239777,1.239777
2025-04-02T16:10:38+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:39+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:40+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:41+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:42+02:00,50000.000000,1.239777,1.239777
2025-04-02T16:10:43+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:44+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:45+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:46+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:47+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:10:48+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:49+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:50+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:51+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:10:52+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:53+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:54+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:55+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:56+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:57+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:58+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:10:59+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:00+02:00,50000.000000,1.239777,1.239777
2025-04-02T16:11:01+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:02+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:11:03+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:11:04+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:05+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:06+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:07+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:08+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:11:09+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:10+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:11:11+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:12+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:13+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:11:14+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:11:15+02:00,70000.000000,1.487732,1.735687
2025-04-02T16:11:16+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:11:17+02:00,60000.000000,1.487732,1.487732
