time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-04-02T16:09:53+02:00,50000.000000,3.439087,
2025-04-02T16:09:54+02:00,70000.000000,4.813129,
2025-04-02T16:09:55+02:00,60000.000000,4.127003,
2025-04-02T16:09:56+02:00,54636.000000,4.131019,
2025-04-02T16:09:57+02:00,65364.000000,4.117129,
2025-04-02T16:09:58+02:00,60000.000000,4.114972,
2025-04-02T16:09:59+02:00,60000.000000,4.700227,
2025-04-02T16:10:00+02:00,60000.000000,4.211803,
2025-04-02T16:10:01+02:00,60000.000000,3.426640,
2025-04-02T16:10:02+02:00,60000.000000,4.118080,
2025-04-02T16:10:03+02:00,60000.000000,4.117818,
2025-04-02T16:10:04+02:00,60000.000000,4.162303,
2025-04-02T16:10:05+02:00,60000.000000,4.065409,
2025-04-02T16:10:06+02:00,60000.000000,4.109906,
2025-04-02T16:10:07+02:00,60000.000000,4.119447,
2025-04-02T16:10:08+02:00,60000.000000,4.124209,
2025-04-02T16:10:09+02:00,56597.000000,4.114203,
2025-04-02T16:10:10+02:00,53403.000000,4.109434,
2025-04-02T16:10:11+02:00,60000.000000,3.711894,
2025-04-02T16:10:12+02:00,60000.000000,3.811754,
2025-04-02T16:10:13+02:00,60000.000000,4.108438,
2025-04-02T16:10:14+02:00,50000.000000,4.119462,
2025-04-02T16:10:15+02:00,50000.000000,3.418112,
2025-04-02T16:10:16+02:00,60000.000000,4.113722,
2025-04-02T16:10:17+02:00,56127.000000,3.415258,
2025-04-02T16:10:18+02:00,63873.000000,4.111260,
2025-04-02T16:10:19+02:00,50000.000000,4.110146,
2025-04-02T16:10:20+02:00,60000.000000,3.800155,
2025-04-02T16:10:21+02:00,60000.000000,3.750777,
2025-04-02T16:10:22+02:00,50000.000000,3.430792,
2025-04-02T16:10:23+02:00,50000.000000,3.435165,
2025-04-02T16:10:24+02:00,50000.000000,4.130335,
2025-04-02T16:10:25+02:00,55002.000000,3.440416,
2025-04-02T16:10:26+02:00,54998.000000,3.432569,
2025-04-02T16:10:27+02:00,50000.000000,4.111424,
2025-04-02T16:10:28+02:00,60000.000000,3.436535,
2025-04-02T16:10:29+02:00,50000.000000,3.665361,
2025-04-02T16:10:30+02:00,50000.000000,3.893009,
2025-04-02T16:10:31+02:00,60000.000000,3.422507,
2025-04-02T16:10:32+02:00,50000.000000,4.116374,
2025-04-02T16:10:33+02:00,60000.000000,3.446187,
