 Container benchi-conduit  Creating
 Container benchi-conduit  Created
Attaching to benchi-conduit
benchi-conduit  | {"level":"info","component":"badger.DB","time":1743602971063,"message":"All 0 tables opened in 0s"}
benchi-conduit  | {"level":"info","component":"badger.DB","time":1743602971064,"message":"Discard stats nextEmptySlot: 0"}
benchi-conduit  | {"level":"info","component":"badger.DB","time":1743602971064,"message":"Set nextTxnTs to 0"}
benchi-conduit  | {"level":"info","component":"plugin.processor.standalone.Registry","time":1743602971066,"message":"loading processor plugins from directory /app/processors ..."}
benchi-conduit  | {"level":"warn","component":"plugin.processor.standalone.Registry","error":"open /app/processors: no such file or directory","time":1743602971066,"message":"could not read processor plugin directory"}
benchi-conduit  | {"level":"info","component":"plugin.processor.standalone.Registry","plugin_path":"/app/processors","count":0,"time":1743602971066,"message":"standalone processor plugins initialized"}
benchi-conduit  | {"level":"info","component":"plugin.processor.builtin.Registry","count":22,"time":1743602971066,"message":"builtin processor plugins initialized"}
benchi-conduit  | {"level":"info","time":1743602971066,"message":"using lifecycle service v2"}
benchi-conduit  | {"level":"debug","component":"processor.Service","time":1743602971067,"message":"initializing processors"}
benchi-conduit  | {"level":"info","component":"processor.Service","count":0,"time":1743602971067,"message":"processors initialized"}
benchi-conduit  | {"level":"info","address":"[::]:34091","time":1743602971069,"message":"connector utilities started"}
benchi-conduit  | {"level":"info","time":1743602971069,"message":"connector utilities started on [::]:34091"}
benchi-conduit  | {"level":"info","component":"plugin.connector.builtin.Registry","count":10,"time":1743602971069,"message":"builtin connector plugins initialized"}
benchi-conduit  | {"level":"debug","component":"plugin.connector.standalone.Registry","time":1743602971069,"message":"loading connector plugins from directory /app/connectors"}
benchi-conduit  | {"level":"warn","component":"plugin.connector.standalone.Registry","error":"open /app/connectors: no such file or directory","time":1743602971069,"message":"could not read connector plugin directory"}
benchi-conduit  | {"level":"info","component":"plugin.connector.standalone.Registry","plugin_path":"/app/connectors","count":0,"time":1743602971069,"message":"standalone connector plugins initialized"}
benchi-conduit  | {"level":"debug","component":"connector.Service","time":1743602971069,"message":"initializing connectors"}
benchi-conduit  | {"level":"info","component":"connector.Service","count":0,"time":1743602971069,"message":"connectors initialized"}
benchi-conduit  | {"level":"debug","component":"pipeline.Service","time":1743602971069,"message":"initializing pipelines"}
benchi-conduit  | {"level":"info","component":"pipeline.Service","count":0,"time":1743602971069,"message":"pipelines initialized"}
benchi-conduit  | {"level":"debug","component":"provisioning.Service","pipelines_path":"/app/pipelines","time":1743602971069,"message":"initializing the provisioning service"}
benchi-conduit  | {"level":"debug","component":"provisioning.Service","action":"create pipeline with ID postgres-to-kafka","time":1743602971070,"message":"executing action"}
benchi-conduit  | {"level":"debug","component":"provisioning.Service","action":"create connector with ID postgres-to-kafka:postgres-source","time":1743602971071,"message":"executing action"}
benchi-conduit  | {"level":"debug","component":"provisioning.Service","action":"create connector with ID postgres-to-kafka:kafka-destination","time":1743602971072,"message":"executing action"}
benchi-conduit  | {"level":"info","component":"provisioning.Service","created":["postgres-to-kafka"],"deleted":[],"pipelines_path":"/app/pipelines","time":1743602971072,"message":"pipeline configs provisioned"}
benchi-conduit  | {"level":"debug","component":"lifecycle.Service","time":1743602971072,"message":"initializing pipelines statuses"}
benchi-conduit  | {"level":"info","address":"[::]:8084","time":1743602971072,"message":"grpc API started"}
benchi-conduit  | {"level":"info","address":"[::]:8080","time":1743602971072,"message":"http API started"}
benchi-conduit  | {"level":"info","time":1743602971072}
benchi-conduit  | {"level":"info","time":1743602971072,"message":"click here to navigate to explore the HTTP API: http://localhost:8080/openapi"}
benchi-conduit  | {"level":"info","time":1743602971072}
benchi-conduit  | {"level":"debug","component":"lifecycle.Service","pipeline_id":"postgres-to-kafka","time":1743602972186,"request_id":"430bd24b-e086-4177-87ac-be15673b9bf3","message":"starting pipeline"}
benchi-conduit  | {"level":"info","pipeline_id":"postgres-to-kafka","component":"lifecycle.Service","tasks":["postgres-to-kafka:postgres-source(*funnel.SourceTask)","postgres-to-kafka:kafka-destination(*funnel.DestinationTask)"],"order":[[1],null],"time":1743602972186,"request_id":"430bd24b-e086-4177-87ac-be15673b9bf3","message":"pipeline tasks and order"}
benchi-conduit  | {"level":"debug","pipeline_id":"postgres-to-kafka","connector_id":"postgres-to-kafka:postgres-source","component":"task:source","time":1743602972186,"message":"opening source"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:postgres-source","component":"connector.Source","time":1743602972186,"message":"dispensing source connector plugin"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:postgres-source","plugin_type":"source","plugin_name":"builtin:postgres","component":"builtin.sourcePluginAdapter","request":{"Config":{"sdk.batch.delay":"1s","sdk.batch.size":"10000","sdk.schema.extract.key.enabled":"false","sdk.schema.extract.payload.enabled":"false","tables":"employees","url":"postgresql://meroxauser:meroxapass@benchi-postgres:5432/meroxadb"}},"time":1743602972186,"message":"calling Configure"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:postgres-source","plugin_type":"source","plugin_name":"builtin:postgres","component":"plugin","time":1743602972186,"message":"sanitizing configuration and applying defaults"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:postgres-source","plugin_type":"source","plugin_name":"builtin:postgres","component":"plugin","time":1743602972186,"message":"validating configuration according to the specifications"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:postgres-source","plugin_type":"source","plugin_name":"builtin:postgres","component":"plugin","target":"*source.Config","time":1743602972186,"message":"decoding configuration into the target object"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:postgres-source","plugin_type":"source","plugin_name":"builtin:postgres","component":"builtin.sourcePluginAdapter","request":{"Config":{"sdk.batch.delay":"1s","sdk.batch.size":"10000","sdk.schema.extract.key.enabled":"false","sdk.schema.extract.payload.enabled":"false","tables":"employees","url":"postgresql://meroxauser:meroxapass@benchi-postgres:5432/meroxadb"}},"time":1743602972186,"message":"calling LifecycleOnCreated"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:postgres-source","plugin_type":"source","plugin_name":"builtin:postgres","component":"builtin.sourcePluginAdapter","request":{"Position":null},"time":1743602972186,"message":"calling Start"}
benchi-conduit  | {"level":"info","connector_id":"postgres-to-kafka:postgres-source","plugin_type":"source","plugin_name":"builtin:postgres","component":"plugin","time":1743602972210,"message":"Initial snapshot requested, starting.."}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:postgres-source","plugin_type":"source","plugin_name":"builtin:postgres","component":"builtin.sourcePluginAdapter","time":1743602972210,"message":"calling Run"}
benchi-conduit  | {"level":"info","connector_id":"postgres-to-kafka:postgres-source","component":"connector.Source","time":1743602972210,"message":"source connector plugin successfully started"}
benchi-conduit  | {"level":"debug","pipeline_id":"postgres-to-kafka","connector_id":"postgres-to-kafka:postgres-source","component":"task:source","time":1743602972210,"message":"source open"}
benchi-conduit  | {"level":"debug","pipeline_id":"postgres-to-kafka","connector_id":"postgres-to-kafka:kafka-destination","component":"task:destination","time":1743602972210,"message":"opening destination"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:kafka-destination","component":"connector.Destination","time":1743602972210,"message":"dispensing destination connector plugin"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:kafka-destination","plugin_type":"destination","plugin_name":"builtin:kafka","component":"builtin.destinationPluginAdapter","request":{"Config":{"servers":"benchi-kafka:9092","topic":"postgres.public.employees"}},"time":1743602972210,"message":"calling Configure"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:kafka-destination","plugin_type":"destination","plugin_name":"builtin:kafka","component":"plugin","time":1743602972210,"message":"sanitizing configuration and applying defaults"}
benchi-conduit  | {"level":"debug","connector_id":"postgres-to-kafka:kafka-destination","plugin_type":"destination","plugin_name":"builtin:kafka","component":"plugin","time":1743602972210,"message":"validating configuration according to the specifications"}
