time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-08T13:42:29Z,,,1.170467,3053.460938
2025-05-08T13:42:30Z,,,215.229717,3061.511719
2025-05-08T13:42:31Z,,,265.666634,3062.042969
2025-05-08T13:42:32Z,,,223.996061,3283.765625
2025-05-08T13:42:33Z,,,189.942244,3370.269531
2025-05-08T13:42:34Z,,,188.701754,3580.164062
2025-05-08T13:42:35Z,,,189.345764,3754.820312
2025-05-08T13:42:36Z,,,197.285038,3964.214844
2025-05-08T13:42:37Z,,,211.610600,4205.128906
2025-05-08T13:42:38Z,,,208.725191,4403.941406
2025-05-08T13:42:39Z,,,184.204597,4440.132812
2025-05-08T13:42:40Z,,,236.448766,4440.980469
2025-05-08T13:42:41Z,,,211.186429,4441.460938
2025-05-08T13:42:42Z,,,215.450202,4441.726562
2025-05-08T13:42:43Z,,,191.076977,4442.542969
2025-05-08T13:42:44Z,,,203.499692,4442.957031
2025-05-08T13:42:45Z,,,198.817143,4455.390625
2025-05-08T13:42:46Z,,,201.121814,4473.140625
2025-05-08T13:42:47Z,,,200.659751,4493.800781
2025-05-08T13:42:48Z,,,201.966481,4513.437500
2025-05-08T13:42:49Z,,,201.037895,4528.308594
2025-05-08T13:42:50Z,,,199.751134,4544.769531
2025-05-08T13:42:51Z,,,194.686278,4549.488281
2025-05-08T13:42:52Z,,,203.084423,4549.445312
2025-05-08T13:42:53Z,,,199.591920,4549.046875
2025-05-08T13:42:54Z,,,200.438105,4549.281250
2025-05-08T13:42:55Z,,,182.285815,4549.175781
2025-05-08T13:42:56Z,,,192.829596,4549.332031
2025-05-08T13:42:57Z,,,220.723535,4550.472656
2025-05-08T13:42:58Z,,,188.710600,4551.492188
2025-05-08T13:42:59Z,,,199.343582,4552.218750
2025-05-08T13:43:00Z,,,208.532850,4555.332031
2025-05-08T13:43:01Z,,,190.741400,4558.136719
2025-05-08T13:43:02Z,,,187.629353,4560.070312
2025-05-08T13:43:03Z,,,208.676900,4560.031250
2025-05-08T13:43:04Z,,,207.124332,4560.429688
2025-05-08T13:43:05Z,,,192.473985,4559.417969
2025-05-08T13:43:06Z,,,199.648463,4559.242188
2025-05-08T13:43:07Z,,,193.428051,4559.242188
2025-05-08T13:43:08Z,,,234.648550,4564.746094
2025-05-08T13:43:09Z,,,207.089749,4564.871094
2025-05-08T13:43:10Z,,,222.930355,4564.703125
2025-05-08T13:43:11Z,,,189.035800,4564.484375
2025-05-08T13:43:12Z,,,198.841221,4557.320312
2025-05-08T13:43:13Z,,,200.182582,4558.003906
2025-05-08T13:43:14Z,,,201.473519,4557.890625
2025-05-08T13:43:15Z,,,201.900741,4557.890625
2025-05-08T13:43:16Z,,,183.671899,4557.820312
2025-05-08T13:43:17Z,,,209.894015,4557.820312
2025-05-08T13:43:18Z,,,200.231043,4557.164062
2025-05-08T13:43:19Z,,,198.030324,4556.753906
2025-05-08T13:43:20Z,,,177.468543,4556.859375
2025-05-08T13:43:21Z,,,206.515408,4556.472656
2025-05-08T13:43:22Z,,,182.570505,4556.652344
2025-05-08T13:43:23Z,,,190.372875,4556.625000
2025-05-08T13:43:24Z,,,189.107157,4556.074219
2025-05-08T13:43:25Z,,,187.287638,4555.917969
2025-05-08T13:43:26Z,,,200.198489,4556.031250
2025-05-08T13:43:27Z,,,194.800101,4555.796875
2025-05-08T13:43:28Z,,,188.793166,4556.039062
2025-05-08T13:43:29Z,,,204.603910,4555.671875
