time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-08T14:13:11Z,,,4.090220,5606.039062
2025-05-08T14:13:12Z,,,229.134718,5609.894531
2025-05-08T14:13:13Z,,,252.701082,5610.519531
2025-05-08T14:13:14Z,,,266.272893,5658.406250
2025-05-08T14:13:15Z,,,229.912754,5660.769531
2025-05-08T14:13:16Z,,,247.658008,5661.683594
2025-05-08T14:13:17Z,,,163.353698,5666.597656
2025-05-08T14:13:18Z,,,149.708964,5666.304688
2025-05-08T14:13:19Z,,,138.094663,5666.597656
2025-05-08T14:13:20Z,,,143.450465,5677.113281
2025-05-08T14:13:21Z,,,137.975080,5677.101562
2025-05-08T14:13:22Z,,,144.224757,6683.699219
2025-05-08T14:13:23Z,,,144.668972,6975.625000
2025-05-08T14:13:24Z,,,152.892764,6975.632812
2025-05-08T14:13:25Z,,,180.788800,7016.046875
2025-05-08T14:13:26Z,,,152.662183,7015.687500
2025-05-08T14:13:27Z,,,150.533863,7016.011719
2025-05-08T14:13:28Z,,,151.892055,7016.027344
2025-05-08T14:13:29Z,,,149.568200,7015.941406
2025-05-08T14:13:30Z,,,174.216447,7030.015625
2025-05-08T14:13:31Z,,,171.349639,7031.414062
2025-05-08T14:13:32Z,,,157.487141,7031.410156
2025-05-08T14:13:33Z,,,149.465194,7031.406250
2025-05-08T14:13:34Z,,,155.012109,7031.488281
2025-05-08T14:13:35Z,,,155.190588,7025.675781
2025-05-08T14:13:36Z,,,161.641564,7025.746094
2025-05-08T14:13:37Z,,,153.138338,7026.003906
2025-05-08T14:13:38Z,,,147.098035,7025.761719
2025-05-08T14:13:39Z,,,156.133568,7025.808594
2025-05-08T14:13:40Z,,,145.028529,7025.812500
2025-05-08T14:13:41Z,,,159.430977,7025.910156
2025-05-08T14:13:42Z,,,150.207879,7025.925781
2025-05-08T14:13:43Z,,,156.687660,7025.976562
2025-05-08T14:13:44Z,,,144.716587,7025.980469
2025-05-08T14:13:45Z,,,174.512846,7026.070312
2025-05-08T14:13:46Z,,,147.393208,7026.171875
2025-05-08T14:13:47Z,,,157.649285,7026.113281
2025-05-08T14:13:48Z,,,148.000099,7028.457031
2025-05-08T14:13:49Z,,,153.152965,7028.468750
2025-05-08T14:13:50Z,,,146.258354,7028.582031
2025-05-08T14:13:51Z,,,150.846015,7028.566406
2025-05-08T14:13:52Z,,,153.970946,7028.628906
2025-05-08T14:13:53Z,,,152.021681,7028.886719
2025-05-08T14:13:54Z,,,145.235377,7028.640625
2025-05-08T14:13:55Z,,,157.651184,7028.714844
2025-05-08T14:13:56Z,,,144.160500,7028.718750
2025-05-08T14:13:57Z,,,156.498191,7029.179688
2025-05-08T14:13:58Z,,,146.541294,7028.785156
2025-05-08T14:13:59Z,,,153.532438,7028.812500
2025-05-08T14:14:00Z,,,146.729300,7028.703125
2025-05-08T14:14:01Z,,,151.038893,7028.757812
2025-05-08T14:14:02Z,,,150.262585,7028.785156
2025-05-08T14:14:03Z,,,153.253902,7028.792969
2025-05-08T14:14:04Z,,,149.772579,7028.832031
2025-05-08T14:14:05Z,,,149.053467,7028.847656
2025-05-08T14:14:06Z,,,154.348593,7028.878906
2025-05-08T14:14:07Z,,,146.602147,7028.859375
2025-05-08T14:14:08Z,,,155.631760,7028.937500
2025-05-08T14:14:09Z,,,149.337357,7028.949219
2025-05-08T14:14:10Z,,,150.733790,7028.898438
2025-05-08T14:14:11Z,,,151.399149,7029.949219
2025-05-08T14:14:12Z,,,149.101932,7030.195312
2025-05-08T14:14:13Z,,,158.379673,7030.070312
2025-05-08T14:14:14Z,,,147.265063,7030.078125
2025-05-08T14:14:15Z,,,154.033477,7030.113281
2025-05-08T14:14:16Z,,,147.559449,7030.109375
2025-05-08T14:14:17Z,,,148.902416,7030.117188
2025-05-08T14:14:18Z,,,154.486683,7030.156250
2025-05-08T14:14:19Z,,,148.026296,7030.156250
2025-05-08T14:14:20Z,,,154.059526,7030.355469
2025-05-08T14:14:21Z,,,148.283955,7030.371094
2025-05-08T14:14:22Z,,,150.041103,7030.820312
2025-05-08T14:14:23Z,,,154.068962,7030.593750
2025-05-08T14:14:24Z,,,149.218071,7030.460938
2025-05-08T14:14:25Z,,,155.712323,7031.320312
2025-05-08T14:14:26Z,,,144.858561,7031.187500
2025-05-08T14:14:27Z,,,151.867406,7031.265625
2025-05-08T14:14:28Z,,,152.763371,7031.273438
2025-05-08T14:14:29Z,,,151.223715,7025.585938
2025-05-08T14:14:30Z,,,105.430606,7027.109375
2025-05-08T14:14:31Z,,,103.490574,7030.429688
2025-05-08T14:14:32Z,,,115.293182,7027.039062
2025-05-08T14:14:33Z,,,98.296913,7027.308594
2025-05-08T14:14:34Z,,,118.596010,7029.761719
2025-05-08T14:14:35Z,,,152.445165,7026.589844
2025-05-08T14:14:36Z,,,133.051017,7028.000000
2025-05-08T14:14:37Z,,,142.927797,7026.207031
2025-05-08T14:14:38Z,,,153.257114,7026.515625
2025-05-08T14:14:39Z,,,130.815839,7028.753906
