time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-05-08T14:13:14Z,29257.000000,0.463947,
2025-05-08T14:13:15Z,85119.000000,0.938470,
2025-05-08T14:13:16Z,74069.000000,1.037822,
2025-05-08T14:13:17Z,94767.000000,1.089334,
2025-05-08T14:13:18Z,103935.000000,1.307060,
2025-05-08T14:13:19Z,106234.000000,1.253426,
2025-05-08T14:13:20Z,97505.000000,1.180505,
2025-05-08T14:13:21Z,103348.000000,1.248176,
2025-05-08T14:13:22Z,90842.000000,1.267293,
2025-05-08T14:13:23Z,67944.000000,0.748874,
2025-05-08T14:13:24Z,86834.000000,1.162619,
2025-05-08T14:13:25Z,117620.000000,1.364958,
2025-05-08T14:13:26Z,95726.000000,1.264400,
2025-05-08T14:13:27Z,118010.000000,1.357245,
2025-05-08T14:13:28Z,96182.000000,1.282557,
2025-05-08T14:13:29Z,118294.000000,1.360647,
2025-05-08T14:13:30Z,99955.000000,1.329784,
2025-05-08T14:13:31Z,115885.000000,1.332745,
2025-05-08T14:13:32Z,99322.000000,1.320830,
2025-05-08T14:13:33Z,107841.000000,1.180238,
2025-05-08T14:13:34Z,107414.000000,1.472610,
2025-05-08T14:13:35Z,108980.000000,1.194073,
2025-05-08T14:13:36Z,105846.000000,1.352768,
2025-05-08T14:13:37Z,99542.000000,1.328584,
2025-05-08T14:13:38Z,115564.000000,1.331799,
2025-05-08T14:13:39Z,98009.000000,1.300735,
2025-05-08T14:13:40Z,115883.000000,1.331611,
2025-05-08T14:13:41Z,99750.000000,1.326551,
2025-05-08T14:13:42Z,115165.000000,1.330905,
2025-05-08T14:13:43Z,98382.000000,1.302008,
2025-05-08T14:13:44Z,116174.000000,1.348278,
2025-05-08T14:13:45Z,97913.000000,1.289975,
2025-05-08T14:13:46Z,114739.000000,1.223073,
2025-05-08T14:13:47Z,98805.000000,1.408927,
2025-05-08T14:13:48Z,109911.000000,1.208261,
2025-05-08T14:13:49Z,103302.000000,1.419144,
2025-05-08T14:13:50Z,108180.000000,1.187170,
2025-05-08T14:13:51Z,102376.000000,1.408698,
2025-05-08T14:13:52Z,109997.000000,1.209628,
2025-05-08T14:13:53Z,106255.000000,1.455909,
2025-05-08T14:13:54Z,107395.000000,1.174364,
2025-05-08T14:13:55Z,105259.000000,1.446054,
2025-05-08T14:13:56Z,106943.000000,1.168723,
2025-05-08T14:13:57Z,105320.000000,1.447356,
2025-05-08T14:13:58Z,112120.000000,1.292881,
2025-05-08T14:13:59Z,98610.000000,1.303797,
2025-05-08T14:14:00Z,116947.000000,1.363618,
