time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-08T14:20:44Z,0.045210,41.886719,,
2025-05-08T14:20:45Z,323.516147,1093.792969,,
2025-05-08T14:20:46Z,241.598402,1643.117188,,
2025-05-08T14:20:47Z,313.890038,1732.617188,,
2025-05-08T14:20:48Z,345.455291,1801.699219,,
2025-05-08T14:20:49Z,360.388571,1812.335938,,
2025-05-08T14:20:50Z,342.690441,1812.437500,,
2025-05-08T14:20:51Z,327.578942,1902.816406,,
2025-05-08T14:20:52Z,320.443431,1943.375000,,
2025-05-08T14:20:53Z,385.354139,2280.089844,,
2025-05-08T14:20:54Z,398.645922,1899.593750,,
2025-05-08T14:20:55Z,347.552892,1916.062500,,
2025-05-08T14:20:56Z,345.395510,1933.699219,,
2025-05-08T14:20:57Z,381.292900,1964.691406,,
2025-05-08T14:20:58Z,319.120305,2015.101562,,
2025-05-08T14:20:59Z,370.411844,1949.667969,,
2025-05-08T14:21:00Z,385.888579,1897.644531,,
2025-05-08T14:21:01Z,386.099818,1781.425781,,
2025-05-08T14:21:02Z,371.837018,1787.636719,,
2025-05-08T14:21:03Z,363.669020,1788.828125,,
2025-05-08T14:21:04Z,318.030785,1791.496094,,
2025-05-08T14:21:05Z,384.046771,1810.515625,,
2025-05-08T14:21:06Z,389.147325,1918.113281,,
2025-05-08T14:21:07Z,402.659267,1917.730469,,
2025-05-08T14:21:08Z,356.946460,1895.792969,,
2025-05-08T14:21:09Z,331.572452,1903.703125,,
2025-05-08T14:21:10Z,326.710576,1957.882812,,
2025-05-08T14:21:11Z,337.986010,1960.156250,,
2025-05-08T14:21:12Z,384.204433,1880.156250,,
2025-05-08T14:21:13Z,376.067110,1819.812500,,
2025-05-08T14:21:14Z,367.331363,1815.664062,,
2025-05-08T14:21:15Z,383.174775,1806.148438,,
2025-05-08T14:21:16Z,289.499742,1803.394531,,
2025-05-08T14:21:17Z,378.011939,1814.074219,,
2025-05-08T14:21:18Z,377.095449,1800.855469,,
2025-05-08T14:21:19Z,378.098612,1764.285156,,
2025-05-08T14:21:20Z,369.090779,1776.773438,,
2025-05-08T14:21:21Z,360.264528,1790.792969,,
2025-05-08T14:21:22Z,371.427459,1780.449219,,
2025-05-08T14:21:23Z,333.690355,1777.886719,,
2025-05-08T14:21:24Z,341.497215,1781.144531,,
2025-05-08T14:21:25Z,382.316845,1784.785156,,
2025-05-08T14:21:26Z,368.592935,1790.792969,,
2025-05-08T14:21:27Z,378.858312,1804.890625,,
2025-05-08T14:21:28Z,351.836611,1798.527344,,
2025-05-08T14:21:29Z,318.962621,1799.546875,,
2025-05-08T14:21:30Z,385.957216,1884.503906,,
2025-05-08T14:21:31Z,309.414330,1972.843750,,
2025-05-08T14:21:32Z,380.170103,2038.773438,,
2025-05-08T14:21:33Z,356.187320,1810.500000,,
2025-05-08T14:21:34Z,309.235109,1779.902344,,
2025-05-08T14:21:35Z,291.652031,1652.339844,,
2025-05-08T14:21:36Z,390.206667,1461.808594,,
2025-05-08T14:21:37Z,352.581809,1541.437500,,
2025-05-08T14:21:38Z,303.916062,1405.777344,,
2025-05-08T14:21:39Z,264.292753,1202.128906,,
2025-05-08T14:21:40Z,267.809375,1042.968750,,
2025-05-08T14:21:41Z,265.482646,902.148438,,
2025-05-08T14:21:42Z,354.937128,1164.296875,,
2025-05-08T14:21:43Z,145.533723,925.277344,,
2025-05-08T14:21:44Z,276.432187,810.527344,,
