time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-05-08T14:25:47Z,100000.000000,1.259292,
2025-05-08T14:25:48Z,140000.000000,1.658070,
2025-05-08T14:25:49Z,156828.000000,1.894440,
2025-05-08T14:25:50Z,123172.000000,1.543983,
2025-05-08T14:25:51Z,142694.000000,1.671253,
2025-05-08T14:25:52Z,137306.000000,1.822948,
2025-05-08T14:25:53Z,157605.000000,1.719096,
2025-05-08T14:25:54Z,142395.000000,1.967152,
2025-05-08T14:25:55Z,152676.000000,1.721527,
2025-05-08T14:25:56Z,139065.000000,1.862067,
2025-05-08T14:25:57Z,148259.000000,1.822503,
2025-05-08T14:25:58Z,154862.000000,1.719591,
2025-05-08T14:25:59Z,145138.000000,1.966535,
2025-05-08T14:26:00Z,152627.000000,1.721065,
2025-05-08T14:26:01Z,147373.000000,1.945960,
2025-05-08T14:26:02Z,160000.000000,1.990957,
2025-05-08T14:26:03Z,140000.000000,1.723354,
2025-05-08T14:26:04Z,160000.000000,1.974286,
2025-05-08T14:26:05Z,160000.000000,1.918406,
2025-05-08T14:26:06Z,160000.000000,1.880943,
2025-05-08T14:26:07Z,158323.000000,1.880368,
2025-05-08T14:26:08Z,147012.000000,1.876616,
2025-05-08T14:26:09Z,154665.000000,1.941992,
2025-05-08T14:26:10Z,158268.000000,1.906257,
2025-05-08T14:26:11Z,160113.000000,1.971585,
2025-05-08T14:26:12Z,141619.000000,1.879437,
2025-05-08T14:26:13Z,158145.000000,1.813432,
2025-05-08T14:26:14Z,150232.000000,1.903032,
2025-05-08T14:26:15Z,156984.000000,1.885998,
2025-05-08T14:26:16Z,147407.000000,1.817822,
2025-05-08T14:26:17Z,160118.000000,1.970061,
2025-05-08T14:26:18Z,167114.000000,2.191902,
2025-05-08T14:26:19Z,160000.000000,1.845865,
2025-05-08T14:26:20Z,150495.000000,1.854947,
2025-05-08T14:26:21Z,154908.000000,1.907257,
2025-05-08T14:26:22Z,149866.000000,1.841537,
2025-05-08T14:26:23Z,92055.000000,1.141466,
2025-05-08T14:26:24Z,129514.000000,1.594243,
2025-05-08T14:26:25Z,147267.000000,1.976372,
2025-05-08T14:26:26Z,177843.000000,2.035297,
2025-05-08T14:26:27Z,142157.000000,1.906941,
2025-05-08T14:26:28Z,160000.000000,1.946365,
2025-05-08T14:26:29Z,160000.000000,1.882419,
2025-05-08T14:26:30Z,140000.000000,1.815035,
2025-05-08T14:26:31Z,160000.000000,1.906218,
2025-05-08T14:26:32Z,140000.000000,1.811617,
2025-05-08T14:26:33Z,165280.000000,1.884138,
2025-05-08T14:26:34Z,159848.000000,1.979239,
2025-05-08T14:26:35Z,147676.000000,1.813405,
2025-05-08T14:26:36Z,152366.000000,1.884964,
2025-05-08T14:26:37Z,147605.000000,1.815703,
2025-05-08T14:26:38Z,167225.000000,2.196587,
2025-05-08T14:26:39Z,158106.000000,1.815001,
2025-05-08T14:26:40Z,152146.000000,2.031169,
2025-05-08T14:26:41Z,149748.000000,1.823017,
2025-05-08T14:26:42Z,96783.000000,1.214857,
2025-05-08T14:26:43Z,63745.000000,0.702675,
2025-05-08T14:26:44Z,80054.000000,1.065526,
