time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-05-08T14:55:16Z,72711.000000,29.556436,
2025-05-08T14:55:17Z,28425.000000,22.231503,
2025-05-08T14:55:18Z,66205.000000,41.372422,
2025-05-08T14:55:19Z,57659.000000,41.169613,
2025-05-08T14:55:20Z,75000.000000,43.965233,
2025-05-08T14:55:21Z,65917.000000,29.856435,
2025-05-08T14:55:22Z,53791.000000,31.315547,
2025-05-08T14:55:23Z,64382.000000,43.913074,
2025-05-08T14:55:24Z,52948.000000,28.660975,
2025-05-08T14:55:25Z,62962.000000,44.435263,
2025-05-08T14:55:26Z,75000.000000,43.618592,
2025-05-08T14:55:27Z,75000.000000,44.197873,
2025-05-08T14:55:28Z,61530.000000,27.701415,
2025-05-08T14:55:29Z,55518.000000,35.686878,
2025-05-08T14:55:30Z,81354.000000,45.259597,
2025-05-08T14:55:31Z,66619.000000,40.434361,
2025-05-08T14:55:32Z,55011.000000,34.500411,
2025-05-08T14:55:33Z,57562.000000,40.975978,
2025-05-08T14:55:34Z,72406.000000,44.933189,
2025-05-08T14:55:35Z,75000.000000,42.272762,
2025-05-08T14:55:36Z,65297.000000,36.891388,
2025-05-08T14:55:37Z,73360.000000,40.070577,
2025-05-08T14:55:38Z,69516.000000,40.355647,
2025-05-08T14:55:39Z,49028.000000,33.281157,
2025-05-08T14:55:40Z,90127.000000,50.469645,
2025-05-08T14:55:41Z,53692.000000,34.396897,
2025-05-08T14:55:42Z,48980.000000,36.878064,
2025-05-08T14:55:43Z,91648.000000,47.394411,
2025-05-08T14:55:44Z,58352.000000,42.512384,
2025-05-08T14:55:45Z,75000.000000,44.958933,
2025-05-08T14:55:46Z,75000.000000,42.442019,
2025-05-08T14:55:47Z,68254.000000,34.607236,
2025-05-08T14:55:48Z,74050.000000,48.877363,
2025-05-08T14:55:49Z,69458.000000,36.661570,
2025-05-08T14:55:50Z,62346.000000,36.498910,
2025-05-08T14:55:51Z,46571.000000,34.587850,
2025-05-08T14:55:52Z,90610.000000,47.388560,
2025-05-08T14:55:53Z,51481.000000,33.615514,
2025-05-08T14:55:54Z,69824.000000,44.962141,
2025-05-08T14:55:55Z,67406.000000,44.959593,
2025-05-08T14:55:56Z,75000.000000,44.959499,
2025-05-08T14:55:57Z,75000.000000,41.940917,
2025-05-08T14:55:58Z,61961.000000,31.580392,
2025-05-08T14:55:59Z,66917.000000,43.531093,
2025-05-08T14:56:00Z,69091.000000,38.867308,
2025-05-08T14:56:01Z,61884.000000,35.599195,
2025-05-08T14:56:02Z,68141.000000,42.445545,
2025-05-08T14:56:03Z,58056.886228,35.816513,
2025-05-08T14:56:04Z,85260.521042,49.972812,
2025-05-08T14:56:05Z,53743.000000,39.932353,
2025-05-08T14:56:06Z,75000.000000,44.952133,
2025-05-08T14:56:07Z,75000.000000,44.948319,
2025-05-08T14:56:08Z,75000.000000,43.930016,
2025-05-08T14:56:09Z,75000.000000,44.443995,
2025-05-08T14:56:10Z,72853.000000,37.195825,
2025-05-08T14:56:11Z,62506.000000,37.529332,
