time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-17T16:30:38Z,,,0.989791,1162.359375
2025-04-17T16:30:39Z,,,52.516066,1170.171875
2025-04-17T16:30:40Z,,,4.051905,1170.187500
2025-04-17T16:30:41Z,,,6.971665,1164.207031
2025-04-17T16:30:42Z,,,15.565540,1164.886719
2025-04-17T16:30:43Z,,,160.347350,1186.386719
2025-04-17T16:30:44Z,,,423.611429,1220.808594
2025-04-17T16:30:45Z,,,448.659072,1245.027344
2025-04-17T16:30:46Z,,,245.264310,1241.636719
2025-04-17T16:30:47Z,,,172.561652,1244.582031
2025-04-17T16:30:48Z,,,151.096292,1246.335938
2025-04-17T16:30:49Z,,,148.246106,1247.613281
2025-04-17T16:30:50Z,,,161.480866,1248.597656
2025-04-17T16:30:51Z,,,147.765443,1239.347656
2025-04-17T16:30:52Z,,,140.495205,1240.492188
2025-04-17T16:30:53Z,,,140.640806,1241.972656
2025-04-17T16:30:54Z,,,141.157889,1242.664062
2025-04-17T16:30:55Z,,,157.011629,1253.996094
2025-04-17T16:30:56Z,,,146.819644,1247.015625
2025-04-17T16:30:57Z,,,155.782356,1247.734375
2025-04-17T16:30:58Z,,,135.518703,1248.453125
2025-04-17T16:30:59Z,,,155.329811,1249.726562
2025-04-17T16:31:00Z,,,153.923954,1250.433594
2025-04-17T16:31:01Z,,,141.103541,1250.796875
2025-04-17T16:31:02Z,,,153.958892,1250.753906
2025-04-17T16:31:03Z,,,139.546051,1250.960938
2025-04-17T16:31:04Z,,,132.875431,1251.679688
2025-04-17T16:31:05Z,,,166.210643,1251.878906
2025-04-17T16:31:06Z,,,164.931393,1252.656250
2025-04-17T16:31:07Z,,,151.694418,1252.859375
2025-04-17T16:31:08Z,,,128.818415,1253.550781
2025-04-17T16:31:09Z,,,146.291824,1253.546875
2025-04-17T16:31:10Z,,,156.217942,1253.875000
2025-04-17T16:31:11Z,,,165.981965,1253.984375
2025-04-17T16:31:12Z,,,148.404411,1254.835938
2025-04-17T16:31:13Z,,,155.872965,1255.003906
2025-04-17T16:31:14Z,,,142.563224,1254.851562
2025-04-17T16:31:15Z,,,148.515309,1255.390625
2025-04-17T16:31:16Z,,,141.294372,1256.152344
2025-04-17T16:31:17Z,,,140.525313,1256.316406
2025-04-17T16:31:18Z,,,154.023325,1256.253906
2025-04-17T16:31:19Z,,,170.721111,1256.875000
2025-04-17T16:31:20Z,,,139.004724,1256.968750
2025-04-17T16:31:21Z,,,147.466667,1256.859375
2025-04-17T16:31:22Z,,,133.669388,1257.289062
2025-04-17T16:31:23Z,,,137.111919,1257.332031
2025-04-17T16:31:24Z,,,131.340025,1257.937500
2025-04-17T16:31:25Z,,,146.940126,1257.796875
2025-04-17T16:31:26Z,,,146.736569,1258.562500
2025-04-17T16:31:27Z,,,166.150529,1265.250000
2025-04-17T16:31:28Z,,,125.039599,1265.496094
2025-04-17T16:31:29Z,,,140.303342,1265.503906
2025-04-17T16:31:30Z,,,134.427844,1265.414062
2025-04-17T16:31:31Z,,,145.815573,1265.808594
2025-04-17T16:31:32Z,,,128.839145,1265.984375
2025-04-17T16:31:33Z,,,133.469447,1265.660156
2025-04-17T16:31:34Z,,,133.566866,1265.796875
2025-04-17T16:31:35Z,,,132.185632,1265.929688
2025-04-17T16:31:36Z,,,142.347572,1267.250000
2025-04-17T16:31:37Z,,,136.560000,1266.695312
2025-04-17T16:31:38Z,,,36.810526,1266.085938
