time,msg-rate-in-per-second[mongo.test.users],msg-megabytes-in-per-second[mongo.test.users],msg-megabytes-out-per-second[mongo.test.users]
2025-04-22T13:01:01Z,30000.000000,29.882761,
2025-04-22T13:01:02Z,30000.000000,29.883305,
2025-04-22T13:01:03Z,30000.000000,29.942141,
2025-04-22T13:01:04Z,30000.000000,29.944806,
2025-04-22T13:01:05Z,30000.000000,27.848050,
2025-04-22T13:01:06Z,30000.000000,32.054621,
2025-04-22T13:01:07Z,30000.000000,29.875051,
2025-04-22T13:01:08Z,30000.000000,30.036113,
2025-04-22T13:01:09Z,30000.000000,29.956762,
2025-04-22T13:01:10Z,30000.000000,29.959111,
2025-04-22T13:01:11Z,30000.000000,29.959368,
2025-04-22T13:01:12Z,30000.000000,29.962353,
2025-04-22T13:01:13Z,30000.000000,29.960986,
2025-04-22T13:01:14Z,30000.000000,29.969390,
2025-04-22T13:01:15Z,30000.000000,29.977159,
2025-04-22T13:01:16Z,30000.000000,29.969106,
2025-04-22T13:01:17Z,30000.000000,29.969348,
2025-04-22T13:01:18Z,30000.000000,29.976022,
2025-04-22T13:01:19Z,30000.000000,29.977544,
2025-04-22T13:01:20Z,30000.000000,29.979068,
2025-04-22T13:01:21Z,30000.000000,29.979194,
2025-04-22T13:01:22Z,30000.000000,29.980547,
2025-04-22T13:01:23Z,30000.000000,29.980781,
2025-04-22T13:01:24Z,30000.000000,29.984371,
2025-04-22T13:01:25Z,30506.000000,29.971530,
2025-04-22T13:01:26Z,32513.000000,29.970714,
2025-04-22T13:01:27Z,34023.000000,30.295289,
2025-04-22T13:01:28Z,31849.000000,30.958895,
2025-04-22T13:01:29Z,31057.000000,33.428109,
2025-04-22T13:01:30Z,30052.000000,29.080922,
2025-04-22T13:01:31Z,30000.000000,34.840540,
2025-04-22T13:01:32Z,30000.000000,21.239473,
2025-04-22T13:01:33Z,0.000000,0.000000,
2025-04-22T13:01:34Z,0.000000,0.000000,
2025-04-22T13:01:35Z,0.000000,0.000000,
2025-04-22T13:01:36Z,0.000000,0.000000,
2025-04-22T13:01:37Z,0.000000,0.000000,
2025-04-22T13:01:38Z,0.000000,0.000000,
2025-04-22T13:01:39Z,0.000000,0.000000,
2025-04-22T13:01:40Z,0.000000,0.000000,
2025-04-22T13:01:41Z,0.000000,0.000000,
2025-04-22T13:01:42Z,0.000000,0.000000,
2025-04-22T13:01:43Z,0.000000,0.000000,
2025-04-22T13:01:44Z,0.000000,0.000000,
2025-04-22T13:01:45Z,0.000000,0.000000,
2025-04-22T13:01:46Z,0.000000,0.000000,
2025-04-22T13:01:47Z,0.000000,0.000000,
2025-04-22T13:01:48Z,0.000000,0.000000,
2025-04-22T13:01:49Z,0.000000,0.000000,
2025-04-22T13:01:50Z,0.000000,0.000000,
2025-04-22T13:01:51Z,0.000000,0.000000,
2025-04-22T13:01:52Z,0.000000,0.000000,
2025-04-22T13:01:53Z,0.000000,0.000000,
2025-04-22T13:01:54Z,0.000000,0.000000,
2025-04-22T13:01:55Z,0.000000,0.000000,
2025-04-22T13:01:56Z,0.000000,0.000000,
2025-04-22T13:01:57Z,0.000000,0.000000,
