time,msg-rate-in-per-second[mongo.test.users],msg-megabytes-in-per-second[mongo.test.users],msg-megabytes-out-per-second[mongo.test.users]
2025-04-22T12:54:43Z,12486.000000,17.875749,
2025-04-22T12:54:44Z,16000.000000,13.362296,
2025-04-22T12:54:45Z,13000.000000,19.232510,
2025-04-22T12:54:46Z,11016.000000,14.414761,
2025-04-22T12:54:47Z,18984.000000,18.031621,
2025-04-22T12:54:48Z,11000.000000,17.786942,
2025-04-22T12:54:49Z,15000.000000,13.491589,
2025-04-22T12:54:50Z,15000.000000,21.853080,
2025-04-22T12:54:51Z,13000.000000,15.451466,
2025-04-22T12:54:52Z,17000.000000,14.446773,
2025-04-22T12:54:53Z,13000.000000,21.664045,
2025-04-22T12:54:54Z,12000.000000,14.446300,
2025-04-22T12:54:55Z,18000.000000,18.053216,
2025-04-22T12:54:56Z,12000.000000,18.071569,
2025-04-22T12:54:57Z,14000.000000,15.627324,
2025-04-22T12:54:58Z,17095.000000,21.660875,
2025-04-22T12:54:59Z,12905.000000,16.185320,
2025-04-22T12:55:00Z,16000.000000,15.107764,
2025-04-22T12:55:01Z,15000.000000,22.288426,
2025-04-22T12:55:02Z,13000.000000,15.026219,
2025-04-22T12:55:03Z,18000.000000,14.445471,
2025-04-22T12:55:04Z,12811.000000,22.867529,
2025-04-22T12:55:05Z,12189.000000,15.641538,
2025-04-22T12:55:06Z,19000.000000,16.853606,
2025-04-22T12:55:07Z,12000.000000,19.255690,
2025-04-22T12:55:08Z,13000.000000,15.651278,
2025-04-22T12:55:09Z,18000.000000,20.457420,
2025-04-22T12:55:10Z,13000.000000,16.848284,
2025-04-22T12:55:11Z,15000.000000,14.445838,
2025-04-22T12:55:12Z,15010.000000,22.865753,
2025-04-22T12:55:13Z,12990.000000,14.438011,
2025-04-22T12:55:14Z,18000.000000,15.652309,
2025-04-22T12:55:15Z,13203.000000,22.872361,
2025-04-22T12:55:16Z,12797.000000,14.441848,
2025-04-22T12:55:17Z,18921.000000,16.847613,
2025-04-22T12:55:18Z,13079.000000,22.866817,
2025-04-22T12:55:19Z,14000.000000,16.851793,
2025-04-22T12:55:20Z,19000.000000,15.644041,
2025-04-22T12:55:21Z,13000.000000,21.661696,
2025-04-22T12:55:22Z,13000.000000,15.648460,
2025-04-22T12:55:23Z,18000.000000,16.849322,
2025-04-22T12:55:24Z,13000.000000,20.468473,
2025-04-22T12:55:25Z,12000.000000,15.642201,
2025-04-22T12:55:26Z,18000.000000,19.258595,
2025-04-22T12:55:27Z,13000.000000,16.852022,
2025-04-22T12:55:28Z,15000.000000,15.641726,
2025-04-22T12:55:29Z,16000.000000,22.865031,
2025-04-22T12:55:30Z,12009.000000,14.448490,
2025-04-22T12:55:31Z,17991.000000,14.447013,
2025-04-22T12:55:32Z,13997.000000,22.867649,
2025-04-22T12:55:33Z,12003.000000,16.704041,
2025-04-22T12:55:34Z,18000.000000,14.591021,
2025-04-22T12:55:35Z,13000.000000,20.519485,
2025-04-22T12:55:36Z,13000.000000,15.580750,
2025-04-22T12:55:37Z,18000.000000,19.258595,
2025-04-22T12:55:38Z,13000.000000,18.056532,
2025-04-22T12:55:39Z,14000.000000,15.652390,
