time,msg-rate-in-per-second[mongo.test.users],msg-megabytes-in-per-second[mongo.test.users],msg-megabytes-out-per-second[mongo.test.users]
2025-04-22T13:55:54Z,30000.000000,29.883214,
2025-04-22T13:55:55Z,30000.000000,28.836280,
2025-04-22T13:55:56Z,28047.000000,30.245811,
2025-04-22T13:55:57Z,31135.000000,26.654369,
2025-04-22T13:55:58Z,29351.000000,28.886883,
2025-04-22T13:55:59Z,31467.000000,28.161536,
2025-04-22T13:56:00Z,30000.000000,33.202556,
2025-04-22T13:56:01Z,30000.000000,29.560503,
2025-04-22T13:56:02Z,30000.000000,29.577697,
2025-04-22T13:56:03Z,29498.000000,28.390197,
2025-04-22T13:56:04Z,30502.000000,31.094679,
2025-04-22T13:56:05Z,30000.000000,26.171178,
2025-04-22T13:56:06Z,29898.000000,34.984528,
2025-04-22T13:56:07Z,27725.000000,23.556284,
2025-04-22T13:56:08Z,30281.000000,30.838789,
2025-04-22T13:56:09Z,30424.000000,31.228173,
2025-04-22T13:56:10Z,29633.000000,30.229092,
2025-04-22T13:56:11Z,30034.000000,32.412624,
2025-04-22T13:56:12Z,31292.000000,28.414077,
2025-04-22T13:56:13Z,30713.000000,32.801332,
2025-04-22T13:56:14Z,30000.000000,32.017388,
2025-04-22T13:56:15Z,30000.000000,30.589725,
2025-04-22T13:56:16Z,30000.000000,31.227847,
2025-04-22T13:56:17Z,30000.000000,29.971918,
2025-04-22T13:56:18Z,30000.000000,29.975935,
2025-04-22T13:56:19Z,30000.000000,29.974554,
2025-04-22T13:56:20Z,30000.000000,29.972763,
2025-04-22T13:56:21Z,30000.000000,29.970150,
2025-04-22T13:56:22Z,30000.000000,29.978501,
2025-04-22T13:56:23Z,30515.000000,29.972810,
2025-04-22T13:56:24Z,29485.000000,29.975549,
2025-04-22T13:56:25Z,33012.000000,29.973505,
2025-04-22T13:56:26Z,16988.000000,9.994419,
2025-04-22T13:56:27Z,0.000000,0.000000,
2025-04-22T13:56:28Z,0.000000,0.000000,
2025-04-22T13:56:29Z,0.000000,0.000000,
2025-04-22T13:56:30Z,0.000000,0.000000,
2025-04-22T13:56:31Z,0.000000,0.000000,
2025-04-22T13:56:32Z,0.000000,0.000000,
2025-04-22T13:56:33Z,0.000000,0.000000,
2025-04-22T13:56:34Z,0.000000,0.000000,
2025-04-22T13:56:35Z,0.000000,0.000000,
2025-04-22T13:56:36Z,0.000000,0.000000,
2025-04-22T13:56:37Z,0.000000,0.000000,
2025-04-22T13:56:38Z,0.000000,0.000000,
2025-04-22T13:56:39Z,0.000000,0.000000,
2025-04-22T13:56:40Z,0.000000,0.000000,
2025-04-22T13:56:41Z,0.000000,0.000000,
2025-04-22T13:56:42Z,0.000000,0.000000,
2025-04-22T13:56:43Z,0.000000,0.000000,
2025-04-22T13:56:44Z,0.000000,0.000000,
2025-04-22T13:56:45Z,0.000000,0.000000,
2025-04-22T13:56:46Z,0.000000,0.000000,
2025-04-22T13:56:47Z,0.000000,0.000000,
2025-04-22T13:56:48Z,0.000000,0.000000,
2025-04-22T13:56:49Z,0.000000,0.000000,
2025-04-22T13:56:50Z,0.000000,0.000000,
2025-04-22T13:56:51Z,0.000000,0.000000,
