time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-22T13:59:29Z,,,0.929961,1336.777344
2025-04-22T13:59:30Z,,,125.994874,1360.789062
2025-04-22T13:59:31Z,,,0.843654,1360.746094
2025-04-22T13:59:32Z,,,0.842700,1360.718750
2025-04-22T13:59:33Z,,,1.067170,1360.722656
2025-04-22T13:59:34Z,,,5.913800,1350.417969
2025-04-22T13:59:35Z,,,311.721761,1352.906250
2025-04-22T13:59:36Z,,,255.434377,1354.476562
2025-04-22T13:59:37Z,,,122.362121,1354.816406
2025-04-22T13:59:38Z,,,117.179678,1355.222656
2025-04-22T13:59:39Z,,,116.242522,1355.562500
2025-04-22T13:59:40Z,,,201.815727,1368.070312
2025-04-22T13:59:41Z,,,183.750943,1369.410156
2025-04-22T13:59:42Z,,,135.568160,1369.425781
2025-04-22T13:59:43Z,,,143.800050,1369.511719
2025-04-22T13:59:44Z,,,114.662943,1369.574219
2025-04-22T13:59:45Z,,,122.427236,1369.910156
2025-04-22T13:59:46Z,,,117.795567,1369.972656
2025-04-22T13:59:47Z,,,114.078098,1369.828125
2025-04-22T13:59:48Z,,,114.291717,1369.886719
2025-04-22T13:59:49Z,,,132.311930,1369.945312
2025-04-22T13:59:50Z,,,121.396116,1369.839844
2025-04-22T13:59:51Z,,,136.424731,1374.300781
2025-04-22T13:59:52Z,,,123.165542,1374.375000
2025-04-22T13:59:53Z,,,130.604433,1374.476562
2025-04-22T13:59:54Z,,,112.638700,1374.625000
2025-04-22T13:59:55Z,,,134.282586,1374.417969
2025-04-22T13:59:56Z,,,111.259577,1374.683594
2025-04-22T13:59:57Z,,,118.253167,1374.503906
2025-04-22T13:59:58Z,,,111.702484,1374.519531
2025-04-22T13:59:59Z,,,111.784615,1369.234375
2025-04-22T14:00:00Z,,,118.174207,1369.964844
2025-04-22T14:00:01Z,,,112.157585,1369.390625
2025-04-22T14:00:02Z,,,112.697828,1369.398438
2025-04-22T14:00:03Z,,,111.682904,1369.679688
2025-04-22T14:00:04Z,,,135.933734,1376.125000
2025-04-22T14:00:05Z,,,145.862657,1376.472656
2025-04-22T14:00:06Z,,,112.738377,1376.359375
2025-04-22T14:00:07Z,,,154.371870,1383.769531
2025-04-22T14:00:08Z,,,180.743838,1393.683594
2025-04-22T14:00:09Z,,,113.665657,1383.910156
2025-04-22T14:00:10Z,,,111.085799,1385.796875
2025-04-22T14:00:11Z,,,117.204652,1384.222656
2025-04-22T14:00:12Z,,,121.666468,1384.238281
2025-04-22T14:00:13Z,,,142.971457,1384.781250
2025-04-22T14:00:14Z,,,120.281404,1375.457031
2025-04-22T14:00:15Z,,,110.381538,1375.242188
2025-04-22T14:00:16Z,,,114.925165,1375.261719
2025-04-22T14:00:17Z,,,111.811593,1375.269531
2025-04-22T14:00:18Z,,,139.650783,1380.839844
2025-04-22T14:00:19Z,,,141.721300,1385.277344
2025-04-22T14:00:20Z,,,109.731600,1385.246094
2025-04-22T14:00:21Z,,,114.112279,1385.496094
2025-04-22T14:00:22Z,,,110.981259,1385.507812
2025-04-22T14:00:23Z,,,109.740328,1385.398438
2025-04-22T14:00:24Z,,,6.682142,1385.183594
2025-04-22T14:00:25Z,,,0.586900,1385.183594
2025-04-22T14:00:26Z,,,4.736927,1385.199219
2025-04-22T14:00:27Z,,,0.581079,1385.191406
2025-04-22T14:00:28Z,,,0.704422,1385.195312
2025-04-22T14:00:29Z,,,2.717709,1385.128906
