time,msg-rate-in-per-second[mongo.test.users],msg-megabytes-in-per-second[mongo.test.users],msg-megabytes-out-per-second[mongo.test.users]
2025-04-22T13:59:36Z,14289.000000,17.244435,
2025-04-22T13:59:37Z,19000.000000,19.960240,
2025-04-22T13:59:38Z,20000.000000,19.959944,
2025-04-22T13:59:39Z,20000.000000,19.959961,
2025-04-22T13:59:40Z,20000.000000,19.973372,
2025-04-22T13:59:41Z,20017.000000,20.997550,
2025-04-22T13:59:42Z,20983.000000,19.997954,
2025-04-22T13:59:43Z,20000.000000,20.396495,
2025-04-22T13:59:44Z,21000.000000,20.807939,
2025-04-22T13:59:45Z,21000.000000,20.791655,
2025-04-22T13:59:46Z,21000.000000,20.997603,
2025-04-22T13:59:47Z,20000.000000,19.997808,
2025-04-22T13:59:48Z,21000.000000,20.998569,
2025-04-22T13:59:49Z,21000.000000,20.999744,
2025-04-22T13:59:50Z,20000.000000,19.998619,
2025-04-22T13:59:51Z,21000.000000,20.998294,
2025-04-22T13:59:52Z,21000.000000,20.999436,
2025-04-22T13:59:53Z,20000.000000,20.034748,
2025-04-22T13:59:54Z,21000.000000,20.962265,
2025-04-22T13:59:55Z,21000.000000,20.999132,
2025-04-22T13:59:56Z,20744.000000,20.727638,
2025-04-22T13:59:57Z,20268.000000,20.436986,
2025-04-22T13:59:58Z,20988.000000,20.830966,
2025-04-22T13:59:59Z,21000.000000,20.999253,
2025-04-22T14:00:00Z,20000.000000,19.998848,
2025-04-22T14:00:01Z,21000.000000,21.008588,
2025-04-22T14:00:02Z,21000.000000,20.988978,
2025-04-22T14:00:03Z,21000.000000,20.998780,
2025-04-22T14:00:04Z,21000.000000,20.997272,
2025-04-22T14:00:05Z,20000.000000,19.997887,
2025-04-22T14:00:06Z,21000.000000,20.998960,
2025-04-22T14:00:07Z,20000.000000,20.414693,
2025-04-22T14:00:08Z,21000.000000,20.584450,
2025-04-22T14:00:09Z,21000.000000,20.908641,
2025-04-22T14:00:10Z,20000.000000,20.089428,
2025-04-22T14:00:11Z,21000.000000,20.999565,
2025-04-22T14:00:12Z,21000.000000,20.999331,
2025-04-22T14:00:13Z,20352.000000,20.445930,
2025-04-22T14:00:14Z,20648.000000,20.552977,
2025-04-22T14:00:15Z,21000.000000,21.000273,
2025-04-22T14:00:16Z,20340.000000,19.998605,
2025-04-22T14:00:17Z,20660.000000,21.372115,
2025-04-22T14:00:18Z,21000.000000,21.626626,
2025-04-22T14:00:19Z,20280.000000,18.999025,
2025-04-22T14:00:20Z,20720.000000,20.999898,
2025-04-22T14:00:21Z,21000.000000,20.999314,
2025-04-22T14:00:22Z,20000.000000,19.999745,
2025-04-22T14:00:23Z,20000.000000,19.998460,
2025-04-22T14:00:24Z,12000.000000,4.999809,
2025-04-22T14:00:25Z,0.000000,0.000000,
2025-04-22T14:00:26Z,0.000000,0.000000,
2025-04-22T14:00:27Z,0.000000,0.000000,
2025-04-22T14:00:28Z,0.000000,0.000000,
2025-04-22T14:00:29Z,0.000000,0.000000,
