time,msg-rate-per-second[mongo-to-kafka],msg-megabytes-in-per-second[mongo-to-kafka],msg-megabytes-out-per-second[mongo-to-kafka]
2025-04-22T13:01:00Z,15135.000000,9.618048,7.226815
2025-04-22T13:01:01Z,30000.000000,14.346729,14.347244
2025-04-22T13:01:02Z,30000.000000,14.346313,14.345792
2025-04-22T13:01:03Z,30000.000000,14.404027,14.384938
2025-04-22T13:01:04Z,30000.000000,14.402639,14.403265
2025-04-22T13:01:05Z,30000.000000,14.403781,14.403115
2025-04-22T13:01:06Z,30000.000000,14.404109,14.404366
2025-04-22T13:01:07Z,30000.000000,14.403926,14.403352
2025-04-22T13:01:08Z,30000.000000,14.403748,14.403587
2025-04-22T13:01:09Z,30000.000000,14.403536,14.403791
2025-04-22T13:01:10Z,30000.000000,14.404177,14.404338
2025-04-22T13:01:11Z,30000.000000,14.403655,14.404118
2025-04-22T13:01:12Z,30000.000000,14.403920,14.403453
2025-04-22T13:01:13Z,30000.000000,14.403586,14.404028
2025-04-22T13:01:14Z,30000.000000,14.404327,14.403832
2025-04-22T13:01:15Z,30000.000000,14.404001,14.404037
2025-04-22T13:01:16Z,30000.000000,14.404131,14.403853
2025-04-22T13:01:17Z,30000.000000,14.404068,14.404193
2025-04-22T13:01:18Z,30000.000000,14.404116,14.404771
2025-04-22T13:01:19Z,30000.000000,14.403657,14.403506
2025-04-22T13:01:20Z,30000.000000,14.403239,14.403199
2025-04-22T13:01:21Z,30000.000000,14.403945,14.403698
2025-04-22T13:01:22Z,30000.000000,14.403217,14.403140
2025-04-22T13:01:23Z,30000.000000,14.403936,14.404257
2025-04-22T13:01:24Z,30000.000000,14.404098,14.404052
2025-04-22T13:01:25Z,30000.000000,14.404031,14.404173
2025-04-22T13:01:26Z,30000.000000,14.404658,14.404049
2025-04-22T13:01:27Z,40000.000000,14.403065,19.204756
2025-04-22T13:01:28Z,30000.000000,14.403654,14.403654
2025-04-22T13:01:29Z,30000.000000,14.403861,14.403861
2025-04-22T13:01:30Z,30000.000000,14.403333,14.403333
2025-04-22T13:01:31Z,30000.000000,19.204656,14.403081
2025-04-22T13:01:32Z,30000.000000,9.602039,14.403614
2025-04-22T13:01:33Z,0.000000,0.000000,0.000000
2025-04-22T13:01:34Z,0.000000,0.000000,0.000000
2025-04-22T13:01:35Z,0.000000,0.000000,0.000000
2025-04-22T13:01:36Z,0.000000,0.000000,0.000000
2025-04-22T13:01:37Z,0.000000,0.000000,0.000000
2025-04-22T13:01:38Z,0.000000,0.000000,0.000000
2025-04-22T13:01:39Z,0.000000,0.000000,0.000000
2025-04-22T13:01:40Z,0.000000,0.000000,0.000000
2025-04-22T13:01:41Z,0.000000,0.000000,0.000000
2025-04-22T13:01:42Z,0.000000,0.000000,0.000000
2025-04-22T13:01:43Z,0.000000,0.000000,0.000000
2025-04-22T13:01:44Z,0.000000,0.000000,0.000000
2025-04-22T13:01:45Z,0.000000,0.000000,0.000000
2025-04-22T13:01:46Z,0.000000,0.000000,0.000000
2025-04-22T13:01:47Z,0.000000,0.000000,0.000000
2025-04-22T13:01:48Z,0.000000,0.000000,0.000000
2025-04-22T13:01:49Z,0.000000,0.000000,0.000000
2025-04-22T13:01:50Z,0.000000,0.000000,0.000000
2025-04-22T13:01:51Z,0.000000,0.000000,0.000000
2025-04-22T13:01:52Z,0.000000,0.000000,0.000000
2025-04-22T13:01:53Z,0.000000,0.000000,0.000000
2025-04-22T13:01:54Z,0.000000,0.000000,0.000000
2025-04-22T13:01:55Z,0.000000,0.000000,0.000000
2025-04-22T13:01:56Z,0.000000,0.000000,0.000000
2025-04-22T13:01:57Z,0.000000,0.000000,0.000000
2025-04-22T13:01:58Z,0.000000,0.000000,0.000000
