time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-22T13:00:58Z,0.027446,34.531250,,
2025-04-22T13:00:59Z,144.414165,235.617188,,
2025-04-22T13:01:00Z,218.708742,376.167969,,
2025-04-22T13:01:01Z,253.554859,404.273438,,
2025-04-22T13:01:02Z,250.053165,403.921875,,
2025-04-22T13:01:03Z,243.480306,352.265625,,
2025-04-22T13:01:04Z,265.482579,369.332031,,
2025-04-22T13:01:05Z,242.053842,396.738281,,
2025-04-22T13:01:06Z,255.060203,384.527344,,
2025-04-22T13:01:07Z,255.067170,382.101562,,
2025-04-22T13:01:08Z,257.872699,390.988281,,
2025-04-22T13:01:09Z,256.270088,399.648438,,
2025-04-22T13:01:10Z,250.216300,391.468750,,
2025-04-22T13:01:11Z,263.944383,383.121094,,
2025-04-22T13:01:12Z,255.851048,397.214844,,
2025-04-22T13:01:13Z,242.431432,379.226562,,
2025-04-22T13:01:14Z,259.756272,388.542969,,
2025-04-22T13:01:15Z,245.152906,386.410156,,
2025-04-22T13:01:16Z,254.064442,391.335938,,
2025-04-22T13:01:17Z,249.559240,397.464844,,
2025-04-22T13:01:18Z,250.501726,367.980469,,
2025-04-22T13:01:19Z,264.524604,360.863281,,
2025-04-22T13:01:20Z,254.228064,394.898438,,
2025-04-22T13:01:21Z,253.540148,381.351562,,
2025-04-22T13:01:22Z,258.905122,381.070312,,
2025-04-22T13:01:23Z,250.023523,366.312500,,
2025-04-22T13:01:24Z,274.213130,381.253906,,
2025-04-22T13:01:25Z,263.253603,386.812500,,
2025-04-22T13:01:26Z,248.778953,374.203125,,
2025-04-22T13:01:27Z,261.872841,387.054688,,
2025-04-22T13:01:28Z,259.034127,400.660156,,
2025-04-22T13:01:29Z,263.631534,390.902344,,
2025-04-22T13:01:30Z,256.918534,423.367188,,
2025-04-22T13:01:31Z,268.678306,396.847656,,
2025-04-22T13:01:32Z,134.512198,334.109375,,
2025-04-22T13:01:33Z,1.116186,334.109375,,
2025-04-22T13:01:34Z,1.038591,334.757812,,
2025-04-22T13:01:35Z,1.034307,334.761719,,
2025-04-22T13:01:36Z,1.045535,335.394531,,
2025-04-22T13:01:37Z,0.979321,335.394531,,
2025-04-22T13:01:38Z,1.302239,336.027344,,
2025-04-22T13:01:39Z,1.255006,336.277344,,
2025-04-22T13:01:40Z,1.081355,336.039062,,
2025-04-22T13:01:41Z,1.085169,336.039062,,
2025-04-22T13:01:42Z,1.032080,336.054688,,
2025-04-22T13:01:43Z,1.015477,336.046875,,
2025-04-22T13:01:44Z,1.032390,336.050781,,
2025-04-22T13:01:45Z,1.032472,336.062500,,
2025-04-22T13:01:46Z,1.065163,336.070312,,
2025-04-22T13:01:47Z,1.071719,336.070312,,
2025-04-22T13:01:48Z,1.248761,336.074219,,
2025-04-22T13:01:49Z,1.000556,336.074219,,
2025-04-22T13:01:50Z,0.997340,336.082031,,
2025-04-22T13:01:51Z,0.986866,336.722656,,
2025-04-22T13:01:52Z,1.029648,336.722656,,
2025-04-22T13:01:53Z,0.991418,336.722656,,
2025-04-22T13:01:54Z,0.962807,336.980469,,
2025-04-22T13:01:55Z,1.072020,336.738281,,
2025-04-22T13:01:56Z,1.078951,336.742188,,
2025-04-22T13:01:57Z,1.063778,336.734375,,
2025-04-22T13:01:58Z,1.156171,336.734375,,
