time,msg-rate-per-second[mongo-to-kafka],msg-megabytes-in-per-second[mongo-to-kafka],msg-megabytes-out-per-second[mongo-to-kafka]
2025-04-22T13:55:53Z,13020.000000,8.606635,6.212267
2025-04-22T13:55:54Z,29530.000000,14.346807,14.111167
2025-04-22T13:55:55Z,30000.000000,9.564244,14.346389
2025-04-22T13:55:56Z,30000.000000,14.365047,14.365047
2025-04-22T13:55:57Z,30000.000000,14.403921,14.403921
2025-04-22T13:55:58Z,30000.000000,14.402788,14.402788
2025-04-22T13:55:59Z,30000.000000,14.403318,14.403318
2025-04-22T13:56:00Z,30000.000000,14.403278,14.403278
2025-04-22T13:56:01Z,30000.000000,14.403547,14.403547
2025-04-22T13:56:02Z,30000.000000,14.403522,14.403522
2025-04-22T13:56:03Z,30000.000000,14.402752,14.402752
2025-04-22T13:56:04Z,30000.000000,14.404053,14.404053
2025-04-22T13:56:05Z,30000.000000,14.402816,14.402816
2025-04-22T13:56:06Z,30000.000000,14.403351,14.403351
2025-04-22T13:56:07Z,24159.000000,14.403544,14.403544
2025-04-22T13:56:08Z,35841.000000,14.403687,14.403687
2025-04-22T13:56:09Z,30000.000000,14.402467,14.402467
2025-04-22T13:56:10Z,30000.000000,14.403938,14.403938
2025-04-22T13:56:11Z,30000.000000,14.403282,14.403282
2025-04-22T13:56:12Z,30000.000000,14.403461,14.403461
2025-04-22T13:56:13Z,30000.000000,14.402757,14.402757
2025-04-22T13:56:14Z,30000.000000,19.204891,14.403527
2025-04-22T13:56:15Z,30000.000000,14.404026,14.403799
2025-04-22T13:56:16Z,30000.000000,14.402713,14.403014
2025-04-22T13:56:17Z,30000.000000,14.403274,14.403600
2025-04-22T13:56:18Z,30000.000000,14.405036,14.404492
2025-04-22T13:56:19Z,30000.000000,14.402802,14.403684
2025-04-22T13:56:20Z,30000.000000,14.403111,14.403229
2025-04-22T13:56:21Z,30000.000000,14.404691,14.403999
2025-04-22T13:56:22Z,30000.000000,14.405297,14.404465
2025-04-22T13:56:23Z,30000.000000,14.403604,14.404611
2025-04-22T13:56:24Z,30000.000000,14.403918,14.403506
2025-04-22T13:56:25Z,40000.000000,14.403239,19.204675
2025-04-22T13:56:26Z,10000.000000,4.801390,4.801390
2025-04-22T13:56:27Z,0.000000,0.000000,0.000000
2025-04-22T13:56:28Z,0.000000,0.000000,0.000000
2025-04-22T13:56:29Z,0.000000,0.000000,0.000000
2025-04-22T13:56:30Z,0.000000,0.000000,0.000000
2025-04-22T13:56:31Z,0.000000,0.000000,0.000000
2025-04-22T13:56:32Z,0.000000,0.000000,0.000000
2025-04-22T13:56:33Z,0.000000,0.000000,0.000000
2025-04-22T13:56:34Z,0.000000,0.000000,0.000000
2025-04-22T13:56:35Z,0.000000,0.000000,0.000000
2025-04-22T13:56:36Z,0.000000,0.000000,0.000000
2025-04-22T13:56:37Z,0.000000,0.000000,0.000000
2025-04-22T13:56:38Z,0.000000,0.000000,0.000000
2025-04-22T13:56:39Z,0.000000,0.000000,0.000000
2025-04-22T13:56:40Z,0.000000,0.000000,0.000000
2025-04-22T13:56:41Z,0.000000,0.000000,0.000000
2025-04-22T13:56:42Z,0.000000,0.000000,0.000000
2025-04-22T13:56:43Z,0.000000,0.000000,0.000000
2025-04-22T13:56:44Z,0.000000,0.000000,0.000000
2025-04-22T13:56:45Z,0.000000,0.000000,0.000000
2025-04-22T13:56:46Z,0.000000,0.000000,0.000000
2025-04-22T13:56:47Z,0.000000,0.000000,0.000000
2025-04-22T13:56:48Z,0.000000,0.000000,0.000000
2025-04-22T13:56:49Z,0.000000,0.000000,0.000000
2025-04-22T13:56:50Z,0.000000,0.000000,0.000000
2025-04-22T13:56:51Z,0.000000,0.000000,0.000000
