time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-22T13:55:51Z,0.014452,31.457031,,
2025-04-22T13:55:52Z,144.418277,243.953125,,
2025-04-22T13:55:53Z,194.180748,382.304688,,
2025-04-22T13:55:54Z,251.411414,419.031250,,
2025-04-22T13:55:55Z,224.734135,379.542969,,
2025-04-22T13:55:56Z,245.313275,334.351562,,
2025-04-22T13:55:57Z,251.442828,372.628906,,
2025-04-22T13:55:58Z,252.875057,399.074219,,
2025-04-22T13:55:59Z,249.163845,391.617188,,
2025-04-22T13:56:00Z,256.161020,391.640625,,
2025-04-22T13:56:01Z,248.273748,390.105469,,
2025-04-22T13:56:02Z,261.578963,389.871094,,
2025-04-22T13:56:03Z,247.589213,416.492188,,
2025-04-22T13:56:04Z,259.184081,406.042969,,
2025-04-22T13:56:05Z,256.087807,400.332031,,
2025-04-22T13:56:06Z,263.905641,398.660156,,
2025-04-22T13:56:07Z,242.619469,390.089844,,
2025-04-22T13:56:08Z,263.675918,392.453125,,
2025-04-22T13:56:09Z,255.078270,393.328125,,
2025-04-22T13:56:10Z,255.005700,398.363281,,
2025-04-22T13:56:11Z,255.950077,387.230469,,
2025-04-22T13:56:12Z,262.741523,395.066406,,
2025-04-22T13:56:13Z,257.526907,396.074219,,
2025-04-22T13:56:14Z,271.868357,389.960938,,
2025-04-22T13:56:15Z,254.727879,388.847656,,
2025-04-22T13:56:16Z,267.354430,396.281250,,
2025-04-22T13:56:17Z,257.503249,371.035156,,
2025-04-22T13:56:18Z,252.309091,351.906250,,
2025-04-22T13:56:19Z,273.503939,379.687500,,
2025-04-22T13:56:20Z,247.526193,402.476562,,
2025-04-22T13:56:21Z,253.493434,383.171875,,
2025-04-22T13:56:22Z,262.140543,386.324219,,
2025-04-22T13:56:23Z,249.480153,378.257812,,
2025-04-22T13:56:24Z,264.549601,359.164062,,
2025-04-22T13:56:25Z,179.748268,350.296875,,
2025-04-22T13:56:26Z,1.242073,350.296875,,
2025-04-22T13:56:27Z,1.249308,350.296875,,
2025-04-22T13:56:28Z,1.233927,350.296875,,
2025-04-22T13:56:29Z,1.166305,350.300781,,
2025-04-22T13:56:30Z,1.242063,350.308594,,
2025-04-22T13:56:31Z,1.539418,350.308594,,
2025-04-22T13:56:32Z,1.163417,350.312500,,
2025-04-22T13:56:33Z,1.255447,350.312500,,
2025-04-22T13:56:34Z,1.127890,350.316406,,
2025-04-22T13:56:35Z,1.112030,350.316406,,
2025-04-22T13:56:36Z,1.223087,350.332031,,
2025-04-22T13:56:37Z,1.226096,350.332031,,
2025-04-22T13:56:38Z,1.206115,350.332031,,
2025-04-22T13:56:39Z,1.216837,350.335938,,
2025-04-22T13:56:40Z,1.103577,350.335938,,
2025-04-22T13:56:41Z,1.353476,350.335938,,
2025-04-22T13:56:42Z,1.224693,350.335938,,
2025-04-22T13:56:43Z,1.270327,350.347656,,
2025-04-22T13:56:44Z,1.160702,350.343750,,
2025-04-22T13:56:45Z,1.176713,350.351562,,
2025-04-22T13:56:46Z,1.128979,350.351562,,
2025-04-22T13:56:47Z,1.132547,350.363281,,
2025-04-22T13:56:48Z,1.247718,350.367188,,
2025-04-22T13:56:49Z,1.427700,350.367188,,
2025-04-22T13:56:50Z,1.116152,350.367188,,
2025-04-22T13:56:51Z,1.287136,350.363281,,
