time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-28T11:47:13Z,0.041010,40.164062,,
2025-04-28T11:47:14Z,131.218431,328.050781,,
2025-04-28T11:47:15Z,231.428358,337.468750,,
2025-04-28T11:47:16Z,240.720000,334.332031,,
2025-04-28T11:47:17Z,256.265900,389.242188,,
2025-04-28T11:47:18Z,265.886812,372.632812,,
2025-04-28T11:47:19Z,253.883924,392.785156,,
2025-04-28T11:47:20Z,273.263761,377.789062,,
2025-04-28T11:47:21Z,244.594710,414.972656,,
2025-04-28T11:47:22Z,266.880102,394.675781,,
2025-04-28T11:47:23Z,251.009665,416.613281,,
2025-04-28T11:47:24Z,270.938926,363.777344,,
2025-04-28T11:47:25Z,283.580480,384.226562,,
2025-04-28T11:47:26Z,277.722383,376.628906,,
2025-04-28T11:47:27Z,282.591232,381.121094,,
2025-04-28T11:47:28Z,277.770822,374.074219,,
2025-04-28T11:47:29Z,279.702684,424.082031,,
2025-04-28T11:47:30Z,285.734326,390.281250,,
2025-04-28T11:47:31Z,273.015280,422.343750,,
2025-04-28T11:47:32Z,284.633571,382.574219,,
2025-04-28T11:47:33Z,278.036641,385.042969,,
2025-04-28T11:47:34Z,284.264623,402.570312,,
2025-04-28T11:47:35Z,277.514660,350.542969,,
2025-04-28T11:47:36Z,282.902510,402.371094,,
2025-04-28T11:47:37Z,265.403454,388.273438,,
2025-04-28T11:47:38Z,293.783275,393.632812,,
2025-04-28T11:47:39Z,268.856488,397.167969,,
2025-04-28T11:47:40Z,228.186700,394.316406,,
2025-04-28T11:47:41Z,29.207771,316.476562,,
2025-04-28T11:47:42Z,0.812124,316.488281,,
2025-04-28T11:47:43Z,1.041294,316.503906,,
2025-04-28T11:47:44Z,0.893449,316.511719,,
2025-04-28T11:47:45Z,0.899104,316.527344,,
2025-04-28T11:47:47Z,0.884015,316.531250,,
2025-04-28T11:47:48Z,0.968700,316.535156,,
2025-04-28T11:47:49Z,0.908241,316.539062,,
2025-04-28T11:47:50Z,0.852296,316.542969,,
2025-04-28T11:47:51Z,0.873091,316.554688,,
2025-04-28T11:47:52Z,0.879900,316.554688,,
2025-04-28T11:47:53Z,0.923216,316.554688,,
2025-04-28T11:47:54Z,1.054428,316.558594,,
2025-04-28T11:47:55Z,0.805693,316.562500,,
2025-04-28T11:47:56Z,0.830164,316.562500,,
2025-04-28T11:47:57Z,0.786499,316.566406,,
2025-04-28T11:47:58Z,0.953552,316.570312,,
2025-04-28T11:47:59Z,0.880100,316.570312,,
2025-04-28T11:48:00Z,0.922793,316.570312,,
2025-04-28T11:48:01Z,0.853333,316.574219,,
2025-04-28T11:48:02Z,0.839598,316.582031,,
2025-04-28T11:48:03Z,0.842854,316.593750,,
2025-04-28T11:48:04Z,1.018693,316.593750,,
2025-04-28T11:48:05Z,0.887400,316.593750,,
2025-04-28T11:48:06Z,0.934132,316.597656,,
2025-04-28T11:48:07Z,0.803500,316.597656,,
2025-04-28T11:48:08Z,0.749300,316.597656,,
2025-04-28T11:48:09Z,0.841046,316.597656,,
2025-04-28T11:48:10Z,0.855941,316.597656,,
2025-04-28T11:48:11Z,0.963700,316.597656,,
2025-04-28T11:48:12Z,0.930479,316.597656,,
2025-04-28T11:48:13Z,0.929362,316.601562,,
2025-04-28T11:48:14Z,1.059168,316.605469,,
