time,msg-rate-in-per-second[mongo.test.users],msg-megabytes-in-per-second[mongo.test.users],msg-megabytes-out-per-second[mongo.test.users]
2025-04-28T11:47:15Z,25874.699000,25.027419,
2025-04-28T11:47:16Z,34387.000000,38.211580,
2025-04-28T11:47:17Z,35613.000000,33.634085,
2025-04-28T11:47:18Z,40000.000000,39.979444,
2025-04-28T11:47:19Z,40000.000000,39.992208,
2025-04-28T11:47:20Z,37742.000000,32.424576,
2025-04-28T11:47:21Z,32258.000000,37.627162,
2025-04-28T11:47:22Z,40000.000000,39.818073,
2025-04-28T11:47:23Z,31711.000000,30.426918,
2025-04-28T11:47:24Z,38289.000000,40.214789,
2025-04-28T11:47:25Z,40000.000000,40.206111,
2025-04-28T11:47:26Z,38897.000000,35.189827,
2025-04-28T11:47:27Z,33136.000000,35.182631,
2025-04-28T11:47:28Z,37967.000000,40.205010,
2025-04-28T11:47:29Z,40000.000000,40.222232,
2025-04-28T11:47:30Z,40000.000000,38.766576,
2025-04-28T11:47:31Z,39346.000000,32.536595,
2025-04-28T11:47:32Z,35308.000000,39.284657,
2025-04-28T11:47:33Z,35346.000000,40.218111,
2025-04-28T11:47:34Z,40000.000000,40.216010,
2025-04-28T11:47:35Z,40000.000000,35.659400,
2025-04-28T11:47:36Z,37304.000000,34.707109,
2025-04-28T11:47:37Z,36332.000000,40.213958,
2025-04-28T11:47:38Z,36364.000000,40.218271,
2025-04-28T11:47:39Z,40000.000000,40.218226,
2025-04-28T11:47:40Z,40000.000000,40.211162,
2025-04-28T11:47:41Z,10000.000000,0.000000,
2025-04-28T11:47:42Z,0.000000,0.000000,
2025-04-28T11:47:43Z,0.000000,0.000000,
2025-04-28T11:47:44Z,0.000000,0.000000,
2025-04-28T11:47:45Z,0.000000,0.000000,
2025-04-28T11:47:46Z,0.000000,0.000000,
2025-04-28T11:47:47Z,0.000000,0.000000,
2025-04-28T11:47:48Z,0.000000,0.000000,
2025-04-28T11:47:49Z,0.000000,0.000000,
2025-04-28T11:47:50Z,0.000000,0.000000,
2025-04-28T11:47:51Z,0.000000,0.000000,
2025-04-28T11:47:52Z,0.000000,0.000000,
2025-04-28T11:47:53Z,0.000000,0.000000,
2025-04-28T11:47:54Z,0.000000,0.000000,
2025-04-28T11:47:55Z,0.000000,0.000000,
2025-04-28T11:47:56Z,0.000000,0.000000,
2025-04-28T11:47:57Z,0.000000,0.000000,
2025-04-28T11:47:58Z,0.000000,0.000000,
2025-04-28T11:47:59Z,0.000000,0.000000,
2025-04-28T11:48:00Z,0.000000,0.000000,
2025-04-28T11:48:01Z,0.000000,0.000000,
2025-04-28T11:48:02Z,0.000000,0.000000,
2025-04-28T11:48:03Z,0.000000,0.000000,
2025-04-28T11:48:04Z,0.000000,0.000000,
2025-04-28T11:48:05Z,0.000000,0.000000,
2025-04-28T11:48:06Z,0.000000,0.000000,
2025-04-28T11:48:07Z,0.000000,0.000000,
2025-04-28T11:48:08Z,0.000000,0.000000,
2025-04-28T11:48:09Z,0.000000,0.000000,
2025-04-28T11:48:10Z,0.000000,0.000000,
2025-04-28T11:48:11Z,0.000000,0.000000,
2025-04-28T11:48:12Z,0.000000,0.000000,
