time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-28T11:32:37Z,,,7.046327,4425.296875
2025-04-28T11:32:38Z,,,544.968822,4707.414062
2025-04-28T11:32:39Z,,,313.713185,4931.761719
2025-04-28T11:32:40Z,,,475.593620,5173.203125
2025-04-28T11:32:41Z,,,387.946203,5434.179688
2025-04-28T11:32:42Z,,,390.796162,5780.921875
2025-04-28T11:32:43Z,,,300.748919,5979.355469
2025-04-28T11:32:44Z,,,384.947316,6262.941406
2025-04-28T11:32:45Z,,,340.826667,6534.324219
2025-04-28T11:32:46Z,,,327.741259,6810.402344
2025-04-28T11:32:47Z,,,387.589613,7102.351562
2025-04-28T11:32:48Z,,,329.944352,7406.726562
2025-04-28T11:32:49Z,,,375.912782,7524.757812
2025-04-28T11:32:50Z,,,303.259827,7546.410156
2025-04-28T11:32:51Z,,,311.243160,7569.796875
2025-04-28T11:32:52Z,,,374.677700,7587.773438
2025-04-28T11:32:53Z,,,331.632769,7612.546875
2025-04-28T11:32:54Z,,,357.275335,7642.238281
2025-04-28T11:32:55Z,,,321.492759,7654.218750
2025-04-28T11:32:56Z,,,333.572265,7670.554688
2025-04-28T11:32:57Z,,,302.992204,7694.050781
2025-04-28T11:32:58Z,,,355.434774,7704.433594
2025-04-28T11:32:59Z,,,390.067547,7705.507812
2025-04-28T11:33:00Z,,,307.798849,7713.214844
2025-04-28T11:33:01Z,,,354.297738,7725.027344
2025-04-28T11:33:02Z,,,286.266700,7726.656250
2025-04-28T11:33:03Z,,,306.400504,7728.828125
2025-04-28T11:33:04Z,,,96.230688,7728.359375
2025-04-28T11:33:05Z,,,14.837481,7728.472656
2025-04-28T11:33:06Z,,,1.232120,7727.585938
2025-04-28T11:33:07Z,,,1.364712,7727.582031
2025-04-28T11:33:08Z,,,2.173451,7727.585938
2025-04-28T11:33:09Z,,,1.076245,7727.589844
2025-04-28T11:33:10Z,,,2.942469,7727.496094
2025-04-28T11:33:11Z,,,4.338847,7727.507812
2025-04-28T11:33:12Z,,,0.842939,7727.507812
2025-04-28T11:33:13Z,,,0.959799,7727.511719
2025-04-28T11:33:14Z,,,0.797217,7727.511719
2025-04-28T11:33:15Z,,,0.958287,7727.507812
2025-04-28T11:33:16Z,,,3.928130,7727.511719
2025-04-28T11:33:17Z,,,0.796509,7727.511719
2025-04-28T11:33:18Z,,,0.859100,7727.511719
2025-04-28T11:33:19Z,,,1.086127,7727.511719
2025-04-28T11:33:20Z,,,1.628206,7727.531250
2025-04-28T11:33:21Z,,,3.930936,7727.535156
2025-04-28T11:33:22Z,,,0.837541,7727.535156
2025-04-28T11:33:23Z,,,0.832060,7727.535156
2025-04-28T11:33:24Z,,,1.129761,7727.539062
2025-04-28T11:33:25Z,,,0.859348,7727.535156
2025-04-28T11:33:26Z,,,6.147685,7727.562500
2025-04-28T11:33:27Z,,,4.379925,7727.578125
2025-04-28T11:33:28Z,,,0.969648,7727.582031
2025-04-28T11:33:29Z,,,1.116238,7727.589844
2025-04-28T11:33:30Z,,,1.192800,7727.601562
2025-04-28T11:33:31Z,,,6.593209,7727.617188
2025-04-28T11:33:32Z,,,0.633695,7727.617188
2025-04-28T11:33:33Z,,,0.670122,7727.230469
2025-04-28T11:33:34Z,,,0.794530,7727.230469
2025-04-28T11:33:35Z,,,0.798149,7727.230469
2025-04-28T11:33:36Z,,,7.237879,7727.261719
2025-04-28T11:33:37Z,,,0.859212,7727.261719
