time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-24T00:40:00Z,0.002313,54.285156,,
2025-04-24T00:40:01Z,133.029872,246.296875,,
2025-04-24T00:40:02Z,167.216611,320.230469,,
2025-04-24T00:40:03Z,179.404833,550.562500,,
2025-04-24T00:40:04Z,214.494627,597.710938,,
2025-04-24T00:40:05Z,239.908735,492.933594,,
2025-04-24T00:40:06Z,213.674051,466.218750,,
2025-04-24T00:40:07Z,213.141090,455.238281,,
2025-04-24T00:40:08Z,208.853026,395.164062,,
2025-04-24T00:40:09Z,217.211669,497.113281,,
2025-04-24T00:40:10Z,192.915309,452.710938,,
2025-04-24T00:40:11Z,219.098964,475.300781,,
2025-04-24T00:40:12Z,216.964580,505.988281,,
2025-04-24T00:40:13Z,205.602471,511.730469,,
2025-04-24T00:40:14Z,222.378721,469.421875,,
2025-04-24T00:40:15Z,213.358342,512.210938,,
2025-04-24T00:40:16Z,201.125313,507.292969,,
2025-04-24T00:40:17Z,201.650473,498.363281,,
2025-04-24T00:40:18Z,223.043097,483.730469,,
2025-04-24T00:40:19Z,196.215141,499.843750,,
2025-04-24T00:40:20Z,221.923372,509.964844,,
2025-04-24T00:40:21Z,216.218639,442.367188,,
2025-04-24T00:40:22Z,228.369311,443.843750,,
2025-04-24T00:40:23Z,223.988586,488.117188,,
2025-04-24T00:40:24Z,187.422085,481.449219,,
2025-04-24T00:40:25Z,206.428999,484.253906,,
2025-04-24T00:40:26Z,220.458489,471.546875,,
2025-04-24T00:40:27Z,206.972308,487.910156,,
2025-04-24T00:40:28Z,213.886166,498.851562,,
2025-04-24T00:40:29Z,224.551520,511.019531,,
2025-04-24T00:40:30Z,201.928685,517.562500,,
2025-04-24T00:40:31Z,183.159692,450.152344,,
2025-04-24T00:40:32Z,221.678252,496.937500,,
2025-04-24T00:40:33Z,207.277752,473.347656,,
2025-04-24T00:40:34Z,222.158882,483.988281,,
2025-04-24T00:40:35Z,208.768269,483.339844,,
2025-04-24T00:40:36Z,239.027117,481.179688,,
2025-04-24T00:40:37Z,203.483085,516.546875,,
2025-04-24T00:40:38Z,180.398123,476.488281,,
2025-04-24T00:40:39Z,220.719187,488.527344,,
2025-04-24T00:40:40Z,198.840456,511.191406,,
2025-04-24T00:40:41Z,221.626362,516.964844,,
2025-04-24T00:40:42Z,224.613333,472.898438,,
2025-04-24T00:40:43Z,225.600918,472.503906,,
2025-04-24T00:40:44Z,220.605641,511.460938,,
2025-04-24T00:40:45Z,178.447263,517.207031,,
2025-04-24T00:40:46Z,217.155964,480.527344,,
2025-04-24T00:40:47Z,211.077574,477.527344,,
2025-04-24T00:40:48Z,224.530374,513.218750,,
2025-04-24T00:40:49Z,213.367245,503.429688,,
2025-04-24T00:40:50Z,206.154249,508.542969,,
2025-04-24T00:40:51Z,236.198125,482.445312,,
2025-04-24T00:40:52Z,200.618851,497.589844,,
2025-04-24T00:40:53Z,216.696250,491.652344,,
2025-04-24T00:40:54Z,202.124388,419.675781,,
2025-04-24T00:40:55Z,223.826974,492.496094,,
2025-04-24T00:40:56Z,211.921245,477.058594,,
2025-04-24T00:40:57Z,228.908988,459.167969,,
2025-04-24T00:40:58Z,222.626051,454.179688,,
2025-04-24T00:40:59Z,177.177290,497.871094,,
2025-04-24T00:41:00Z,226.220779,498.367188,,
2025-04-24T00:41:01Z,211.799742,503.386719,,
2025-04-24T00:41:02Z,208.764825,519.648438,,
2025-04-24T00:41:03Z,207.978430,480.421875,,
2025-04-24T00:41:04Z,222.333887,467.054688,,
2025-04-24T00:41:05Z,227.295919,481.496094,,
2025-04-24T00:41:06Z,205.653402,480.476562,,
2025-04-24T00:41:07Z,208.567663,461.671875,,
2025-04-24T00:41:08Z,198.239378,452.382812,,
2025-04-24T00:41:09Z,204.341159,512.023438,,
2025-04-24T00:41:10Z,176.485031,415.500000,,
2025-04-24T00:41:11Z,1.201922,415.492188,,
2025-04-24T00:41:12Z,1.141627,415.511719,,
2025-04-24T00:41:13Z,1.218770,415.511719,,
2025-04-24T00:41:14Z,1.209001,415.515625,,
2025-04-24T00:41:15Z,1.158745,415.523438,,
2025-04-24T00:41:16Z,1.113492,415.527344,,
2025-04-24T00:41:17Z,1.100881,415.527344,,
2025-04-24T00:41:18Z,1.096000,415.531250,,
2025-04-24T00:41:19Z,1.206943,415.531250,,
2025-04-24T00:41:20Z,1.175929,415.535156,,
2025-04-24T00:41:21Z,1.176970,415.554688,,
2025-04-24T00:41:22Z,1.214018,415.554688,,
2025-04-24T00:41:23Z,1.105427,415.554688,,
2025-04-24T00:41:24Z,1.162760,415.566406,,
2025-04-24T00:41:25Z,1.149737,415.566406,,
2025-04-24T00:41:26Z,1.134555,415.570312,,
2025-04-24T00:41:27Z,1.160404,415.570312,,
2025-04-24T00:41:28Z,1.250590,415.570312,,
2025-04-24T00:41:29Z,1.290606,415.570312,,
2025-04-24T00:41:30Z,1.094003,415.570312,,
