time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-04-24T00:40:04Z,50000.000000,41.170274,
2025-04-24T00:40:05Z,38414.000000,19.995410,
2025-04-24T00:40:06Z,20951.000000,30.004407,
2025-04-24T00:40:07Z,40635.000000,36.526055,
2025-04-24T00:40:08Z,50001.000000,36.527385,
2025-04-24T00:40:09Z,50001.000000,36.528767,
2025-04-24T00:40:10Z,50000.000000,36.528380,
2025-04-24T00:40:11Z,46341.000000,16.668479,
2025-04-24T00:40:12Z,30347.000000,20.382553,
2025-04-24T00:40:13Z,23312.000000,36.004656,
2025-04-24T00:40:14Z,50000.000000,36.528811,
2025-04-24T00:40:15Z,50001.000000,36.530854,
2025-04-24T00:40:16Z,50001.000000,36.531795,
2025-04-24T00:40:17Z,50000.000000,36.529207,
2025-04-24T00:40:18Z,50000.000000,26.846632,
2025-04-24T00:40:19Z,50000.000000,25.636075,
2025-04-24T00:40:20Z,8966.000000,20.575658,
2025-04-24T00:40:21Z,41034.000000,36.530318,
2025-04-24T00:40:22Z,50000.000000,36.532079,
2025-04-24T00:40:23Z,50000.000000,36.532777,
2025-04-24T00:40:24Z,50000.000000,36.531984,
2025-04-24T00:40:25Z,50000.000000,27.317392,
2025-04-24T00:40:26Z,45400.000000,21.515729,
2025-04-24T00:40:27Z,12124.000000,24.469391,
2025-04-24T00:40:28Z,42476.000000,36.773418,
2025-04-24T00:40:29Z,50000.000000,36.767844,
2025-04-24T00:40:30Z,50000.000000,36.778021,
2025-04-24T00:40:31Z,50001.000000,36.772976,
2025-04-24T00:40:32Z,50001.000000,19.725057,
2025-04-24T00:40:33Z,41093.000000,28.890444,
2025-04-24T00:40:34Z,8908.000000,24.933222,
2025-04-24T00:40:35Z,50001.000000,36.777507,
2025-04-24T00:40:36Z,50000.000000,36.779901,
2025-04-24T00:40:37Z,50000.000000,36.776222,
2025-04-24T00:40:38Z,50001.000000,36.776379,
2025-04-24T00:40:39Z,50001.000000,20.945692,
2025-04-24T00:40:40Z,33603.000000,20.994806,
2025-04-24T00:40:41Z,16397.000000,31.612932,
2025-04-24T00:40:42Z,50000.000000,36.776917,
2025-04-24T00:40:43Z,50000.000000,36.775536,
2025-04-24T00:40:44Z,50000.000000,36.777210,
2025-04-24T00:40:45Z,50001.000000,36.782343,
2025-04-24T00:40:46Z,50000.000000,27.694260,
2025-04-24T00:40:47Z,48853.000000,27.213888,
2025-04-24T00:40:48Z,19640.000000,18.644326,
2025-04-24T00:40:49Z,34719.000000,36.776089,
2025-04-24T00:40:50Z,46789.000000,36.777539,
2025-04-24T00:40:51Z,50000.000000,36.778900,
2025-04-24T00:40:52Z,50001.000000,36.781944,
2025-04-24T00:40:53Z,50001.000000,36.776853,
2025-04-24T00:40:54Z,50000.000000,23.791290,
2025-04-24T00:40:55Z,8893.000000,12.984023,
2025-04-24T00:40:56Z,41108.000000,36.775766,
2025-04-24T00:40:57Z,50001.000000,36.777235,
2025-04-24T00:40:58Z,50000.000000,36.779701,
2025-04-24T00:40:59Z,50001.000000,36.776946,
2025-04-24T00:41:00Z,50001.000000,18.225521,
2025-04-24T00:41:01Z,48298.000000,34.703406,
2025-04-24T00:41:02Z,17325.000000,20.621729,
2025-04-24T00:41:03Z,34377.000000,36.776077,
2025-04-24T00:41:04Z,50000.000000,36.775511,
2025-04-24T00:41:05Z,50000.000000,36.775517,
2025-04-24T00:41:06Z,50001.000000,36.781504,
2025-04-24T00:41:07Z,50001.000000,30.749738,
2025-04-24T00:41:08Z,50001.000000,30.919675,
2025-04-24T00:41:09Z,15606.000000,11.879751,
2025-04-24T00:41:10Z,34395.000000,36.777162,
2025-04-24T00:41:11Z,50000.000000,36.777856,
2025-04-24T00:41:12Z,0.000000,0.000000,
2025-04-24T00:41:13Z,0.000000,0.000000,
2025-04-24T00:41:14Z,0.000000,0.000000,
2025-04-24T00:41:15Z,0.000000,0.000000,
2025-04-24T00:41:16Z,0.000000,0.000000,
2025-04-24T00:41:17Z,0.000000,0.000000,
2025-04-24T00:41:18Z,0.000000,0.000000,
2025-04-24T00:41:19Z,0.000000,0.000000,
2025-04-24T00:41:20Z,0.000000,0.000000,
2025-04-24T00:41:21Z,0.000000,0.000000,
2025-04-24T00:41:22Z,0.000000,0.000000,
2025-04-24T00:41:23Z,0.000000,0.000000,
2025-04-24T00:41:24Z,0.000000,0.000000,
2025-04-24T00:41:25Z,0.000000,0.000000,
2025-04-24T00:41:26Z,0.000000,0.000000,
2025-04-24T00:41:27Z,0.000000,0.000000,
2025-04-24T00:41:28Z,0.000000,0.000000,
2025-04-24T00:41:29Z,0.000000,0.000000,
2025-04-24T00:41:30Z,0.000000,0.000000,
