time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-24T00:43:28Z,,,0.145787,1466.199219
2025-04-24T00:43:29Z,,,552.363829,1093.628906
2025-04-24T00:43:30Z,,,465.991541,1383.277344
2025-04-24T00:43:31Z,,,334.613533,1388.496094
2025-04-24T00:43:32Z,,,156.409481,1400.062500
2025-04-24T00:43:33Z,,,166.296691,1445.832031
2025-04-24T00:43:34Z,,,181.007231,1518.492188
2025-04-24T00:43:35Z,,,186.192519,1592.218750
2025-04-24T00:43:36Z,,,167.057222,1703.527344
2025-04-24T00:43:37Z,,,179.224887,1822.605469
2025-04-24T00:43:38Z,,,247.043346,1885.726562
2025-04-24T00:43:39Z,,,244.730946,1917.554688
2025-04-24T00:43:40Z,,,220.904716,1973.011719
2025-04-24T00:43:41Z,,,221.355259,2089.457031
2025-04-24T00:43:42Z,,,195.648059,2181.890625
2025-04-24T00:43:43Z,,,226.504796,2285.605469
2025-04-24T00:43:44Z,,,242.248335,2370.984375
2025-04-24T00:43:45Z,,,202.262484,2408.171875
2025-04-24T00:43:46Z,,,212.017330,2434.097656
2025-04-24T00:43:47Z,,,207.251600,2451.234375
2025-04-24T00:43:48Z,,,209.116228,2468.250000
2025-04-24T00:43:49Z,,,196.190932,2477.320312
2025-04-24T00:43:50Z,,,200.065600,2489.613281
2025-04-24T00:43:51Z,,,211.768946,2495.589844
2025-04-24T00:43:52Z,,,196.960905,2499.667969
2025-04-24T00:43:53Z,,,200.874575,2504.253906
2025-04-24T00:43:54Z,,,261.904481,2523.097656
2025-04-24T00:43:55Z,,,191.520915,2549.234375
2025-04-24T00:43:56Z,,,208.795118,2562.613281
2025-04-24T00:43:57Z,,,197.235006,2562.777344
2025-04-24T00:43:58Z,,,190.813218,2567.988281
2025-04-24T00:43:59Z,,,200.073299,2571.390625
2025-04-24T00:44:00Z,,,204.584677,2572.203125
2025-04-24T00:44:01Z,,,182.145081,2573.972656
2025-04-24T00:44:02Z,,,203.679697,2576.378906
2025-04-24T00:44:03Z,,,188.379270,2579.167969
2025-04-24T00:44:04Z,,,244.062692,2472.292969
2025-04-24T00:44:05Z,,,221.602314,2493.589844
2025-04-24T00:44:06Z,,,198.637887,2511.636719
2025-04-24T00:44:07Z,,,205.963739,2517.511719
2025-04-24T00:44:08Z,,,190.454109,2524.062500
2025-04-24T00:44:09Z,,,179.920906,2524.734375
2025-04-24T00:44:10Z,,,209.010864,2528.574219
2025-04-24T00:44:11Z,,,195.003783,2533.613281
2025-04-24T00:44:12Z,,,210.503970,2537.460938
2025-04-24T00:44:13Z,,,245.293663,2408.703125
2025-04-24T00:44:14Z,,,203.811450,2346.871094
2025-04-24T00:44:15Z,,,198.959191,2391.960938
2025-04-24T00:44:16Z,,,185.336252,2404.039062
2025-04-24T00:44:17Z,,,185.191057,2403.906250
2025-04-24T00:44:18Z,,,199.998685,2412.953125
2025-04-24T00:44:19Z,,,201.303535,2422.019531
2025-04-24T00:44:20Z,,,188.765443,2440.507812
2025-04-24T00:44:21Z,,,189.438509,2440.019531
2025-04-24T00:44:22Z,,,199.175100,2452.378906
2025-04-24T00:44:23Z,,,229.164302,2459.437500
2025-04-24T00:44:24Z,,,215.999600,2270.941406
2025-04-24T00:44:25Z,,,223.364030,2339.445312
2025-04-24T00:44:26Z,,,199.398624,2350.074219
2025-04-24T00:44:27Z,,,204.666699,2368.812500
2025-04-24T00:44:28Z,,,208.158081,2388.632812
2025-04-24T00:44:29Z,,,53.257285,2397.421875
2025-04-24T00:44:30Z,,,7.530951,2397.160156
2025-04-24T00:44:31Z,,,5.214390,2397.187500
2025-04-24T00:44:32Z,,,1.381681,2397.191406
2025-04-24T00:44:33Z,,,0.793200,2397.203125
2025-04-24T00:44:34Z,,,1.203023,2397.203125
2025-04-24T00:44:35Z,,,1.660804,2397.207031
2025-04-24T00:44:36Z,,,4.649737,2397.218750
2025-04-24T00:44:37Z,,,0.891529,2397.214844
2025-04-24T00:44:38Z,,,8.296583,2397.242188
2025-04-24T00:44:39Z,,,0.902065,2397.242188
2025-04-24T00:44:40Z,,,2.810339,2397.250000
2025-04-24T00:44:41Z,,,4.982544,2397.175781
2025-04-24T00:44:42Z,,,0.818806,2397.179688
2025-04-24T00:44:43Z,,,16.891572,2397.437500
2025-04-24T00:44:44Z,,,0.825464,2397.191406
2025-04-24T00:44:45Z,,,0.849874,2397.191406
2025-04-24T00:44:46Z,,,4.661106,2397.222656
2025-04-24T00:44:47Z,,,0.760200,2397.207031
2025-04-24T00:44:48Z,,,0.784121,2397.210938
2025-04-24T00:44:49Z,,,0.802926,2397.214844
2025-04-24T00:44:50Z,,,0.679650,2397.214844
2025-04-24T00:44:51Z,,,5.089773,2397.222656
2025-04-24T00:44:52Z,,,1.124925,2397.230469
2025-04-24T00:44:53Z,,,0.948197,2397.226562
2025-04-24T00:44:54Z,,,0.931788,2397.226562
2025-04-24T00:44:55Z,,,0.785847,2397.234375
2025-04-24T00:44:56Z,,,4.660931,2397.250000
2025-04-24T00:44:57Z,,,10.962597,2397.273438
2025-04-24T00:44:58Z,,,0.907337,2397.281250
