time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-04-24T00:43:31Z,19705.000000,8.638729,
2025-04-24T00:43:32Z,28595.000000,11.403022,
2025-04-24T00:43:33Z,29085.000000,12.864566,
2025-04-24T00:43:34Z,37730.000000,16.546439,
2025-04-24T00:43:35Z,33880.000000,16.063231,
2025-04-24T00:43:36Z,37625.000000,15.495047,
2025-04-24T00:43:37Z,39900.000000,17.078926,
2025-04-24T00:43:38Z,44450.000000,18.868429,
2025-04-24T00:43:39Z,39725.000000,17.914183,
2025-04-24T00:43:40Z,46900.000000,20.022662,
2025-04-24T00:43:41Z,48160.000000,21.115400,
2025-04-24T00:43:42Z,50820.000000,21.700181,
2025-04-24T00:43:43Z,52955.000000,22.115736,
2025-04-24T00:43:44Z,45955.000000,22.854460,
2025-04-24T00:43:45Z,52815.000000,21.115357,
2025-04-24T00:43:46Z,52325.000000,24.424287,
2025-04-24T00:43:47Z,50330.000000,22.238866,
2025-04-24T00:43:48Z,52150.000000,23.100692,
2025-04-24T00:43:49Z,48965.000000,21.484734,
2025-04-24T00:43:50Z,53550.000000,22.916020,
2025-04-24T00:43:51Z,54005.000000,23.470092,
2025-04-24T00:43:52Z,53270.000000,23.793270,
2025-04-24T00:43:53Z,52710.000000,22.440629,
2025-04-24T00:43:54Z,51520.000000,24.417504,
2025-04-24T00:43:55Z,50540.000000,21.390532,
2025-04-24T00:43:56Z,53165.000000,22.834192,
2025-04-24T00:43:57Z,47565.000000,22.399563,
2025-04-24T00:43:58Z,51170.000000,22.259802,
2025-04-24T00:43:59Z,48930.000000,22.461649,
2025-04-24T00:44:00Z,53585.000000,22.647900,
2025-04-24T00:44:01Z,50015.000000,22.601349,
2025-04-24T00:44:02Z,52360.000000,24.417527,
2025-04-24T00:44:03Z,54740.000000,22.213269,
2025-04-24T00:44:04Z,53795.000000,24.293312,
2025-04-24T00:44:05Z,50085.000000,22.306393,
2025-04-24T00:44:06Z,53515.000000,23.191212,
2025-04-24T00:44:07Z,56805.000000,25.612783,
2025-04-24T00:44:08Z,53165.000000,23.455121,
2025-04-24T00:44:09Z,49525.000000,23.641364,
2025-04-24T00:44:10Z,56805.000000,23.936293,
2025-04-24T00:44:11Z,55545.000000,24.634830,
2025-04-24T00:44:12Z,53340.000000,23.864637,
2025-04-24T00:44:13Z,56070.000000,24.298922,
2025-04-24T00:44:14Z,54425.000000,23.785520,
2025-04-24T00:44:15Z,53865.000000,24.298918,
2025-04-24T00:44:16Z,49175.000000,22.665504,
2025-04-24T00:44:17Z,52430.000000,22.618832,
2025-04-24T00:44:18Z,50400.000000,21.934322,
2025-04-24T00:44:19Z,52570.000000,23.443324,
2025-04-24T00:44:20Z,49910.000000,23.163285,
2025-04-24T00:44:21Z,49735.000000,21.934351,
2025-04-24T00:44:22Z,52430.000000,23.116623,
2025-04-24T00:44:23Z,55895.000000,24.034448,
2025-04-24T00:44:24Z,52780.000000,24.407786,
2025-04-24T00:44:25Z,57260.000000,24.407797,
2025-04-24T00:44:26Z,57540.000000,26.523447,
2025-04-24T00:44:27Z,53725.000000,24.594474,
2025-04-24T00:44:28Z,53270.000000,22.712184,
2025-04-24T00:44:29Z,64470.000000,28.499071,
2025-04-24T00:44:30Z,35045.000000,22.561115,
2025-04-24T00:44:31Z,0.000000,0.000000,
2025-04-24T00:44:32Z,0.000000,0.000000,
2025-04-24T00:44:33Z,0.000000,0.000000,
2025-04-24T00:44:34Z,0.000000,0.000000,
2025-04-24T00:44:35Z,0.000000,0.000000,
2025-04-24T00:44:36Z,0.000000,0.000000,
2025-04-24T00:44:37Z,0.000000,0.000000,
2025-04-24T00:44:38Z,0.000000,0.000000,
2025-04-24T00:44:39Z,0.000000,0.000000,
2025-04-24T00:44:40Z,0.000000,0.000000,
2025-04-24T00:44:41Z,0.000000,0.000000,
2025-04-24T00:44:42Z,0.000000,0.000000,
2025-04-24T00:44:43Z,0.000000,0.000000,
2025-04-24T00:44:44Z,0.000000,0.000000,
2025-04-24T00:44:45Z,0.000000,0.000000,
2025-04-24T00:44:46Z,0.000000,0.000000,
2025-04-24T00:44:47Z,0.000000,0.000000,
2025-04-24T00:44:48Z,0.000000,0.000000,
2025-04-24T00:44:49Z,0.000000,0.000000,
2025-04-24T00:44:50Z,0.000000,0.000000,
2025-04-24T00:44:51Z,0.000000,0.000000,
2025-04-24T00:44:52Z,0.000000,0.000000,
2025-04-24T00:44:53Z,0.000000,0.000000,
2025-04-24T00:44:54Z,0.000000,0.000000,
2025-04-24T00:44:55Z,0.000000,0.000000,
2025-04-24T00:44:56Z,0.000000,0.000000,
2025-04-24T00:44:57Z,0.000000,0.000000,
2025-04-24T00:44:58Z,0.000000,0.000000,
