time,msg-rate-per-second[mysql-to-kafka],msg-megabytes-in-per-second[mysql-to-kafka],msg-megabytes-out-per-second[mysql-to-kafka]
2025-04-23T23:54:24Z,0.000000,1.937499,0.000000
2025-04-23T23:54:25Z,0.000000,0.000000,0.000000
2025-04-23T23:54:26Z,43950.000000,2.241137,1.937499
2025-04-23T23:54:27Z,50000.000000,2.336502,2.241137
2025-04-23T23:54:28Z,50000.000000,2.336502,2.336502
2025-04-23T23:54:29Z,50000.000000,2.336502,2.336502
2025-04-23T23:54:30Z,50000.000000,2.336502,2.336502
2025-04-23T23:54:31Z,50000.000000,2.336502,2.336502
2025-04-23T23:54:32Z,50000.000000,0.000000,2.336502
2025-04-23T23:54:33Z,50000.000000,2.336502,2.336502
2025-04-23T23:54:34Z,0.000000,2.336502,0.000000
2025-04-23T23:54:35Z,50000.000000,2.336502,2.336502
2025-04-23T23:54:36Z,50000.000000,2.336502,2.336502
2025-04-23T23:54:37Z,50000.000000,2.336502,2.336502
2025-04-23T23:54:38Z,50000.000000,2.336549,2.336502
2025-04-23T23:54:39Z,50001.000000,2.336549,2.336549
2025-04-23T23:54:40Z,50001.000000,2.336502,2.336549
2025-04-23T23:54:41Z,50000.000000,0.000000,2.336502
2025-04-23T23:54:42Z,0.000000,2.336502,0.000000
2025-04-23T23:54:43Z,50000.000000,2.336502,2.336502
2025-04-23T23:54:44Z,50000.000000,2.336502,2.336502
2025-04-23T23:54:45Z,50000.000000,2.336549,2.336502
2025-04-23T23:54:46Z,50001.000000,2.336558,2.336549
2025-04-23T23:54:47Z,50001.000000,2.434646,2.336558
2025-04-23T23:54:48Z,50001.000000,0.000000,2.434646
2025-04-23T23:54:49Z,10142.000000,2.527287,2.527287
2025-04-23T23:54:50Z,39859.000000,2.527287,0.000000
2025-04-23T23:54:51Z,50001.000000,2.527287,2.527287
2025-04-23T23:54:52Z,50001.000000,2.527237,2.527287
2025-04-23T23:54:53Z,50000.000000,2.527237,2.527237
2025-04-23T23:54:54Z,50000.000000,2.527237,2.527237
2025-04-23T23:54:55Z,50000.000000,0.000000,2.527237
2025-04-23T23:54:56Z,26868.000000,2.527237,2.527237
2025-04-23T23:54:57Z,23132.000000,2.527237,0.000000
2025-04-23T23:54:58Z,50000.000000,2.527237,2.527237
2025-04-23T23:54:59Z,50000.000000,2.527237,2.527237
2025-04-23T23:55:00Z,50000.000000,2.527237,2.527237
2025-04-23T23:55:01Z,50000.000000,2.527287,2.527237
2025-04-23T23:55:02Z,50001.000000,2.527287,2.527287
2025-04-23T23:55:03Z,50001.000000,0.000000,2.527287
2025-04-23T23:55:04Z,50000.000000,2.527237,2.527237
2025-04-23T23:55:05Z,0.000000,2.527237,0.000000
2025-04-23T23:55:06Z,50000.000000,2.527287,2.527237
2025-04-23T23:55:07Z,50001.000000,2.527287,2.527287
2025-04-23T23:55:08Z,50001.000000,2.527287,2.527287
2025-04-23T23:55:09Z,50001.000000,2.527287,2.527287
2025-04-23T23:55:10Z,50001.000000,2.527287,2.527287
2025-04-23T23:55:11Z,50001.000000,0.000000,2.527287
2025-04-23T23:55:12Z,0.000000,2.527287,0.000000
2025-04-23T23:55:13Z,50001.000000,2.527237,2.527287
2025-04-23T23:55:14Z,50000.000000,2.527237,2.527237
2025-04-23T23:55:15Z,50000.000000,2.527287,2.527237
2025-04-23T23:55:16Z,50001.000000,2.527287,2.527287
2025-04-23T23:55:17Z,50001.000000,2.527237,2.527287
2025-04-23T23:55:18Z,50000.000000,0.000000,2.527237
2025-04-23T23:55:19Z,25448.000000,2.527237,2.527237
2025-04-23T23:55:20Z,24552.000000,2.527287,1.183050
2025-04-23T23:55:21Z,50001.000000,2.527287,1.344237
2025-04-23T23:55:22Z,50001.000000,2.527287,2.527287
2025-04-23T23:55:23Z,50001.000000,2.527287,2.527287
2025-04-23T23:55:24Z,50001.000000,2.527237,2.527287
2025-04-23T23:55:25Z,50000.000000,0.000000,2.527237
2025-04-23T23:55:26Z,50000.000000,2.527237,2.527237
2025-04-23T23:55:27Z,34268.000000,2.527287,2.527287
2025-04-23T23:55:28Z,15733.000000,2.527287,0.000000
2025-04-23T23:55:29Z,50001.000000,2.527287,2.527287
2025-04-23T23:55:30Z,50001.000000,2.527287,2.527287
2025-04-23T23:55:31Z,50001.000000,2.527237,2.527287
2025-04-23T23:55:32Z,50000.000000,0.000000,2.527237
2025-04-23T23:55:33Z,0.000000,0.000000,0.000000
2025-04-23T23:55:34Z,0.000000,0.000000,0.000000
2025-04-23T23:55:35Z,0.000000,0.000000,0.000000
2025-04-23T23:55:36Z,0.000000,0.000000,0.000000
2025-04-23T23:55:37Z,0.000000,0.000000,0.000000
2025-04-23T23:55:38Z,0.000000,0.000000,0.000000
2025-04-23T23:55:39Z,0.000000,0.000000,0.000000
2025-04-23T23:55:40Z,0.000000,0.000000,0.000000
2025-04-23T23:55:41Z,0.000000,0.000000,0.000000
2025-04-23T23:55:42Z,0.000000,0.000000,0.000000
2025-04-23T23:55:43Z,0.000000,0.000000,0.000000
2025-04-23T23:55:44Z,0.000000,0.000000,0.000000
2025-04-23T23:55:45Z,0.000000,0.000000,0.000000
2025-04-23T23:55:46Z,0.000000,0.000000,0.000000
2025-04-23T23:55:47Z,0.000000,0.000000,0.000000
2025-04-23T23:55:48Z,0.000000,0.000000,0.000000
2025-04-23T23:55:49Z,0.000000,0.000000,0.000000
2025-04-23T23:55:50Z,0.000000,0.000000,0.000000
2025-04-23T23:55:51Z,0.000000,0.000000,0.000000
2025-04-23T23:55:52Z,0.000000,0.000000,0.000000
