time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-23T23:54:22Z,0.002365,46.007812,,
2025-04-23T23:54:23Z,142.435476,259.753906,,
2025-04-23T23:54:24Z,175.219048,345.375000,,
2025-04-23T23:54:25Z,184.970169,517.203125,,
2025-04-23T23:54:26Z,225.800662,602.570312,,
2025-04-23T23:54:27Z,222.389668,592.382812,,
2025-04-23T23:54:28Z,204.176397,522.328125,,
2025-04-23T23:54:29Z,214.592082,487.414062,,
2025-04-23T23:54:30Z,232.819221,458.250000,,
2025-04-23T23:54:31Z,213.712887,485.000000,,
2025-04-23T23:54:32Z,201.450332,498.046875,,
2025-04-23T23:54:33Z,209.075798,496.707031,,
2025-04-23T23:54:34Z,220.057099,512.742188,,
2025-04-23T23:54:35Z,203.501809,520.875000,,
2025-04-23T23:54:36Z,238.512983,437.054688,,
2025-04-23T23:54:37Z,202.550643,487.140625,,
2025-04-23T23:54:38Z,217.404547,500.269531,,
2025-04-23T23:54:39Z,223.143380,505.292969,,
2025-04-23T23:54:40Z,199.452723,515.031250,,
2025-04-23T23:54:41Z,189.089397,423.492188,,
2025-04-23T23:54:42Z,216.991443,492.839844,,
2025-04-23T23:54:43Z,209.899695,507.828125,,
2025-04-23T23:54:44Z,222.389068,511.144531,,
2025-04-23T23:54:45Z,210.825846,521.234375,,
2025-04-23T23:54:46Z,208.744465,512.625000,,
2025-04-23T23:54:47Z,230.694704,468.671875,,
2025-04-23T23:54:48Z,203.930342,367.324219,,
2025-04-23T23:54:49Z,215.178811,479.234375,,
2025-04-23T23:54:50Z,196.154687,472.117188,,
2025-04-23T23:54:51Z,203.621649,509.125000,,
2025-04-23T23:54:52Z,208.422814,518.859375,,
2025-04-23T23:54:53Z,232.570535,504.121094,,
2025-04-23T23:54:54Z,223.027093,467.007812,,
2025-04-23T23:54:55Z,204.594359,437.164062,,
2025-04-23T23:54:56Z,199.341231,488.429688,,
2025-04-23T23:54:57Z,203.184994,494.054688,,
2025-04-23T23:54:58Z,217.516675,511.046875,,
2025-04-23T23:54:59Z,198.205494,513.804688,,
2025-04-23T23:55:00Z,218.215330,517.050781,,
2025-04-23T23:55:01Z,227.547082,482.371094,,
2025-04-23T23:55:02Z,229.214348,494.277344,,
2025-04-23T23:55:03Z,212.141656,498.847656,,
2025-04-23T23:55:04Z,191.413231,506.644531,,
2025-04-23T23:55:05Z,216.476688,520.789062,,
2025-04-23T23:55:06Z,210.535512,430.140625,,
2025-04-23T23:55:07Z,223.758154,489.859375,,
2025-04-23T23:55:08Z,198.352345,500.839844,,
2025-04-23T23:55:09Z,224.883907,504.566406,,
2025-04-23T23:55:10Z,227.247065,510.128906,,
2025-04-23T23:55:11Z,192.340518,485.464844,,
2025-04-23T23:55:12Z,224.278663,509.968750,,
2025-04-23T23:55:13Z,204.853402,444.335938,,
2025-04-23T23:55:14Z,225.258210,504.589844,,
2025-04-23T23:55:15Z,199.558351,512.906250,,
2025-04-23T23:55:16Z,222.072298,495.250000,,
2025-04-23T23:55:17Z,227.492959,494.339844,,
2025-04-23T23:55:18Z,200.048185,517.281250,,
2025-04-23T23:55:19Z,209.663174,522.089844,,
2025-04-23T23:55:20Z,195.954434,439.496094,,
2025-04-23T23:55:21Z,222.280409,490.828125,,
2025-04-23T23:55:22Z,211.499975,494.824219,,
2025-04-23T23:55:23Z,221.636139,507.132812,,
2025-04-23T23:55:24Z,200.215807,495.035156,,
2025-04-23T23:55:25Z,226.085135,472.062500,,
2025-04-23T23:55:26Z,216.386186,481.726562,,
2025-04-23T23:55:27Z,196.531673,492.117188,,
2025-04-23T23:55:28Z,214.156364,528.539062,,
2025-04-23T23:55:29Z,205.902452,459.085938,,
2025-04-23T23:55:30Z,228.500443,481.996094,,
2025-04-23T23:55:31Z,181.511487,488.925781,,
2025-04-23T23:55:32Z,1.374874,489.171875,,
2025-04-23T23:55:33Z,1.303678,489.558594,,
2025-04-23T23:55:35Z,1.221500,489.558594,,
2025-04-23T23:55:36Z,1.327698,490.191406,,
2025-04-23T23:55:37Z,1.222444,490.195312,,
2025-04-23T23:55:38Z,1.151418,490.195312,,
2025-04-23T23:55:39Z,1.237647,490.828125,,
2025-04-23T23:55:40Z,1.185491,490.828125,,
2025-04-23T23:55:41Z,1.287657,491.460938,,
2025-04-23T23:55:42Z,1.290579,491.468750,,
2025-04-23T23:55:43Z,1.217531,491.468750,,
2025-04-23T23:55:44Z,1.292784,491.468750,,
2025-04-23T23:55:45Z,1.296322,491.472656,,
2025-04-23T23:55:46Z,1.279099,491.480469,,
2025-04-23T23:55:47Z,1.226263,491.484375,,
2025-04-23T23:55:48Z,1.277303,491.492188,,
2025-04-23T23:55:49Z,1.327597,491.492188,,
2025-04-23T23:55:50Z,1.163061,491.496094,,
2025-04-23T23:55:51Z,1.214189,491.496094,,
2025-04-23T23:55:52Z,1.168321,491.500000,,
2025-04-23T23:55:53Z,1.188772,491.500000,,
