time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-04-23T23:54:27Z,42236.000000,27.814029,
2025-04-23T23:54:28Z,21136.000000,31.440535,
2025-04-23T23:54:29Z,36628.000000,36.525744,
2025-04-23T23:54:30Z,50000.000000,36.526090,
2025-04-23T23:54:31Z,50000.000000,36.526602,
2025-04-23T23:54:32Z,50000.000000,36.527426,
2025-04-23T23:54:33Z,50000.000000,36.528287,
2025-04-23T23:54:34Z,50000.000000,25.121149,
2025-04-23T23:54:35Z,46543.000000,24.163241,
2025-04-23T23:54:36Z,23780.000000,23.771877,
2025-04-23T23:54:37Z,38117.000000,36.528316,
2025-04-23T23:54:38Z,41560.000000,36.528882,
2025-04-23T23:54:39Z,50001.000000,36.530703,
2025-04-23T23:54:40Z,50001.000000,36.532403,
2025-04-23T23:54:41Z,50000.000000,36.529606,
2025-04-23T23:54:42Z,50000.000000,19.877971,
2025-04-23T23:54:43Z,36960.000000,28.141943,
2025-04-23T23:54:44Z,17758.000000,25.038390,
2025-04-23T23:54:45Z,45282.000000,36.529208,
2025-04-23T23:54:46Z,50001.000000,36.533401,
2025-04-23T23:54:47Z,50001.000000,36.533312,
2025-04-23T23:54:48Z,50001.000000,36.774723,
2025-04-23T23:54:49Z,50001.000000,29.911333,
2025-04-23T23:54:50Z,50001.000000,24.680851,
2025-04-23T23:54:51Z,16007.000000,18.952924,
2025-04-23T23:54:52Z,33994.000000,36.770465,
2025-04-23T23:54:53Z,50000.000000,36.774301,
2025-04-23T23:54:54Z,50000.000000,36.778991,
2025-04-23T23:54:55Z,50000.000000,36.774218,
2025-04-23T23:54:56Z,50000.000000,32.295674,
2025-04-23T23:54:57Z,50000.000000,27.559711,
2025-04-23T23:54:58Z,26787.000000,13.697543,
2025-04-23T23:54:59Z,37461.000000,36.775185,
2025-04-23T23:55:00Z,35752.000000,36.774598,
2025-04-23T23:55:01Z,50000.000000,36.775122,
2025-04-23T23:55:02Z,50001.000000,36.776723,
2025-04-23T23:55:03Z,50001.000000,36.779297,
2025-04-23T23:55:04Z,50000.000000,36.774323,
2025-04-23T23:55:05Z,48943.000000,19.316063,
2025-04-23T23:55:06Z,40925.000000,25.139036,
2025-04-23T23:55:07Z,10133.000000,29.099489,
2025-04-23T23:55:08Z,50001.000000,36.775620,
2025-04-23T23:55:09Z,50001.000000,36.775354,
2025-04-23T23:55:10Z,50001.000000,36.781476,
2025-04-23T23:55:11Z,50001.000000,36.778852,
2025-04-23T23:55:12Z,50001.000000,25.775229,
2025-04-23T23:55:13Z,47276.000000,25.421016,
2025-04-23T23:55:14Z,14369.000000,22.356322,
2025-04-23T23:55:15Z,38355.000000,36.778733,
2025-04-23T23:55:16Z,50001.000000,36.780185,
2025-04-23T23:55:17Z,50001.000000,36.776653,
2025-04-23T23:55:18Z,50000.000000,36.778080,
2025-04-23T23:55:19Z,50000.000000,31.822537,
2025-04-23T23:55:20Z,50001.000000,30.604250,
2025-04-23T23:55:21Z,22181.000000,11.126115,
2025-04-23T23:55:22Z,28551.000000,36.778585,
2025-04-23T23:55:23Z,49270.000000,36.780005,
2025-04-23T23:55:24Z,50001.000000,36.777937,
2025-04-23T23:55:25Z,50000.000000,36.773735,
2025-04-23T23:55:26Z,50000.000000,36.781173,
2025-04-23T23:55:27Z,50001.000000,32.061563,
2025-04-23T23:55:28Z,41757.000000,16.741065,
2025-04-23T23:55:29Z,36190.000000,24.743327,
2025-04-23T23:55:30Z,22055.000000,36.778049,
2025-04-23T23:55:31Z,50001.000000,36.778090,
2025-04-23T23:55:32Z,50000.000000,36.778930,
2025-04-23T23:55:33Z,0.000000,0.000000,
2025-04-23T23:55:34Z,0.000000,0.000000,
2025-04-23T23:55:35Z,0.000000,0.000000,
2025-04-23T23:55:36Z,0.000000,0.000000,
2025-04-23T23:55:37Z,0.000000,0.000000,
2025-04-23T23:55:38Z,0.000000,0.000000,
2025-04-23T23:55:39Z,0.000000,0.000000,
2025-04-23T23:55:40Z,0.000000,0.000000,
2025-04-23T23:55:41Z,0.000000,0.000000,
2025-04-23T23:55:42Z,0.000000,0.000000,
2025-04-23T23:55:43Z,0.000000,0.000000,
2025-04-23T23:55:44Z,0.000000,0.000000,
2025-04-23T23:55:45Z,0.000000,0.000000,
2025-04-23T23:55:46Z,0.000000,0.000000,
2025-04-23T23:55:47Z,0.000000,0.000000,
2025-04-23T23:55:48Z,0.000000,0.000000,
2025-04-23T23:55:49Z,0.000000,0.000000,
2025-04-23T23:55:50Z,0.000000,0.000000,
2025-04-23T23:55:51Z,0.000000,0.000000,
2025-04-23T23:55:52Z,0.000000,0.000000,
