time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-23T23:57:49Z,,,0.144628,847.496094
2025-04-23T23:57:50Z,,,270.815622,899.187500
2025-04-23T23:57:51Z,,,500.450623,915.304688
2025-04-23T23:57:52Z,,,557.926368,1198.410156
2025-04-23T23:57:53Z,,,317.923766,1319.085938
2025-04-23T23:57:54Z,,,261.516513,1496.253906
2025-04-23T23:57:55Z,,,235.747284,1503.121094
2025-04-23T23:57:56Z,,,193.999395,1579.363281
2025-04-23T23:57:57Z,,,204.867078,1728.324219
2025-04-23T23:57:58Z,,,161.138516,1765.222656
2025-04-23T23:57:59Z,,,223.552443,1876.996094
2025-04-23T23:58:00Z,,,322.950088,1922.683594
2025-04-23T23:58:01Z,,,225.687827,1984.636719
2025-04-23T23:58:02Z,,,195.483736,2020.324219
2025-04-23T23:58:03Z,,,267.106078,2095.183594
2025-04-23T23:58:04Z,,,191.404379,2145.792969
2025-04-23T23:58:05Z,,,211.232000,2200.050781
2025-04-23T23:58:06Z,,,224.679548,2225.964844
2025-04-23T23:58:07Z,,,215.502134,2127.445312
2025-04-23T23:58:08Z,,,201.659849,2157.468750
2025-04-23T23:58:09Z,,,236.220631,2006.402344
2025-04-23T23:58:10Z,,,208.706617,2075.710938
2025-04-23T23:58:11Z,,,266.050542,2015.472656
2025-04-23T23:58:12Z,,,245.060870,2046.593750
2025-04-23T23:58:13Z,,,239.850949,2078.832031
2025-04-23T23:58:14Z,,,209.490223,2124.937500
2025-04-23T23:58:15Z,,,218.074040,2055.625000
2025-04-23T23:58:16Z,,,210.477200,2155.097656
2025-04-23T23:58:17Z,,,216.566935,2210.664062
2025-04-23T23:58:18Z,,,258.438408,2062.937500
2025-04-23T23:58:19Z,,,194.609592,2141.625000
2025-04-23T23:58:20Z,,,205.160640,2192.632812
2025-04-23T23:58:21Z,,,257.126692,2081.210938
2025-04-23T23:58:22Z,,,200.995088,2081.648438
2025-04-23T23:58:23Z,,,180.526259,2175.617188
2025-04-23T23:58:24Z,,,193.459220,2183.671875
2025-04-23T23:58:25Z,,,242.883192,2159.273438
2025-04-23T23:58:26Z,,,196.080394,2260.707031
2025-04-23T23:58:27Z,,,191.454264,2260.968750
2025-04-23T23:58:28Z,,,186.081863,2305.601562
2025-04-23T23:58:29Z,,,253.879288,2183.941406
2025-04-23T23:58:30Z,,,211.752457,2225.117188
2025-04-23T23:58:31Z,,,194.053970,2303.265625
2025-04-23T23:58:32Z,,,213.362825,2320.820312
2025-04-23T23:58:33Z,,,240.815038,2323.894531
2025-04-23T23:58:34Z,,,201.929568,2247.800781
2025-04-23T23:58:35Z,,,200.119901,2334.164062
2025-04-23T23:58:36Z,,,188.400099,2342.792969
2025-04-23T23:58:37Z,,,195.929925,2357.246094
2025-04-23T23:58:38Z,,,242.418454,2224.171875
2025-04-23T23:58:39Z,,,194.714070,2224.652344
2025-04-23T23:58:40Z,,,185.324039,2251.882812
2025-04-23T23:58:41Z,,,191.129312,2256.757812
2025-04-23T23:58:42Z,,,178.125926,2270.953125
2025-04-23T23:58:43Z,,,225.659633,2073.402344
2025-04-23T23:58:44Z,,,188.011228,2112.675781
2025-04-23T23:58:45Z,,,186.792447,2209.019531
2025-04-23T23:58:46Z,,,192.017712,2222.179688
2025-04-23T23:58:47Z,,,234.347647,2124.355469
2025-04-23T23:58:48Z,,,203.632668,2224.027344
2025-04-23T23:58:49Z,,,242.582217,2243.937500
2025-04-23T23:58:50Z,,,188.992315,2262.984375
2025-04-23T23:58:51Z,,,71.642073,2263.507812
2025-04-23T23:58:52Z,,,11.319748,2263.503906
2025-04-23T23:58:53Z,,,4.728755,2263.515625
2025-04-23T23:58:54Z,,,1.441313,2263.511719
2025-04-23T23:58:55Z,,,1.112755,2263.519531
2025-04-23T23:58:56Z,,,0.883317,2263.515625
2025-04-23T23:58:57Z,,,1.371443,2263.519531
2025-04-23T23:58:58Z,,,4.928442,2263.531250
2025-04-23T23:58:59Z,,,0.879397,2263.785156
2025-04-23T23:59:00Z,,,0.772100,2263.535156
2025-04-23T23:59:01Z,,,0.935516,2263.535156
2025-04-23T23:59:02Z,,,0.747796,2263.535156
2025-04-23T23:59:03Z,,,4.722018,2263.488281
2025-04-23T23:59:04Z,,,0.765514,2263.464844
2025-04-23T23:59:05Z,,,19.253569,2263.468750
2025-04-23T23:59:06Z,,,0.832777,2263.476562
2025-04-23T23:59:07Z,,,0.830893,2263.472656
2025-04-23T23:59:08Z,,,4.916035,2263.507812
2025-04-23T23:59:09Z,,,1.151161,2263.738281
2025-04-23T23:59:10Z,,,0.784159,2263.488281
2025-04-23T23:59:11Z,,,0.769438,2263.488281
2025-04-23T23:59:12Z,,,0.749164,2263.511719
2025-04-23T23:59:13Z,,,4.717778,2263.824219
2025-04-23T23:59:14Z,,,0.728889,2263.753906
2025-04-23T23:59:15Z,,,0.680302,2263.492188
2025-04-23T23:59:16Z,,,0.766817,2263.492188
2025-04-23T23:59:17Z,,,0.751217,2263.488281
2025-04-23T23:59:18Z,,,0.770946,2263.488281
2025-04-23T23:59:19Z,,,4.619975,2263.558594
