time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-04-23T23:57:52Z,9655.310621,4.541007,
2025-04-23T23:57:53Z,18375.000000,5.194798,
2025-04-23T23:57:54Z,26985.000000,11.550785,
2025-04-23T23:57:55Z,31850.000000,14.102347,
2025-04-23T23:57:56Z,33775.000000,14.855011,
2025-04-23T23:57:57Z,37310.000000,16.290833,
2025-04-23T23:57:58Z,35070.000000,15.165733,
2025-04-23T23:57:59Z,38955.000000,16.121298,
2025-04-23T23:58:00Z,36820.000000,17.076862,
2025-04-23T23:58:01Z,34230.000000,15.458568,
2025-04-23T23:58:02Z,50785.000000,20.282627,
2025-04-23T23:58:03Z,57610.000000,23.827463,
2025-04-23T23:58:04Z,51485.000000,24.443956,
2025-04-23T23:58:05Z,55965.000000,24.351482,
2025-04-23T23:58:06Z,53655.000000,23.781226,
2025-04-23T23:58:07Z,49560.000000,22.424941,
2025-04-23T23:58:08Z,51905.000000,22.671538,
2025-04-23T23:58:09Z,50540.000000,22.440353,
2025-04-23T23:58:10Z,54635.000000,22.733188,
2025-04-23T23:58:11Z,54075.000000,22.748600,
2025-04-23T23:58:12Z,51415.000000,24.490193,
2025-04-23T23:58:13Z,52990.000000,23.303444,
2025-04-23T23:58:14Z,50400.000000,22.085870,
2025-04-23T23:58:15Z,54180.000000,23.784022,
2025-04-23T23:58:16Z,51555.000000,23.054488,
2025-04-23T23:58:17Z,50085.000000,22.230558,
2025-04-23T23:58:18Z,57295.000000,24.593527,
2025-04-23T23:58:19Z,53900.000000,24.391431,
2025-04-23T23:58:20Z,49490.000000,21.950733,
2025-04-23T23:58:21Z,50750.000000,23.785143,
2025-04-23T23:58:22Z,54530.000000,22.821301,
2025-04-23T23:58:23Z,49315.000000,23.116672,
2025-04-23T23:58:24Z,52780.000000,22.665842,
2025-04-23T23:58:25Z,55825.000000,24.484706,
2025-04-23T23:58:26Z,50715.000000,23.722960,
2025-04-23T23:58:27Z,52395.000000,22.712480,
2025-04-23T23:58:28Z,52290.000000,22.603659,
2025-04-23T23:58:29Z,51905.000000,23.489772,
2025-04-23T23:58:30Z,53970.000000,23.769597,
2025-04-23T23:58:31Z,53865.000000,24.764531,
2025-04-23T23:58:32Z,52745.000000,22.728025,
2025-04-23T23:58:33Z,55930.000000,24.795623,
2025-04-23T23:58:34Z,54775.000000,24.173789,
2025-04-23T23:58:35Z,52430.000000,22.121737,
2025-04-23T23:58:36Z,51345.000000,24.173789,
2025-04-23T23:58:37Z,54145.000000,24.546889,
2025-04-23T23:58:38Z,54810.000000,23.722960,
2025-04-23T23:58:39Z,50050.000000,23.831780,
2025-04-23T23:58:40Z,51380.000000,21.935187,
2025-04-23T23:58:41Z,51660.000000,22.728025,
2025-04-23T23:58:42Z,51940.000000,22.992305,
2025-04-23T23:58:43Z,50435.000000,21.950733,
2025-04-23T23:58:44Z,45150.000000,21.499904,
2025-04-23T23:58:45Z,49840.000000,21.888550,
2025-04-23T23:58:46Z,56035.000000,23.443134,
2025-04-23T23:58:47Z,50715.000000,23.567501,
2025-04-23T23:58:48Z,50260.000000,23.427588,
2025-04-23T23:58:49Z,57120.000000,21.919641,
2025-04-23T23:58:50Z,53620.000000,25.526278,
2025-04-23T23:58:51Z,55335.000000,24.857806,
2025-04-23T23:58:52Z,55825.000000,24.609073,
2025-04-23T23:58:53Z,5756.000000,9.054851,
2025-04-23T23:58:54Z,0.000000,0.000000,
2025-04-23T23:58:55Z,0.000000,0.000000,
2025-04-23T23:58:56Z,0.000000,0.000000,
2025-04-23T23:58:57Z,0.000000,0.000000,
2025-04-23T23:58:58Z,0.000000,0.000000,
2025-04-23T23:58:59Z,0.000000,0.000000,
2025-04-23T23:59:00Z,0.000000,0.000000,
2025-04-23T23:59:01Z,0.000000,0.000000,
2025-04-23T23:59:02Z,0.000000,0.000000,
2025-04-23T23:59:03Z,0.000000,0.000000,
2025-04-23T23:59:04Z,0.000000,0.000000,
2025-04-23T23:59:05Z,0.000000,0.000000,
2025-04-23T23:59:06Z,0.000000,0.000000,
2025-04-23T23:59:07Z,0.000000,0.000000,
2025-04-23T23:59:08Z,0.000000,0.000000,
2025-04-23T23:59:09Z,0.000000,0.000000,
2025-04-23T23:59:10Z,0.000000,0.000000,
2025-04-23T23:59:11Z,0.000000,0.000000,
2025-04-23T23:59:12Z,0.000000,0.000000,
2025-04-23T23:59:13Z,0.000000,0.000000,
2025-04-23T23:59:14Z,0.000000,0.000000,
2025-04-23T23:59:15Z,0.000000,0.000000,
2025-04-23T23:59:16Z,0.000000,0.000000,
2025-04-23T23:59:17Z,0.000000,0.000000,
2025-04-23T23:59:18Z,0.000000,0.000000,
2025-04-23T23:59:19Z,0.000000,0.000000,
