time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-07T02:29:30Z,0.080046,55.625000,,
2025-05-07T02:29:31Z,170.069950,437.085938,,
2025-05-07T02:29:32Z,180.364056,525.882812,,
2025-05-07T02:29:33Z,238.985478,498.945312,,
2025-05-07T02:29:34Z,247.562015,486.281250,,
2025-05-07T02:29:35Z,243.097128,484.539062,,
2025-05-07T02:29:36Z,244.653402,514.265625,,
2025-05-07T02:29:37Z,249.780230,515.515625,,
2025-05-07T02:29:38Z,241.982733,537.328125,,
2025-05-07T02:29:39Z,246.666768,507.824219,,
2025-05-07T02:29:40Z,244.166828,503.937500,,
2025-05-07T02:29:41Z,268.588364,480.183594,,
2025-05-07T02:29:42Z,258.332331,506.785156,,
2025-05-07T02:29:43Z,259.935837,516.015625,,
2025-05-07T02:29:44Z,256.460582,511.312500,,
2025-05-07T02:29:45Z,249.959032,501.117188,,
2025-05-07T02:29:46Z,263.518456,501.535156,,
2025-05-07T02:29:47Z,256.220182,447.597656,,
2025-05-07T02:29:48Z,268.783814,512.093750,,
2025-05-07T02:29:49Z,271.255959,460.281250,,
2025-05-07T02:29:50Z,263.189119,515.136719,,
2025-05-07T02:29:51Z,256.734220,494.859375,,
2025-05-07T02:29:52Z,271.620000,506.468750,,
2025-05-07T02:29:53Z,265.322959,478.128906,,
2025-05-07T02:29:54Z,268.287897,528.433594,,
2025-05-07T02:29:55Z,267.329757,503.105469,,
2025-05-07T02:29:56Z,278.747429,491.660156,,
2025-05-07T02:29:57Z,252.945967,521.753906,,
2025-05-07T02:29:58Z,274.818071,449.710938,,
2025-05-07T02:29:59Z,259.200809,515.867188,,
2025-05-07T02:30:00Z,148.726987,514.570312,,
2025-05-07T02:30:01Z,0.499328,514.562500,,
2025-05-07T02:30:02Z,0.481614,514.558594,,
2025-05-07T02:30:03Z,0.455100,514.558594,,
2025-05-07T02:30:04Z,0.464944,514.558594,,
2025-05-07T02:30:05Z,0.476608,514.558594,,
2025-05-07T02:30:06Z,0.451300,514.558594,,
2025-05-07T02:30:07Z,0.457688,514.558594,,
2025-05-07T02:30:08Z,0.455044,514.570312,,
2025-05-07T02:30:09Z,0.462378,514.574219,,
2025-05-07T02:30:10Z,0.475306,514.578125,,
2025-05-07T02:30:11Z,0.467955,514.574219,,
2025-05-07T02:30:12Z,0.451593,514.574219,,
2025-05-07T02:30:13Z,0.433516,514.582031,,
2025-05-07T02:30:14Z,0.453300,514.582031,,
2025-05-07T02:30:15Z,0.505169,514.589844,,
2025-05-07T02:30:16Z,0.478695,514.593750,,
2025-05-07T02:30:17Z,0.456330,514.593750,,
2025-05-07T02:30:18Z,0.464881,514.593750,,
2025-05-07T02:30:19Z,0.475312,514.597656,,
2025-05-07T02:30:20Z,0.473200,514.597656,,
2025-05-07T02:30:21Z,0.460449,514.597656,,
2025-05-07T02:30:22Z,0.478900,514.597656,,
2025-05-07T02:30:23Z,0.472718,514.601562,,
2025-05-07T02:30:24Z,0.473800,514.601562,,
2025-05-07T02:30:25Z,0.488532,514.601562,,
2025-05-07T02:30:26Z,0.443039,514.601562,,
2025-05-07T02:30:27Z,0.456553,514.601562,,
2025-05-07T02:30:28Z,0.492864,514.609375,,
2025-05-07T02:30:29Z,0.456459,514.613281,,
2025-05-07T02:30:30Z,0.469073,514.609375,,
2025-05-07T02:30:31Z,0.453568,514.609375,,
2025-05-07T02:30:32Z,0.459975,514.609375,,
2025-05-07T02:30:33Z,0.474586,514.609375,,
2025-05-07T02:30:34Z,0.448839,514.613281,,
2025-05-07T02:30:35Z,0.474365,514.609375,,
2025-05-07T02:30:36Z,0.463094,514.609375,,
2025-05-07T02:30:37Z,0.466449,514.609375,,
2025-05-07T02:30:38Z,0.463358,514.613281,,
2025-05-07T02:30:39Z,0.469200,514.613281,,
2025-05-07T02:30:40Z,0.448418,514.613281,,
2025-05-07T02:30:41Z,0.473266,514.613281,,
2025-05-07T02:30:42Z,0.468986,514.613281,,
2025-05-07T02:30:43Z,0.472882,514.613281,,
2025-05-07T02:30:44Z,0.469200,514.613281,,
2025-05-07T02:30:45Z,0.483905,514.617188,,
2025-05-07T02:30:46Z,0.476816,514.621094,,
2025-05-07T02:30:47Z,0.469146,514.621094,,
2025-05-07T02:30:48Z,0.469713,514.625000,,
2025-05-07T02:30:49Z,0.492100,514.625000,,
2025-05-07T02:30:50Z,0.466366,514.625000,,
2025-05-07T02:30:51Z,0.464020,514.625000,,
2025-05-07T02:30:52Z,0.486983,514.625000,,
2025-05-07T02:30:53Z,0.486008,514.625000,,
2025-05-07T02:30:54Z,0.477387,514.625000,,
2025-05-07T02:30:55Z,0.449262,514.625000,,
2025-05-07T02:30:56Z,0.435779,514.625000,,
2025-05-07T02:30:57Z,0.472700,514.628906,,
2025-05-07T02:30:58Z,0.461277,514.628906,,
2025-05-07T02:30:59Z,0.487900,514.628906,,
2025-05-07T02:31:00Z,0.467484,514.628906,,
