time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-05-07T02:29:33Z,100001.000000,80.916127,
2025-05-07T02:29:34Z,100002.000000,75.053461,
2025-05-07T02:29:35Z,100002.000000,77.987656,
2025-05-07T02:29:36Z,100002.000000,77.349594,
2025-05-07T02:29:37Z,100002.000000,70.529236,
2025-05-07T02:29:38Z,100002.000000,72.053393,
2025-05-07T02:29:39Z,100001.000000,66.956940,
2025-05-07T02:29:40Z,100001.000000,75.246177,
2025-05-07T02:29:41Z,100000.000000,77.679263,
2025-05-07T02:29:42Z,100001.000000,75.896091,
2025-05-07T02:29:43Z,100001.000000,82.217492,
2025-05-07T02:29:44Z,100000.000000,73.752427,
2025-05-07T02:29:45Z,100001.000000,73.703304,
2025-05-07T02:29:46Z,100000.000000,73.751623,
2025-05-07T02:29:47Z,100001.000000,73.759481,
2025-05-07T02:29:48Z,100001.000000,73.777585,
2025-05-07T02:29:49Z,100000.000000,73.745671,
2025-05-07T02:29:50Z,100000.000000,73.775594,
2025-05-07T02:29:51Z,100001.000000,73.760612,
2025-05-07T02:29:52Z,100001.000000,73.754248,
2025-05-07T02:29:53Z,103951.000000,73.765378,
2025-05-07T02:29:54Z,107502.000000,73.753799,
2025-05-07T02:29:55Z,110143.000000,73.734282,
2025-05-07T02:29:56Z,104601.000000,75.639772,
2025-05-07T02:29:57Z,103002.000000,73.580758,
2025-05-07T02:29:58Z,102629.000000,81.012256,
2025-05-07T02:29:59Z,109591.000000,77.217542,
2025-05-07T02:30:00Z,58587.000000,61.213987,
2025-05-07T02:30:01Z,0.000000,0.000000,
2025-05-07T02:30:02Z,0.000000,0.000000,
2025-05-07T02:30:03Z,0.000000,0.000000,
2025-05-07T02:30:04Z,0.000000,0.000000,
2025-05-07T02:30:05Z,0.000000,0.000000,
2025-05-07T02:30:06Z,0.000000,0.000000,
2025-05-07T02:30:07Z,0.000000,0.000000,
2025-05-07T02:30:08Z,0.000000,0.000000,
2025-05-07T02:30:09Z,0.000000,0.000000,
2025-05-07T02:30:10Z,0.000000,0.000000,
2025-05-07T02:30:11Z,0.000000,0.000000,
2025-05-07T02:30:12Z,0.000000,0.000000,
2025-05-07T02:30:13Z,0.000000,0.000000,
2025-05-07T02:30:14Z,0.000000,0.000000,
2025-05-07T02:30:15Z,0.000000,0.000000,
2025-05-07T02:30:16Z,0.000000,0.000000,
2025-05-07T02:30:17Z,0.000000,0.000000,
2025-05-07T02:30:18Z,0.000000,0.000000,
2025-05-07T02:30:19Z,0.000000,0.000000,
2025-05-07T02:30:20Z,0.000000,0.000000,
2025-05-07T02:30:21Z,0.000000,0.000000,
2025-05-07T02:30:22Z,0.000000,0.000000,
2025-05-07T02:30:23Z,0.000000,0.000000,
2025-05-07T02:30:24Z,0.000000,0.000000,
2025-05-07T02:30:25Z,0.000000,0.000000,
2025-05-07T02:30:26Z,0.000000,0.000000,
2025-05-07T02:30:27Z,0.000000,0.000000,
2025-05-07T02:30:28Z,0.000000,0.000000,
2025-05-07T02:30:29Z,0.000000,0.000000,
2025-05-07T02:30:30Z,0.000000,0.000000,
2025-05-07T02:30:31Z,0.000000,0.000000,
2025-05-07T02:30:32Z,0.000000,0.000000,
2025-05-07T02:30:33Z,0.000000,0.000000,
2025-05-07T02:30:34Z,0.000000,0.000000,
2025-05-07T02:30:35Z,0.000000,0.000000,
2025-05-07T02:30:36Z,0.000000,0.000000,
2025-05-07T02:30:37Z,0.000000,0.000000,
2025-05-07T02:30:38Z,0.000000,0.000000,
2025-05-07T02:30:39Z,0.000000,0.000000,
2025-05-07T02:30:40Z,0.000000,0.000000,
2025-05-07T02:30:41Z,0.000000,0.000000,
2025-05-07T02:30:42Z,0.000000,0.000000,
2025-05-07T02:30:43Z,0.000000,0.000000,
2025-05-07T02:30:44Z,0.000000,0.000000,
2025-05-07T02:30:45Z,0.000000,0.000000,
2025-05-07T02:30:46Z,0.000000,0.000000,
2025-05-07T02:30:47Z,0.000000,0.000000,
2025-05-07T02:30:48Z,0.000000,0.000000,
2025-05-07T02:30:49Z,0.000000,0.000000,
2025-05-07T02:30:50Z,0.000000,0.000000,
2025-05-07T02:30:51Z,0.000000,0.000000,
2025-05-07T02:30:52Z,0.000000,0.000000,
2025-05-07T02:30:53Z,0.000000,0.000000,
2025-05-07T02:30:54Z,0.000000,0.000000,
2025-05-07T02:30:55Z,0.000000,0.000000,
2025-05-07T02:30:56Z,0.000000,0.000000,
2025-05-07T02:30:57Z,0.000000,0.000000,
2025-05-07T02:30:58Z,0.000000,0.000000,
2025-05-07T02:30:59Z,0.000000,0.000000,
