time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-07T02:32:21Z,,,4.659463,1482.605469
2025-05-07T02:32:22Z,,,4.329447,1483.035156
2025-05-07T02:32:23Z,,,0.797665,1483.046875
2025-05-07T02:32:24Z,,,1.225491,1483.062500
2025-05-07T02:32:25Z,,,0.737800,1483.574219
2025-05-07T02:32:26Z,,,5.476327,1483.363281
2025-05-07T02:32:27Z,,,1.251429,1483.121094
2025-05-07T02:32:28Z,,,1.535138,1483.132812
2025-05-07T02:32:29Z,,,0.628025,1483.132812
2025-05-07T02:32:30Z,,,1.292478,1483.644531
2025-05-07T02:32:31Z,,,11.782149,1485.007812
2025-05-07T02:32:32Z,,,468.883026,1213.847656
2025-05-07T02:32:33Z,,,502.632544,1434.601562
2025-05-07T02:32:34Z,,,387.382290,1715.539062
2025-05-07T02:32:35Z,,,349.465110,2103.906250
2025-05-07T02:32:36Z,,,301.778508,2186.367188
2025-05-07T02:32:37Z,,,237.284405,2186.476562
2025-05-07T02:32:38Z,,,235.010650,2186.539062
2025-05-07T02:32:39Z,,,241.825354,2186.402344
2025-05-07T02:32:40Z,,,228.943201,2186.640625
2025-05-07T02:32:41Z,,,230.519645,2187.164062
2025-05-07T02:32:42Z,,,231.028658,2187.488281
2025-05-07T02:32:43Z,,,233.495630,2190.179688
2025-05-07T02:32:44Z,,,236.074872,2190.078125
2025-05-07T02:32:45Z,,,233.430266,2190.433594
2025-05-07T02:32:46Z,,,228.678982,2190.320312
2025-05-07T02:32:47Z,,,230.770816,2190.550781
2025-05-07T02:32:48Z,,,143.381864,2192.542969
2025-05-07T02:32:49Z,,,5.379625,2192.511719
2025-05-07T02:32:50Z,,,2.498824,2193.003906
2025-05-07T02:32:51Z,,,11.799599,2193.085938
2025-05-07T02:32:52Z,,,3.917781,2193.070312
2025-05-07T02:32:53Z,,,0.776671,2192.949219
2025-05-07T02:32:54Z,,,0.867300,2192.953125
2025-05-07T02:32:55Z,,,0.636688,2192.953125
2025-05-07T02:32:56Z,,,0.973084,2192.960938
2025-05-07T02:32:57Z,,,3.608532,2193.019531
2025-05-07T02:32:58Z,,,0.591055,2192.976562
2025-05-07T02:32:59Z,,,0.537343,2192.980469
2025-05-07T02:33:00Z,,,0.576658,2192.980469
2025-05-07T02:33:01Z,,,0.679599,2192.992188
2025-05-07T02:33:02Z,,,3.939875,2192.988281
2025-05-07T02:33:03Z,,,0.543064,2192.992188
2025-05-07T02:33:04Z,,,0.712457,2192.988281
2025-05-07T02:33:05Z,,,0.551511,2192.992188
2025-05-07T02:33:06Z,,,0.553784,2192.988281
2025-05-07T02:33:07Z,,,3.734789,2193.011719
2025-05-07T02:33:08Z,,,0.864080,2193.003906
2025-05-07T02:33:09Z,,,0.538921,2193.003906
2025-05-07T02:33:10Z,,,0.541176,2193.003906
2025-05-07T02:33:11Z,,,0.547654,2193.007812
2025-05-07T02:33:12Z,,,3.913962,2193.015625
2025-05-07T02:33:13Z,,,0.563434,2193.007812
2025-05-07T02:33:14Z,,,0.567781,2193.007812
2025-05-07T02:33:15Z,,,0.536900,2193.007812
2025-05-07T02:33:16Z,,,0.718698,2193.011719
2025-05-07T02:33:17Z,,,4.004000,2193.023438
2025-05-07T02:33:18Z,,,0.973317,2193.023438
2025-05-07T02:33:19Z,,,0.541977,2193.023438
2025-05-07T02:33:20Z,,,0.573233,2193.023438
2025-05-07T02:33:21Z,,,0.582239,2193.023438
2025-05-07T02:33:22Z,,,3.825464,2193.031250
2025-05-07T02:33:23Z,,,0.644540,2193.027344
2025-05-07T02:33:24Z,,,0.528319,2193.027344
2025-05-07T02:33:25Z,,,0.533031,2193.027344
2025-05-07T02:33:26Z,,,0.554593,2193.027344
2025-05-07T02:33:27Z,,,3.610087,2193.179688
2025-05-07T02:33:28Z,,,0.523874,2193.042969
2025-05-07T02:33:29Z,,,0.535231,2193.039062
2025-05-07T02:33:30Z,,,0.740931,2193.039062
2025-05-07T02:33:31Z,,,0.844311,2193.039062
2025-05-07T02:33:32Z,,,0.567800,2193.039062
2025-05-07T02:33:33Z,,,3.699172,2193.550781
2025-05-07T02:33:34Z,,,0.531658,2193.046875
2025-05-07T02:33:35Z,,,0.721602,2193.050781
2025-05-07T02:33:36Z,,,0.572594,2193.550781
2025-05-07T02:33:37Z,,,0.532698,2193.550781
2025-05-07T02:33:38Z,,,3.743841,2193.058594
2025-05-07T02:33:39Z,,,0.535362,2193.062500
2025-05-07T02:33:40Z,,,0.546986,2193.054688
2025-05-07T02:33:41Z,,,0.905432,2193.054688
2025-05-07T02:33:42Z,,,0.544743,2193.050781
2025-05-07T02:33:43Z,,,3.550348,2193.070312
2025-05-07T02:33:44Z,,,0.559497,2193.058594
2025-05-07T02:33:45Z,,,0.507500,2193.062500
2025-05-07T02:33:46Z,,,0.672343,2193.058594
2025-05-07T02:33:47Z,,,3.043900,2193.070312
2025-05-07T02:33:48Z,,,8.094070,2192.976562
2025-05-07T02:33:49Z,,,2.826500,2192.996094
2025-05-07T02:33:50Z,,,0.564718,2193.000000
2025-05-07T02:33:51Z,,,0.546900,2193.000000
