time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-05-07T02:32:34Z,99225.000000,31.686843,
2025-05-07T02:32:35Z,121765.000000,58.474382,
2025-05-07T02:32:36Z,236730.000000,93.737795,
2025-05-07T02:32:37Z,211566.000000,94.597156,
2025-05-07T02:32:38Z,203804.000000,91.374761,
2025-05-07T02:32:39Z,209328.000000,92.779107,
2025-05-07T02:32:40Z,206011.000000,91.635248,
2025-05-07T02:32:41Z,204747.000000,91.873436,
2025-05-07T02:32:42Z,205018.000000,90.812984,
2025-05-07T02:32:43Z,212727.000000,94.212836,
2025-05-07T02:32:44Z,213182.000000,94.135379,
2025-05-07T02:32:45Z,201174.000000,91.072286,
2025-05-07T02:32:46Z,213397.000000,94.400343,
2025-05-07T02:32:47Z,207903.000000,93.932800,
2025-05-07T02:32:48Z,205035.000000,91.604557,
2025-05-07T02:32:49Z,4926.000000,18.940846,
2025-05-07T02:32:50Z,0.000000,0.000000,
2025-05-07T02:32:51Z,0.000000,0.000000,
2025-05-07T02:32:52Z,0.000000,0.000000,
2025-05-07T02:32:53Z,0.000000,0.000000,
2025-05-07T02:32:54Z,0.000000,0.000000,
2025-05-07T02:32:55Z,0.000000,0.000000,
2025-05-07T02:32:56Z,0.000000,0.000000,
2025-05-07T02:32:57Z,0.000000,0.000000,
2025-05-07T02:32:58Z,0.000000,0.000000,
2025-05-07T02:32:59Z,0.000000,0.000000,
2025-05-07T02:33:00Z,0.000000,0.000000,
2025-05-07T02:33:01Z,0.000000,0.000000,
2025-05-07T02:33:02Z,0.000000,0.000000,
2025-05-07T02:33:03Z,0.000000,0.000000,
2025-05-07T02:33:04Z,0.000000,0.000000,
2025-05-07T02:33:05Z,0.000000,0.000000,
2025-05-07T02:33:06Z,0.000000,0.000000,
2025-05-07T02:33:07Z,0.000000,0.000000,
2025-05-07T02:33:08Z,0.000000,0.000000,
2025-05-07T02:33:09Z,0.000000,0.000000,
2025-05-07T02:33:10Z,0.000000,0.000000,
2025-05-07T02:33:11Z,0.000000,0.000000,
2025-05-07T02:33:12Z,0.000000,0.000000,
2025-05-07T02:33:13Z,0.000000,0.000000,
2025-05-07T02:33:14Z,0.000000,0.000000,
2025-05-07T02:33:15Z,0.000000,0.000000,
2025-05-07T02:33:16Z,0.000000,0.000000,
2025-05-07T02:33:17Z,0.000000,0.000000,
2025-05-07T02:33:18Z,0.000000,0.000000,
2025-05-07T02:33:19Z,0.000000,0.000000,
2025-05-07T02:33:20Z,0.000000,0.000000,
2025-05-07T02:33:21Z,0.000000,0.000000,
2025-05-07T02:33:22Z,0.000000,0.000000,
2025-05-07T02:33:23Z,0.000000,0.000000,
2025-05-07T02:33:24Z,0.000000,0.000000,
2025-05-07T02:33:25Z,0.000000,0.000000,
2025-05-07T02:33:26Z,0.000000,0.000000,
2025-05-07T02:33:27Z,0.000000,0.000000,
2025-05-07T02:33:28Z,0.000000,0.000000,
2025-05-07T02:33:29Z,0.000000,0.000000,
2025-05-07T02:33:30Z,0.000000,0.000000,
2025-05-07T02:33:31Z,0.000000,0.000000,
2025-05-07T02:33:32Z,0.000000,0.000000,
2025-05-07T02:33:33Z,0.000000,0.000000,
2025-05-07T02:33:34Z,0.000000,0.000000,
2025-05-07T02:33:35Z,0.000000,0.000000,
2025-05-07T02:33:36Z,0.000000,0.000000,
2025-05-07T02:33:37Z,0.000000,0.000000,
2025-05-07T02:33:38Z,0.000000,0.000000,
2025-05-07T02:33:39Z,0.000000,0.000000,
2025-05-07T02:33:40Z,0.000000,0.000000,
2025-05-07T02:33:41Z,0.000000,0.000000,
2025-05-07T02:33:42Z,0.000000,0.000000,
2025-05-07T02:33:43Z,0.000000,0.000000,
2025-05-07T02:33:44Z,0.000000,0.000000,
2025-05-07T02:33:45Z,0.000000,0.000000,
2025-05-07T02:33:46Z,0.000000,0.000000,
2025-05-07T02:33:47Z,0.000000,0.000000,
2025-05-07T02:33:48Z,0.000000,0.000000,
2025-05-07T02:33:49Z,0.000000,0.000000,
2025-05-07T02:33:50Z,0.000000,0.000000,
2025-05-07T02:33:51Z,0.000000,0.000000,
