time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-07T02:23:14Z,0.163259,58.945312,,
2025-05-07T02:23:15Z,151.320862,445.507812,,
2025-05-07T02:23:16Z,195.617215,627.453125,,
2025-05-07T02:23:17Z,252.177047,546.082031,,
2025-05-07T02:23:18Z,226.800911,484.765625,,
2025-05-07T02:23:19Z,247.902356,448.339844,,
2025-05-07T02:23:20Z,248.128267,540.671875,,
2025-05-07T02:23:21Z,248.855990,461.421875,,
2025-05-07T02:23:22Z,239.313967,515.148438,,
2025-05-07T02:23:23Z,241.968961,519.738281,,
2025-05-07T02:23:24Z,268.016021,518.687500,,
2025-05-07T02:23:25Z,267.152769,499.816406,,
2025-05-07T02:23:26Z,264.942166,511.164062,,
2025-05-07T02:23:27Z,264.794242,524.281250,,
2025-05-07T02:23:28Z,263.419948,484.285156,,
2025-05-07T02:23:29Z,257.272570,516.218750,,
2025-05-07T02:23:30Z,266.722684,489.320312,,
2025-05-07T02:23:31Z,252.368860,494.156250,,
2025-05-07T02:23:32Z,253.322564,485.039062,,
2025-05-07T02:23:33Z,260.872430,492.191406,,
2025-05-07T02:23:34Z,263.615668,481.875000,,
2025-05-07T02:23:35Z,254.900586,488.542969,,
2025-05-07T02:23:36Z,262.399488,478.777344,,
2025-05-07T02:23:37Z,261.122564,502.199219,,
2025-05-07T02:23:38Z,261.328593,526.722656,,
2025-05-07T02:23:39Z,268.165394,504.394531,,
2025-05-07T02:23:40Z,253.561612,497.304688,,
2025-05-07T02:23:41Z,263.644138,447.015625,,
2025-05-07T02:23:42Z,260.802640,504.988281,,
2025-05-07T02:23:43Z,257.729333,527.628906,,
2025-05-07T02:23:44Z,205.423616,531.332031,,
2025-05-07T02:23:45Z,0.499500,531.968750,,
2025-05-07T02:23:46Z,0.413703,531.984375,,
2025-05-07T02:23:47Z,0.424962,531.988281,,
2025-05-07T02:23:48Z,0.441160,532.882812,,
2025-05-07T02:23:49Z,0.402800,532.644531,,
2025-05-07T02:23:50Z,0.408228,532.648438,,
2025-05-07T02:23:51Z,0.418670,532.652344,,
2025-05-07T02:23:52Z,0.396591,532.648438,,
2025-05-07T02:23:53Z,0.408489,532.648438,,
2025-05-07T02:23:54Z,0.456704,532.644531,,
2025-05-07T02:23:55Z,0.402710,532.648438,,
2025-05-07T02:23:56Z,0.424030,532.652344,,
2025-05-07T02:23:57Z,0.413835,532.652344,,
2025-05-07T02:23:58Z,0.383021,532.652344,,
2025-05-07T02:23:59Z,0.423388,532.656250,,
2025-05-07T02:24:00Z,0.405293,532.660156,,
2025-05-07T02:24:01Z,0.420351,532.914062,,
2025-05-07T02:24:02Z,0.390877,532.664062,,
2025-05-07T02:24:03Z,0.414171,532.660156,,
2025-05-07T02:24:04Z,0.403800,532.667969,,
2025-05-07T02:24:05Z,0.405822,532.667969,,
2025-05-07T02:24:06Z,0.391244,532.671875,,
2025-05-07T02:24:07Z,0.406809,532.675781,,
2025-05-07T02:24:08Z,0.422312,532.679688,,
2025-05-07T02:24:09Z,0.407638,532.683594,,
2025-05-07T02:24:10Z,0.409077,532.695312,,
2025-05-07T02:24:11Z,0.419204,532.687500,,
2025-05-07T02:24:12Z,0.479900,532.695312,,
2025-05-07T02:24:13Z,0.440855,532.691406,,
2025-05-07T02:24:14Z,0.413835,532.687500,,
2025-05-07T02:24:15Z,0.412732,532.687500,,
2025-05-07T02:24:16Z,0.401900,532.687500,,
2025-05-07T02:24:17Z,0.418871,532.687500,,
2025-05-07T02:24:18Z,0.405100,532.687500,,
2025-05-07T02:24:19Z,0.404937,532.687500,,
2025-05-07T02:24:20Z,0.393900,532.691406,,
2025-05-07T02:24:21Z,0.411600,532.691406,,
2025-05-07T02:24:22Z,0.406891,532.691406,,
2025-05-07T02:24:23Z,0.409011,532.691406,,
2025-05-07T02:24:24Z,0.431252,532.695312,,
2025-05-07T02:24:25Z,0.408822,532.695312,,
2025-05-07T02:24:26Z,0.413367,532.695312,,
2025-05-07T02:24:27Z,0.408421,532.695312,,
2025-05-07T02:24:28Z,0.408020,532.707031,,
2025-05-07T02:24:29Z,0.402710,532.695312,,
2025-05-07T02:24:30Z,0.409323,532.695312,,
2025-05-07T02:24:31Z,0.403092,532.695312,,
2025-05-07T02:24:32Z,0.400000,532.699219,,
2025-05-07T02:24:33Z,0.412700,532.699219,,
2025-05-07T02:24:34Z,0.411629,532.699219,,
2025-05-07T02:24:35Z,0.402497,532.953125,,
2025-05-07T02:24:36Z,0.387132,532.699219,,
2025-05-07T02:24:37Z,0.394078,532.699219,,
2025-05-07T02:24:38Z,0.399498,532.699219,,
2025-05-07T02:24:39Z,0.412916,532.710938,,
2025-05-07T02:24:40Z,0.416921,532.707031,,
2025-05-07T02:24:41Z,0.402200,532.707031,,
2025-05-07T02:24:42Z,0.400301,532.707031,,
2025-05-07T02:24:43Z,0.413400,532.710938,,
2025-05-07T02:24:44Z,0.398697,532.710938,,
