time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-07T02:26:07Z,,,7.914972,1845.808594
2025-05-07T02:26:08Z,,,412.478903,1915.570312
2025-05-07T02:26:09Z,,,465.559147,1927.156250
2025-05-07T02:26:10Z,,,376.824498,2040.292969
2025-05-07T02:26:11Z,,,303.776247,2470.964844
2025-05-07T02:26:12Z,,,358.991195,2538.632812
2025-05-07T02:26:13Z,,,270.668695,2599.898438
2025-05-07T02:26:14Z,,,239.825099,2642.828125
2025-05-07T02:26:15Z,,,239.277485,2655.414062
2025-05-07T02:26:16Z,,,236.753282,2647.480469
2025-05-07T02:26:17Z,,,219.625640,2648.902344
2025-05-07T02:26:18Z,,,296.199792,2661.523438
2025-05-07T02:26:19Z,,,224.415879,2661.308594
2025-05-07T02:26:20Z,,,226.867168,2661.628906
2025-05-07T02:26:21Z,,,221.198086,2661.425781
2025-05-07T02:26:22Z,,,222.126667,2661.710938
2025-05-07T02:26:23Z,,,222.575083,2661.656250
2025-05-07T02:26:24Z,,,225.459490,2662.714844
2025-05-07T02:26:25Z,,,44.528810,2663.000000
2025-05-07T02:26:26Z,,,0.969851,2663.003906
2025-05-07T02:26:27Z,,,1.809192,2663.011719
2025-05-07T02:26:28Z,,,12.205872,2664.777344
2025-05-07T02:26:29Z,,,0.535609,2664.644531
2025-05-07T02:26:30Z,,,4.955561,2664.675781
2025-05-07T02:26:31Z,,,2.775248,2664.667969
2025-05-07T02:26:32Z,,,0.593842,2664.667969
2025-05-07T02:26:33Z,,,0.593542,2664.667969
2025-05-07T02:26:34Z,,,0.595800,2664.667969
2025-05-07T02:26:35Z,,,4.021654,2665.062500
2025-05-07T02:26:36Z,,,0.537528,2664.679688
2025-05-07T02:26:37Z,,,3.993383,2664.929688
2025-05-07T02:26:38Z,,,1.799950,2664.589844
2025-05-07T02:26:39Z,,,0.556291,2664.589844
2025-05-07T02:26:40Z,,,0.648120,2664.589844
2025-05-07T02:26:41Z,,,4.110547,2664.636719
2025-05-07T02:26:42Z,,,1.050986,2664.617188
2025-05-07T02:26:43Z,,,1.341639,2664.640625
2025-05-07T02:26:44Z,,,0.558093,2664.640625
2025-05-07T02:26:45Z,,,0.536541,2664.640625
2025-05-07T02:26:46Z,,,3.843618,2664.656250
2025-05-07T02:26:47Z,,,0.564110,2664.652344
2025-05-07T02:26:48Z,,,0.643522,2664.652344
2025-05-07T02:26:49Z,,,0.666600,2664.652344
2025-05-07T02:26:50Z,,,0.624956,2664.652344
2025-05-07T02:26:51Z,,,3.811889,2664.699219
2025-05-07T02:26:52Z,,,0.543042,2664.695312
2025-05-07T02:26:53Z,,,0.604780,2664.695312
2025-05-07T02:26:54Z,,,0.714063,2664.699219
2025-05-07T02:26:55Z,,,0.613798,2664.703125
2025-05-07T02:26:56Z,,,4.379400,2664.722656
2025-05-07T02:26:57Z,,,0.558095,2664.718750
2025-05-07T02:26:58Z,,,0.622122,2664.718750
2025-05-07T02:26:59Z,,,0.529762,2664.718750
2025-05-07T02:27:00Z,,,0.532632,2664.718750
2025-05-07T02:27:01Z,,,3.761407,2664.730469
2025-05-07T02:27:02Z,,,0.522005,2664.730469
2025-05-07T02:27:03Z,,,0.545829,2664.726562
2025-05-07T02:27:04Z,,,0.551810,2664.730469
2025-05-07T02:27:05Z,,,0.643526,2664.726562
2025-05-07T02:27:06Z,,,4.102065,2664.753906
2025-05-07T02:27:07Z,,,0.633375,2664.613281
2025-05-07T02:27:08Z,,,0.983759,2664.613281
2025-05-07T02:27:09Z,,,0.718595,2664.613281
2025-05-07T02:27:10Z,,,0.539925,2664.617188
2025-05-07T02:27:11Z,,,3.536964,2664.617188
2025-05-07T02:27:12Z,,,0.512541,2664.617188
2025-05-07T02:27:13Z,,,0.650553,2664.617188
2025-05-07T02:27:14Z,,,0.515232,2664.617188
2025-05-07T02:27:15Z,,,0.500905,2664.617188
2025-05-07T02:27:16Z,,,3.608500,2664.632812
2025-05-07T02:27:17Z,,,0.521051,2664.628906
2025-05-07T02:27:18Z,,,0.529338,2664.625000
2025-05-07T02:27:19Z,,,0.533734,2664.625000
2025-05-07T02:27:20Z,,,0.528766,2664.625000
2025-05-07T02:27:21Z,,,4.502161,2664.640625
2025-05-07T02:27:22Z,,,0.572015,2664.632812
2025-05-07T02:27:23Z,,,0.584900,2664.628906
2025-05-07T02:27:24Z,,,0.530563,2664.628906
2025-05-07T02:27:25Z,,,0.558102,2664.628906
2025-05-07T02:27:26Z,,,3.687990,2664.824219
2025-05-07T02:27:27Z,,,0.536370,2664.644531
2025-05-07T02:27:28Z,,,0.622850,2664.636719
2025-05-07T02:27:29Z,,,0.808845,2664.636719
2025-05-07T02:27:30Z,,,0.574005,2664.640625
2025-05-07T02:27:31Z,,,1.034780,2665.746094
2025-05-07T02:27:32Z,,,3.647318,2664.656250
2025-05-07T02:27:33Z,,,0.518706,2664.656250
2025-05-07T02:27:34Z,,,0.546214,2664.656250
2025-05-07T02:27:35Z,,,0.521445,2664.656250
2025-05-07T02:27:36Z,,,0.716080,2664.660156
2025-05-07T02:27:37Z,,,12.545044,2664.750000
