time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-05-07T02:26:10Z,29890.000000,12.773090,
2025-05-07T02:26:11Z,104300.000000,41.419392,
2025-05-07T02:26:12Z,107520.000000,48.780026,
2025-05-07T02:26:13Z,230511.000000,95.918787,
2025-05-07T02:26:14Z,211909.000000,91.362021,
2025-05-07T02:26:15Z,210678.000000,93.344460,
2025-05-07T02:26:16Z,213521.000000,94.323707,
2025-05-07T02:26:17Z,212571.000000,95.721933,
2025-05-07T02:26:18Z,198503.000000,94.967471,
2025-05-07T02:26:19Z,207054.000000,86.053913,
2025-05-07T02:26:20Z,207249.000000,92.992416,
2025-05-07T02:26:21Z,209510.000000,93.032615,
2025-05-07T02:26:22Z,204369.000000,91.727473,
2025-05-07T02:26:23Z,209797.000000,92.860710,
2025-05-07T02:26:24Z,206350.000000,92.095118,
2025-05-07T02:26:25Z,200316.000000,93.071706,
2025-05-07T02:26:26Z,1728.000000,13.272204,
2025-05-07T02:26:27Z,0.000000,0.000000,
2025-05-07T02:26:28Z,0.000000,0.000000,
2025-05-07T02:26:29Z,0.000000,0.000000,
2025-05-07T02:26:30Z,0.000000,0.000000,
2025-05-07T02:26:31Z,0.000000,0.000000,
2025-05-07T02:26:32Z,0.000000,0.000000,
2025-05-07T02:26:33Z,0.000000,0.000000,
2025-05-07T02:26:34Z,0.000000,0.000000,
2025-05-07T02:26:35Z,0.000000,0.000000,
2025-05-07T02:26:36Z,0.000000,0.000000,
2025-05-07T02:26:37Z,0.000000,0.000000,
2025-05-07T02:26:38Z,0.000000,0.000000,
2025-05-07T02:26:39Z,0.000000,0.000000,
2025-05-07T02:26:40Z,0.000000,0.000000,
2025-05-07T02:26:41Z,0.000000,0.000000,
2025-05-07T02:26:42Z,0.000000,0.000000,
2025-05-07T02:26:43Z,0.000000,0.000000,
2025-05-07T02:26:44Z,0.000000,0.000000,
2025-05-07T02:26:45Z,0.000000,0.000000,
2025-05-07T02:26:46Z,0.000000,0.000000,
2025-05-07T02:26:47Z,0.000000,0.000000,
2025-05-07T02:26:48Z,0.000000,0.000000,
2025-05-07T02:26:49Z,0.000000,0.000000,
2025-05-07T02:26:50Z,0.000000,0.000000,
2025-05-07T02:26:51Z,0.000000,0.000000,
2025-05-07T02:26:52Z,0.000000,0.000000,
2025-05-07T02:26:53Z,0.000000,0.000000,
2025-05-07T02:26:54Z,0.000000,0.000000,
2025-05-07T02:26:55Z,0.000000,0.000000,
2025-05-07T02:26:56Z,0.000000,0.000000,
2025-05-07T02:26:57Z,0.000000,0.000000,
2025-05-07T02:26:58Z,0.000000,0.000000,
2025-05-07T02:26:59Z,0.000000,0.000000,
2025-05-07T02:27:00Z,0.000000,0.000000,
2025-05-07T02:27:01Z,0.000000,0.000000,
2025-05-07T02:27:02Z,0.000000,0.000000,
2025-05-07T02:27:03Z,0.000000,0.000000,
2025-05-07T02:27:04Z,0.000000,0.000000,
2025-05-07T02:27:05Z,0.000000,0.000000,
2025-05-07T02:27:06Z,0.000000,0.000000,
2025-05-07T02:27:07Z,0.000000,0.000000,
2025-05-07T02:27:08Z,0.000000,0.000000,
2025-05-07T02:27:09Z,0.000000,0.000000,
2025-05-07T02:27:10Z,0.000000,0.000000,
2025-05-07T02:27:11Z,0.000000,0.000000,
2025-05-07T02:27:12Z,0.000000,0.000000,
2025-05-07T02:27:13Z,0.000000,0.000000,
2025-05-07T02:27:14Z,0.000000,0.000000,
2025-05-07T02:27:15Z,0.000000,0.000000,
2025-05-07T02:27:16Z,0.000000,0.000000,
2025-05-07T02:27:17Z,0.000000,0.000000,
2025-05-07T02:27:18Z,0.000000,0.000000,
2025-05-07T02:27:19Z,0.000000,0.000000,
2025-05-07T02:27:20Z,0.000000,0.000000,
2025-05-07T02:27:21Z,0.000000,0.000000,
2025-05-07T02:27:22Z,0.000000,0.000000,
2025-05-07T02:27:23Z,0.000000,0.000000,
2025-05-07T02:27:24Z,0.000000,0.000000,
2025-05-07T02:27:25Z,0.000000,0.000000,
2025-05-07T02:27:26Z,0.000000,0.000000,
2025-05-07T02:27:27Z,0.000000,0.000000,
2025-05-07T02:27:28Z,0.000000,0.000000,
2025-05-07T02:27:29Z,0.000000,0.000000,
2025-05-07T02:27:30Z,0.000000,0.000000,
2025-05-07T02:27:31Z,0.000000,0.000000,
2025-05-07T02:27:32Z,0.000000,0.000000,
2025-05-07T02:27:33Z,0.000000,0.000000,
2025-05-07T02:27:34Z,0.000000,0.000000,
2025-05-07T02:27:35Z,0.000000,0.000000,
2025-05-07T02:27:36Z,0.000000,0.000000,
2025-05-07T02:27:37Z,0.000000,0.000000,
