time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-07T02:07:53Z,0.148602,54.242188,,
2025-05-07T02:07:54Z,133.097938,342.605469,,
2025-05-07T02:07:55Z,69.737129,510.621094,,
2025-05-07T02:07:56Z,98.010000,662.175781,,
2025-05-07T02:07:57Z,109.411385,570.593750,,
2025-05-07T02:07:58Z,88.644900,597.019531,,
2025-05-07T02:07:59Z,98.614000,604.621094,,
2025-05-07T02:08:00Z,117.179604,790.332031,,
2025-05-07T02:08:01Z,133.040500,722.222656,,
2025-05-07T02:08:02Z,122.318000,658.281250,,
2025-05-07T02:08:03Z,121.840196,702.031250,,
2025-05-07T02:08:04Z,133.415657,654.476562,,
2025-05-07T02:08:05Z,141.992020,616.000000,,
2025-05-07T02:08:06Z,140.382798,642.144531,,
2025-05-07T02:08:07Z,132.798586,568.742188,,
2025-05-07T02:08:08Z,136.719704,548.660156,,
2025-05-07T02:08:09Z,141.700205,710.035156,,
2025-05-07T02:08:10Z,145.827216,674.496094,,
2025-05-07T02:08:11Z,136.616535,645.066406,,
2025-05-07T02:08:12Z,146.627739,704.058594,,
2025-05-07T02:08:13Z,145.388687,664.296875,,
2025-05-07T02:08:14Z,142.470251,629.605469,,
2025-05-07T02:08:15Z,136.744242,744.281250,,
2025-05-07T02:08:16Z,142.683232,665.964844,,
2025-05-07T02:08:17Z,135.168218,756.714844,,
2025-05-07T02:08:18Z,136.985510,718.304688,,
2025-05-07T02:08:19Z,146.523168,651.183594,,
2025-05-07T02:08:20Z,137.749100,621.554688,,
2025-05-07T02:08:21Z,135.420408,628.632812,,
2025-05-07T02:08:22Z,140.331287,660.445312,,
2025-05-07T02:08:23Z,137.074213,700.777344,,
2025-05-07T02:08:24Z,145.560309,695.832031,,
2025-05-07T02:08:25Z,154.765128,652.984375,,
2025-05-07T02:08:26Z,136.944670,676.046875,,
2025-05-07T02:08:27Z,135.629548,652.730469,,
2025-05-07T02:08:28Z,140.510495,645.050781,,
2025-05-07T02:08:29Z,130.302157,685.839844,,
2025-05-07T02:08:30Z,140.105758,639.324219,,
2025-05-07T02:08:31Z,143.511386,642.585938,,
2025-05-07T02:08:32Z,142.130714,718.890625,,
2025-05-07T02:08:33Z,142.880990,653.050781,,
2025-05-07T02:08:34Z,138.231327,604.972656,,
2025-05-07T02:08:35Z,141.350606,673.082031,,
2025-05-07T02:08:36Z,142.432893,625.492188,,
2025-05-07T02:08:37Z,156.707897,591.074219,,
2025-05-07T02:08:38Z,132.076020,635.890625,,
2025-05-07T02:08:39Z,140.053869,719.671875,,
2025-05-07T02:08:40Z,147.631400,685.234375,,
2025-05-07T02:08:41Z,56.798607,710.371094,,
2025-05-07T02:08:42Z,0.433673,710.375000,,
2025-05-07T02:08:43Z,0.418392,710.375000,,
2025-05-07T02:08:44Z,0.406019,710.375000,,
2025-05-07T02:08:45Z,0.408571,710.378906,,
2025-05-07T02:08:46Z,0.415446,710.289062,,
2025-05-07T02:08:47Z,0.426768,710.292969,,
2025-05-07T02:08:48Z,0.422500,710.292969,,
2025-05-07T02:08:49Z,0.424162,710.250000,,
2025-05-07T02:08:50Z,0.418878,710.253906,,
2025-05-07T02:08:51Z,0.425787,710.253906,,
2025-05-07T02:08:52Z,0.422600,710.257812,,
2025-05-07T02:08:53Z,0.405800,710.257812,,
2025-05-07T02:08:54Z,0.412864,710.257812,,
2025-05-07T02:08:55Z,0.389010,710.257812,,
2025-05-07T02:08:56Z,0.432121,710.253906,,
2025-05-07T02:08:57Z,0.417360,710.253906,,
2025-05-07T02:08:58Z,0.425231,710.253906,,
2025-05-07T02:08:59Z,0.404000,710.253906,,
2025-05-07T02:09:00Z,0.405771,710.253906,,
2025-05-07T02:09:01Z,0.426900,710.257812,,
2025-05-07T02:09:02Z,0.430863,710.257812,,
2025-05-07T02:09:03Z,0.412764,710.257812,,
2025-05-07T02:09:04Z,0.405900,710.257812,,
2025-05-07T02:09:05Z,0.423163,710.257812,,
2025-05-07T02:09:06Z,0.408384,710.261719,,
2025-05-07T02:09:07Z,0.410400,710.261719,,
2025-05-07T02:09:08Z,0.415075,710.261719,,
2025-05-07T02:09:09Z,0.430152,710.035156,,
2025-05-07T02:09:10Z,0.423737,710.035156,,
2025-05-07T02:09:11Z,0.403500,710.035156,,
2025-05-07T02:09:12Z,0.408643,710.035156,,
2025-05-07T02:09:13Z,0.440402,710.031250,,
2025-05-07T02:09:14Z,0.410251,710.031250,,
2025-05-07T02:09:15Z,0.413131,710.031250,,
2025-05-07T02:09:16Z,0.471156,710.031250,,
2025-05-07T02:09:17Z,0.419192,710.031250,,
2025-05-07T02:09:18Z,0.412525,710.031250,,
2025-05-07T02:09:19Z,0.412040,710.031250,,
2025-05-07T02:09:20Z,0.415176,710.039062,,
2025-05-07T02:09:21Z,0.398119,710.039062,,
2025-05-07T02:09:22Z,0.404158,710.042969,,
2025-05-07T02:09:23Z,0.388528,710.042969,,
