time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-05-07T02:07:57Z,74227.000000,36.287189,
2025-05-07T02:07:58Z,25568.000000,36.526342,
2025-05-07T02:07:59Z,38589.000000,36.526342,
2025-05-07T02:08:00Z,40074.000000,36.525620,
2025-05-07T02:08:01Z,50000.000000,36.525794,
2025-05-07T02:08:02Z,93438.000000,44.152147,
2025-05-07T02:08:03Z,56562.000000,54.716083,
2025-05-07T02:08:04Z,50000.000000,44.358151,
2025-05-07T02:08:05Z,50001.000000,39.402455,
2025-05-07T02:08:06Z,65832.000000,36.526343,
2025-05-07T02:08:07Z,84171.000000,53.691956,
2025-05-07T02:08:08Z,50001.000000,55.887100,
2025-05-07T02:08:09Z,50001.000000,36.526380,
2025-05-07T02:08:10Z,69606.000000,36.798105,
2025-05-07T02:08:11Z,80397.000000,66.568812,
2025-05-07T02:08:12Z,50000.000000,42.737996,
2025-05-07T02:08:13Z,70264.000000,38.555172,
2025-05-07T02:08:14Z,79737.000000,71.737668,
2025-05-07T02:08:15Z,50000.000000,36.764022,
2025-05-07T02:08:16Z,60452.000000,36.764137,
2025-05-07T02:08:17Z,89549.000000,67.524473,
2025-05-07T02:08:18Z,50001.000000,41.792686,
2025-05-07T02:08:19Z,50000.000000,37.740500,
2025-05-07T02:08:20Z,100001.000000,63.845138,
2025-05-07T02:08:21Z,50001.000000,46.448441,
2025-05-07T02:08:22Z,50000.000000,36.764330,
2025-05-07T02:08:23Z,81656.000000,51.733634,
2025-05-07T02:08:24Z,68346.000000,58.559947,
2025-05-07T02:08:25Z,50001.000000,36.764786,
2025-05-07T02:08:26Z,82796.000000,52.504169,
2025-05-07T02:08:27Z,67205.000000,57.788705,
2025-05-07T02:08:28Z,50001.000000,36.764816,
2025-05-07T02:08:29Z,71860.000000,43.891093,
2025-05-07T02:08:30Z,78141.000000,52.739483,
2025-05-07T02:08:31Z,50001.000000,50.427009,
2025-05-07T02:08:32Z,59583.000000,36.764754,
2025-05-07T02:08:33Z,90418.000000,64.004069,
2025-05-07T02:08:34Z,50001.000000,46.288946,
2025-05-07T02:08:35Z,66649.000000,36.764788,
2025-05-07T02:08:36Z,77797.000000,56.249911,
2025-05-07T02:08:37Z,55555.000000,54.042377,
2025-05-07T02:08:38Z,69198.000000,46.666133,
2025-05-07T02:08:39Z,75159.000000,52.504188,
2025-05-07T02:08:40Z,55644.000000,47.886598,
2025-05-07T02:08:41Z,73893.000000,44.394087,
2025-05-07T02:08:42Z,26108.000000,29.134764,
2025-05-07T02:08:43Z,0.000000,0.000000,
2025-05-07T02:08:44Z,0.000000,0.000000,
2025-05-07T02:08:45Z,0.000000,0.000000,
2025-05-07T02:08:46Z,0.000000,0.000000,
2025-05-07T02:08:47Z,0.000000,0.000000,
2025-05-07T02:08:48Z,0.000000,0.000000,
2025-05-07T02:08:49Z,0.000000,0.000000,
2025-05-07T02:08:50Z,0.000000,0.000000,
2025-05-07T02:08:51Z,0.000000,0.000000,
2025-05-07T02:08:52Z,0.000000,0.000000,
2025-05-07T02:08:53Z,0.000000,0.000000,
2025-05-07T02:08:54Z,0.000000,0.000000,
2025-05-07T02:08:55Z,0.000000,0.000000,
2025-05-07T02:08:56Z,0.000000,0.000000,
2025-05-07T02:08:57Z,0.000000,0.000000,
2025-05-07T02:08:58Z,0.000000,0.000000,
2025-05-07T02:08:59Z,0.000000,0.000000,
2025-05-07T02:09:00Z,0.000000,0.000000,
2025-05-07T02:09:01Z,0.000000,0.000000,
2025-05-07T02:09:02Z,0.000000,0.000000,
2025-05-07T02:09:03Z,0.000000,0.000000,
2025-05-07T02:09:04Z,0.000000,0.000000,
2025-05-07T02:09:05Z,0.000000,0.000000,
2025-05-07T02:09:06Z,0.000000,0.000000,
2025-05-07T02:09:07Z,0.000000,0.000000,
2025-05-07T02:09:08Z,0.000000,0.000000,
2025-05-07T02:09:09Z,0.000000,0.000000,
2025-05-07T02:09:10Z,0.000000,0.000000,
2025-05-07T02:09:11Z,0.000000,0.000000,
2025-05-07T02:09:12Z,0.000000,0.000000,
2025-05-07T02:09:13Z,0.000000,0.000000,
2025-05-07T02:09:14Z,0.000000,0.000000,
2025-05-07T02:09:15Z,0.000000,0.000000,
2025-05-07T02:09:16Z,0.000000,0.000000,
2025-05-07T02:09:17Z,0.000000,0.000000,
2025-05-07T02:09:18Z,0.000000,0.000000,
2025-05-07T02:09:19Z,0.000000,0.000000,
2025-05-07T02:09:20Z,0.000000,0.000000,
2025-05-07T02:09:21Z,0.000000,0.000000,
2025-05-07T02:09:22Z,0.000000,0.000000,
2025-05-07T02:09:23Z,0.000000,0.000000,
