time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-07T02:03:37Z,0.430395,49.000000,,
2025-05-07T02:03:38Z,132.580524,384.300781,,
2025-05-07T02:03:39Z,76.371642,534.324219,,
2025-05-07T02:03:40Z,93.962800,703.445312,,
2025-05-07T02:03:41Z,103.435224,725.109375,,
2025-05-07T02:03:42Z,106.373035,722.539062,,
2025-05-07T02:03:43Z,103.857500,660.566406,,
2025-05-07T02:03:44Z,120.893604,726.550781,,
2025-05-07T02:03:45Z,117.486733,674.617188,,
2025-05-07T02:03:46Z,135.924623,682.246094,,
2025-05-07T02:03:47Z,119.053065,643.019531,,
2025-05-07T02:03:48Z,142.064615,735.246094,,
2025-05-07T02:03:49Z,122.569703,677.687500,,
2025-05-07T02:03:50Z,143.243920,724.878906,,
2025-05-07T02:03:51Z,134.037700,648.992188,,
2025-05-07T02:03:52Z,144.782010,652.941406,,
2025-05-07T02:03:53Z,140.116418,612.378906,,
2025-05-07T02:03:54Z,133.880800,659.195312,,
2025-05-07T02:03:55Z,134.797015,664.125000,,
2025-05-07T02:03:56Z,141.057475,626.816406,,
2025-05-07T02:03:57Z,148.898579,677.253906,,
2025-05-07T02:03:58Z,137.150900,696.605469,,
2025-05-07T02:03:59Z,135.575779,652.222656,,
2025-05-07T02:04:00Z,149.257879,785.085938,,
2025-05-07T02:04:01Z,139.887385,758.078125,,
2025-05-07T02:04:02Z,143.390777,699.601562,,
2025-05-07T02:04:03Z,144.759196,669.285156,,
2025-05-07T02:04:04Z,131.439406,696.230469,,
2025-05-07T02:04:05Z,138.168744,689.695312,,
2025-05-07T02:04:06Z,143.103200,733.554688,,
2025-05-07T02:04:07Z,142.610000,640.855469,,
2025-05-07T02:04:08Z,145.680718,757.562500,,
2025-05-07T02:04:09Z,151.460308,749.882812,,
2025-05-07T02:04:10Z,136.114229,692.000000,,
2025-05-07T02:04:11Z,147.928821,628.062500,,
2025-05-07T02:04:12Z,149.146633,643.265625,,
2025-05-07T02:04:13Z,135.849045,653.941406,,
2025-05-07T02:04:14Z,146.734416,725.808594,,
2025-05-07T02:04:15Z,133.393561,693.878906,,
2025-05-07T02:04:16Z,143.468416,643.785156,,
2025-05-07T02:04:17Z,144.194257,595.527344,,
2025-05-07T02:04:18Z,144.640914,615.328125,,
2025-05-07T02:04:19Z,150.203350,632.082031,,
2025-05-07T02:04:20Z,134.500099,646.527344,,
2025-05-07T02:04:21Z,136.908141,759.769531,,
2025-05-07T02:04:22Z,152.676224,672.875000,,
2025-05-07T02:04:23Z,136.694600,607.375000,,
2025-05-07T02:04:24Z,117.506798,618.585938,,
2025-05-07T02:04:25Z,0.476667,618.582031,,
2025-05-07T02:04:26Z,0.455545,618.585938,,
2025-05-07T02:04:27Z,0.429703,618.593750,,
2025-05-07T02:04:28Z,0.422463,618.601562,,
2025-05-07T02:04:29Z,0.434372,618.605469,,
2025-05-07T02:04:30Z,0.417537,618.613281,,
2025-05-07T02:04:31Z,0.451010,618.617188,,
2025-05-07T02:04:32Z,0.449045,618.625000,,
2025-05-07T02:04:33Z,0.422786,618.628906,,
2025-05-07T02:04:34Z,0.446231,618.464844,,
2025-05-07T02:04:35Z,0.436059,618.464844,,
2025-05-07T02:04:36Z,0.421980,618.468750,,
2025-05-07T02:04:37Z,0.441212,618.468750,,
2025-05-07T02:04:38Z,0.416465,618.468750,,
2025-05-07T02:04:39Z,0.441414,618.468750,,
2025-05-07T02:04:40Z,0.448079,618.468750,,
2025-05-07T02:04:41Z,0.458274,618.468750,,
2025-05-07T02:04:42Z,0.436059,618.468750,,
2025-05-07T02:04:43Z,0.430808,618.468750,,
2025-05-07T02:04:44Z,0.432808,618.468750,,
2025-05-07T02:04:45Z,0.432475,618.468750,,
2025-05-07T02:04:46Z,0.424950,618.468750,,
2025-05-07T02:04:47Z,0.435323,618.476562,,
2025-05-07T02:04:48Z,0.439388,618.476562,,
2025-05-07T02:04:49Z,0.437843,618.476562,,
2025-05-07T02:04:50Z,0.434129,618.476562,,
2025-05-07T02:04:51Z,0.420980,618.476562,,
2025-05-07T02:04:52Z,0.446834,618.480469,,
2025-05-07T02:04:53Z,0.466408,618.480469,,
2025-05-07T02:04:54Z,0.450700,618.484375,,
2025-05-07T02:04:55Z,0.429751,618.484375,,
2025-05-07T02:04:56Z,0.443434,618.484375,,
2025-05-07T02:04:57Z,0.449543,618.480469,,
2025-05-07T02:04:58Z,0.416020,618.480469,,
2025-05-07T02:04:59Z,0.424900,618.480469,,
2025-05-07T02:05:00Z,0.446802,618.480469,,
2025-05-07T02:05:01Z,0.451457,618.480469,,
2025-05-07T02:05:02Z,0.404400,618.480469,,
2025-05-07T02:05:03Z,0.430746,618.480469,,
2025-05-07T02:05:04Z,0.455721,618.484375,,
2025-05-07T02:05:05Z,0.451357,618.484375,,
2025-05-07T02:05:06Z,0.443431,618.484375,,
2025-05-07T02:05:07Z,0.430547,618.484375,,
