time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-05-07T02:03:41Z,31337.000000,32.658492,
2025-05-07T02:03:42Z,66611.000000,36.525635,
2025-05-07T02:03:43Z,42568.000000,36.525615,
2025-05-07T02:03:44Z,25415.000000,36.525705,
2025-05-07T02:03:45Z,60587.000000,36.525634,
2025-05-07T02:03:46Z,68726.000000,39.385599,
2025-05-07T02:03:47Z,66995.000000,64.625503,
2025-05-07T02:03:48Z,50001.000000,35.873245,
2025-05-07T02:03:49Z,50001.000000,42.745995,
2025-05-07T02:03:50Z,50001.000000,36.526391,
2025-05-07T02:03:51Z,95186.000000,55.234814,
2025-05-07T02:03:52Z,54814.000000,49.200791,
2025-05-07T02:03:53Z,50000.000000,41.666953,
2025-05-07T02:03:54Z,70314.000000,41.940314,
2025-05-07T02:03:55Z,79689.000000,66.461991,
2025-05-07T02:03:56Z,50001.000000,37.703233,
2025-05-07T02:03:57Z,50001.000000,36.764814,
2025-05-07T02:03:58Z,100002.000000,70.631842,
2025-05-07T02:03:59Z,50001.000000,39.662559,
2025-05-07T02:04:00Z,50000.000000,36.764071,
2025-05-07T02:04:01Z,100000.000000,73.528090,
2025-05-07T02:04:02Z,50000.000000,36.764079,
2025-05-07T02:04:03Z,66441.000000,37.127987,
2025-05-07T02:04:04Z,83560.000000,73.164805,
2025-05-07T02:04:05Z,50000.000000,36.764137,
2025-05-07T02:04:06Z,55113.000000,36.764052,
2025-05-07T02:04:07Z,94889.000000,73.529574,
2025-05-07T02:04:08Z,50001.000000,36.764757,
2025-05-07T02:04:09Z,54584.000000,36.764790,
2025-05-07T02:04:10Z,91757.000000,65.183424,
2025-05-07T02:04:11Z,53663.000000,45.110922,
2025-05-07T02:04:12Z,66050.000000,36.764757,
2025-05-07T02:04:13Z,83953.000000,65.934079,
2025-05-07T02:04:14Z,50001.000000,44.360218,
2025-05-07T02:04:15Z,79456.000000,43.847761,
2025-05-07T02:04:16Z,70546.000000,66.445825,
2025-05-07T02:04:17Z,50000.000000,36.764043,
2025-05-07T02:04:18Z,88752.000000,50.952782,
2025-05-07T02:04:19Z,61249.000000,59.340085,
2025-05-07T02:04:20Z,78501.000000,48.048444,
2025-05-07T02:04:21Z,64426.000000,53.829905,
2025-05-07T02:04:22Z,57074.000000,45.178782,
2025-05-07T02:04:23Z,78973.000000,40.391956,
2025-05-07T02:04:24Z,71027.000000,64.445173,
2025-05-07T02:04:25Z,50001.000000,42.219810,
2025-05-07T02:04:26Z,0.000000,0.000000,
2025-05-07T02:04:27Z,0.000000,0.000000,
2025-05-07T02:04:28Z,0.000000,0.000000,
2025-05-07T02:04:29Z,0.000000,0.000000,
2025-05-07T02:04:30Z,0.000000,0.000000,
2025-05-07T02:04:31Z,0.000000,0.000000,
2025-05-07T02:04:32Z,0.000000,0.000000,
2025-05-07T02:04:33Z,0.000000,0.000000,
2025-05-07T02:04:34Z,0.000000,0.000000,
2025-05-07T02:04:35Z,0.000000,0.000000,
2025-05-07T02:04:36Z,0.000000,0.000000,
2025-05-07T02:04:37Z,0.000000,0.000000,
2025-05-07T02:04:38Z,0.000000,0.000000,
2025-05-07T02:04:39Z,0.000000,0.000000,
2025-05-07T02:04:40Z,0.000000,0.000000,
2025-05-07T02:04:41Z,0.000000,0.000000,
2025-05-07T02:04:42Z,0.000000,0.000000,
2025-05-07T02:04:43Z,0.000000,0.000000,
2025-05-07T02:04:44Z,0.000000,0.000000,
2025-05-07T02:04:45Z,0.000000,0.000000,
2025-05-07T02:04:46Z,0.000000,0.000000,
2025-05-07T02:04:47Z,0.000000,0.000000,
2025-05-07T02:04:48Z,0.000000,0.000000,
2025-05-07T02:04:49Z,0.000000,0.000000,
2025-05-07T02:04:50Z,0.000000,0.000000,
2025-05-07T02:04:51Z,0.000000,0.000000,
2025-05-07T02:04:52Z,0.000000,0.000000,
2025-05-07T02:04:53Z,0.000000,0.000000,
2025-05-07T02:04:54Z,0.000000,0.000000,
2025-05-07T02:04:55Z,0.000000,0.000000,
2025-05-07T02:04:56Z,0.000000,0.000000,
2025-05-07T02:04:57Z,0.000000,0.000000,
2025-05-07T02:04:58Z,0.000000,0.000000,
2025-05-07T02:04:59Z,0.000000,0.000000,
2025-05-07T02:05:00Z,0.000000,0.000000,
2025-05-07T02:05:01Z,0.000000,0.000000,
2025-05-07T02:05:02Z,0.000000,0.000000,
2025-05-07T02:05:03Z,0.000000,0.000000,
2025-05-07T02:05:04Z,0.000000,0.000000,
2025-05-07T02:05:05Z,0.000000,0.000000,
2025-05-07T02:05:06Z,0.000000,0.000000,
2025-05-07T02:05:07Z,0.000000,0.000000,
