time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-07T01:32:09Z,0.003112,67.667969,,
2025-05-07T01:32:10Z,157.430025,426.511719,,
2025-05-07T01:32:11Z,138.627305,518.843750,,
2025-05-07T01:32:12Z,192.213333,556.117188,,
2025-05-07T01:32:13Z,195.799595,562.597656,,
2025-05-07T01:32:14Z,202.279801,584.351562,,
2025-05-07T01:32:15Z,200.401924,558.886719,,
2025-05-07T01:32:16Z,220.577812,667.863281,,
2025-05-07T01:32:17Z,201.400298,590.042969,,
2025-05-07T01:32:18Z,207.879791,546.761719,,
2025-05-07T01:32:19Z,207.126162,558.640625,,
2025-05-07T01:32:20Z,208.651629,573.113281,,
2025-05-07T01:32:21Z,192.909872,565.851562,,
2025-05-07T01:32:22Z,204.191100,568.191406,,
2025-05-07T01:32:23Z,198.542030,548.695312,,
2025-05-07T01:32:24Z,231.486392,539.226562,,
2025-05-07T01:32:25Z,203.441990,590.308594,,
2025-05-07T01:32:26Z,220.250312,583.398438,,
2025-05-07T01:32:27Z,215.361026,538.441406,,
2025-05-07T01:32:28Z,217.757841,593.195312,,
2025-05-07T01:32:29Z,214.151735,554.816406,,
2025-05-07T01:32:30Z,217.550909,589.898438,,
2025-05-07T01:32:31Z,223.711835,551.257812,,
2025-05-07T01:32:32Z,237.233893,565.062500,,
2025-05-07T01:32:33Z,209.872424,598.082031,,
2025-05-07T01:32:34Z,213.731911,536.886719,,
2025-05-07T01:32:35Z,213.358300,560.863281,,
2025-05-07T01:32:36Z,219.333063,571.753906,,
2025-05-07T01:32:37Z,202.776675,566.902344,,
2025-05-07T01:32:38Z,216.585333,598.527344,,
2025-05-07T01:32:39Z,220.581624,577.230469,,
2025-05-07T01:32:40Z,218.316954,626.960938,,
2025-05-07T01:32:41Z,217.692021,582.679688,,
2025-05-07T01:32:42Z,209.294509,577.296875,,
2025-05-07T01:32:43Z,225.369460,560.203125,,
2025-05-07T01:32:44Z,95.227315,538.496094,,
2025-05-07T01:32:45Z,0.511558,539.136719,,
2025-05-07T01:32:46Z,0.457688,539.136719,,
2025-05-07T01:32:47Z,0.489548,539.781250,,
2025-05-07T01:32:48Z,0.449370,539.789062,,
2025-05-07T01:32:49Z,0.470224,539.785156,,
2025-05-07T01:32:50Z,0.445360,539.796875,,
2025-05-07T01:32:51Z,6.847345,456.789062,,
2025-05-07T01:32:52Z,0.457945,456.785156,,
2025-05-07T01:32:53Z,0.460349,456.785156,,
2025-05-07T01:32:54Z,0.467940,456.789062,,
2025-05-07T01:32:55Z,0.460741,456.785156,,
2025-05-07T01:32:56Z,0.456583,456.792969,,
2025-05-07T01:32:57Z,0.454158,456.800781,,
2025-05-07T01:32:58Z,0.472982,456.804688,,
2025-05-07T01:32:59Z,0.458362,456.812500,,
2025-05-07T01:33:00Z,0.475522,456.812500,,
2025-05-07T01:33:01Z,0.458065,456.812500,,
2025-05-07T01:33:02Z,0.448200,456.816406,,
2025-05-07T01:33:03Z,0.459244,456.820312,,
2025-05-07T01:33:04Z,0.454826,456.820312,,
2025-05-07T01:33:05Z,0.452965,456.824219,,
2025-05-07T01:33:06Z,0.464400,456.820312,,
2025-05-07T01:33:07Z,0.452469,456.820312,,
2025-05-07T01:33:08Z,0.453935,456.820312,,
2025-05-07T01:33:09Z,0.446432,456.820312,,
2025-05-07T01:33:10Z,0.443300,456.816406,,
2025-05-07T01:33:11Z,0.428800,456.816406,,
2025-05-07T01:33:12Z,0.431960,456.816406,,
2025-05-07T01:33:13Z,0.445829,456.816406,,
2025-05-07T01:33:14Z,0.437406,456.828125,,
2025-05-07T01:33:15Z,0.439293,456.828125,,
2025-05-07T01:33:16Z,0.441400,456.832031,,
2025-05-07T01:33:17Z,0.450200,456.835938,,
2025-05-07T01:33:18Z,0.463317,456.835938,,
2025-05-07T01:33:19Z,0.442412,456.839844,,
2025-05-07T01:33:20Z,0.427562,456.839844,,
2025-05-07T01:33:21Z,0.455400,456.839844,,
2025-05-07T01:33:22Z,0.458090,456.839844,,
2025-05-07T01:33:23Z,0.462256,456.847656,,
2025-05-07T01:33:24Z,0.450627,456.843750,,
2025-05-07T01:33:25Z,0.440905,456.843750,,
2025-05-07T01:33:26Z,0.431200,456.851562,,
2025-05-07T01:33:27Z,0.467139,456.855469,,
2025-05-07T01:33:28Z,0.463131,456.855469,,
2025-05-07T01:33:29Z,0.474242,456.855469,,
2025-05-07T01:33:30Z,0.452600,456.855469,,
2025-05-07T01:33:31Z,0.451000,456.855469,,
2025-05-07T01:33:32Z,0.443216,456.855469,,
2025-05-07T01:33:33Z,0.434700,456.855469,,
2025-05-07T01:33:34Z,0.442506,456.859375,,
2025-05-07T01:33:35Z,0.432871,456.859375,,
2025-05-07T01:33:36Z,0.431738,456.859375,,
2025-05-07T01:33:37Z,0.434171,456.859375,,
2025-05-07T01:33:38Z,0.441397,456.859375,,
2025-05-07T01:33:39Z,0.445161,456.867188,,
