time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-05-07T01:32:12Z,100000.000000,54.313555,
2025-05-07T01:32:13Z,51371.000000,70.128765,
2025-05-07T01:32:14Z,98629.000000,73.053690,
2025-05-07T01:32:15Z,100000.000000,73.065331,
2025-05-07T01:32:16Z,82794.000000,51.142926,
2025-05-07T01:32:17Z,98650.000000,58.476890,
2025-05-07T01:32:18Z,68558.000000,73.077399,
2025-05-07T01:32:19Z,100002.000000,68.225263,
2025-05-07T01:32:20Z,100002.000000,56.751225,
2025-05-07T01:32:21Z,52462.000000,57.742775,
2025-05-07T01:32:22Z,97541.000000,73.314548,
2025-05-07T01:32:23Z,100001.000000,73.593231,
2025-05-07T01:32:24Z,83828.000000,53.438931,
2025-05-07T01:32:25Z,68776.000000,57.012671,
2025-05-07T01:32:26Z,97400.000000,73.643090,
2025-05-07T01:32:27Z,100002.000000,63.358449,
2025-05-07T01:32:28Z,74597.000000,48.687800,
2025-05-07T01:32:29Z,75405.000000,72.017544,
2025-05-07T01:32:30Z,100000.000000,73.653122,
2025-05-07T01:32:31Z,100000.000000,73.674972,
2025-05-07T01:32:32Z,88689.000000,51.628420,
2025-05-07T01:32:33Z,67102.000000,58.860270,
2025-05-07T01:32:34Z,94213.000000,73.660152,
2025-05-07T01:32:35Z,100000.000000,61.277080,
2025-05-07T01:32:36Z,77644.000000,58.151144,
2025-05-07T01:32:37Z,77819.000000,64.762739,
2025-05-07T01:32:38Z,94537.000000,73.676464,
2025-05-07T01:32:39Z,100002.000000,73.666098,
2025-05-07T01:32:40Z,100000.000000,53.846519,
2025-05-07T01:32:41Z,53908.000000,56.639009,
2025-05-07T01:32:42Z,96094.000000,73.655902,
2025-05-07T01:32:43Z,100001.000000,60.713302,
2025-05-07T01:32:44Z,50000.000000,49.777607,
2025-05-07T01:32:45Z,0.000000,0.000000,
2025-05-07T01:32:46Z,0.000000,0.000000,
2025-05-07T01:32:47Z,0.000000,0.000000,
2025-05-07T01:32:48Z,0.000000,0.000000,
2025-05-07T01:32:49Z,0.000000,0.000000,
2025-05-07T01:32:50Z,0.000000,0.000000,
2025-05-07T01:32:51Z,0.000000,0.000000,
2025-05-07T01:32:52Z,0.000000,0.000000,
2025-05-07T01:32:53Z,0.000000,0.000000,
2025-05-07T01:32:54Z,0.000000,0.000000,
2025-05-07T01:32:55Z,0.000000,0.000000,
2025-05-07T01:32:56Z,0.000000,0.000000,
2025-05-07T01:32:57Z,0.000000,0.000000,
2025-05-07T01:32:58Z,0.000000,0.000000,
2025-05-07T01:32:59Z,0.000000,0.000000,
2025-05-07T01:33:00Z,0.000000,0.000000,
2025-05-07T01:33:01Z,0.000000,0.000000,
2025-05-07T01:33:02Z,0.000000,0.000000,
2025-05-07T01:33:03Z,0.000000,0.000000,
2025-05-07T01:33:04Z,0.000000,0.000000,
2025-05-07T01:33:05Z,0.000000,0.000000,
2025-05-07T01:33:06Z,0.000000,0.000000,
2025-05-07T01:33:07Z,0.000000,0.000000,
2025-05-07T01:33:08Z,0.000000,0.000000,
2025-05-07T01:33:09Z,0.000000,0.000000,
2025-05-07T01:33:10Z,0.000000,0.000000,
2025-05-07T01:33:11Z,0.000000,0.000000,
2025-05-07T01:33:12Z,0.000000,0.000000,
2025-05-07T01:33:13Z,0.000000,0.000000,
2025-05-07T01:33:14Z,0.000000,0.000000,
2025-05-07T01:33:15Z,0.000000,0.000000,
2025-05-07T01:33:16Z,0.000000,0.000000,
2025-05-07T01:33:17Z,0.000000,0.000000,
2025-05-07T01:33:18Z,0.000000,0.000000,
2025-05-07T01:33:19Z,0.000000,0.000000,
2025-05-07T01:33:20Z,0.000000,0.000000,
2025-05-07T01:33:21Z,0.000000,0.000000,
2025-05-07T01:33:22Z,0.000000,0.000000,
2025-05-07T01:33:23Z,0.000000,0.000000,
2025-05-07T01:33:24Z,0.000000,0.000000,
2025-05-07T01:33:25Z,0.000000,0.000000,
2025-05-07T01:33:26Z,0.000000,0.000000,
2025-05-07T01:33:27Z,0.000000,0.000000,
2025-05-07T01:33:28Z,0.000000,0.000000,
2025-05-07T01:33:29Z,0.000000,0.000000,
2025-05-07T01:33:30Z,0.000000,0.000000,
2025-05-07T01:33:31Z,0.000000,0.000000,
2025-05-07T01:33:32Z,0.000000,0.000000,
2025-05-07T01:33:33Z,0.000000,0.000000,
2025-05-07T01:33:34Z,0.000000,0.000000,
2025-05-07T01:33:35Z,0.000000,0.000000,
2025-05-07T01:33:36Z,0.000000,0.000000,
2025-05-07T01:33:37Z,0.000000,0.000000,
2025-05-07T01:33:38Z,0.000000,0.000000,
2025-05-07T01:33:39Z,0.000000,0.000000,
