time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-07T01:35:08Z,,,0.209967,1096.902344
2025-05-07T01:35:09Z,,,3.000203,1096.109375
2025-05-07T01:35:10Z,,,0.572183,1096.109375
2025-05-07T01:35:11Z,,,0.646115,1096.113281
2025-05-07T01:35:12Z,,,5.599700,1096.113281
2025-05-07T01:35:13Z,,,0.762054,1096.109375
2025-05-07T01:35:14Z,,,2.192141,1096.109375
2025-05-07T01:35:15Z,,,0.869246,1096.121094
2025-05-07T01:35:16Z,,,1.518300,1096.132812
2025-05-07T01:35:17Z,,,4.536203,1096.175781
2025-05-07T01:35:18Z,,,10.866633,1096.972656
2025-05-07T01:35:19Z,,,276.868060,1131.386719
2025-05-07T01:35:20Z,,,272.431859,1133.082031
2025-05-07T01:35:21Z,,,272.986368,1325.191406
2025-05-07T01:35:22Z,,,286.473823,1586.085938
2025-05-07T01:35:23Z,,,248.951465,1786.687500
2025-05-07T01:35:24Z,,,191.753436,2020.066406
2025-05-07T01:35:25Z,,,197.905100,2163.074219
2025-05-07T01:35:26Z,,,227.947506,2334.937500
2025-05-07T01:35:27Z,,,263.861683,2453.441406
2025-05-07T01:35:28Z,,,250.339949,2452.597656
2025-05-07T01:35:29Z,,,269.226082,2463.761719
2025-05-07T01:35:30Z,,,277.057568,2475.707031
2025-05-07T01:35:31Z,,,267.258532,2500.554688
2025-05-07T01:35:32Z,,,266.318492,2499.945312
2025-05-07T01:35:33Z,,,253.663836,2498.968750
2025-05-07T01:35:34Z,,,262.564388,2501.535156
2025-05-07T01:35:35Z,,,251.277340,2080.644531
2025-05-07T01:35:36Z,,,222.780252,2281.214844
2025-05-07T01:35:37Z,,,213.685960,2283.457031
2025-05-07T01:35:38Z,,,209.027817,2282.265625
2025-05-07T01:35:39Z,,,229.217247,2282.246094
2025-05-07T01:35:40Z,,,211.467684,2281.886719
2025-05-07T01:35:41Z,,,206.730408,2282.046875
2025-05-07T01:35:42Z,,,182.413537,2281.593750
2025-05-07T01:35:43Z,,,6.420609,2281.609375
2025-05-07T01:35:44Z,,,13.472000,2281.617188
2025-05-07T01:35:45Z,,,0.598195,2281.617188
2025-05-07T01:35:46Z,,,0.525955,2281.617188
2025-05-07T01:35:47Z,,,0.647236,2281.437500
2025-05-07T01:35:48Z,,,4.134000,2281.445312
2025-05-07T01:35:49Z,,,1.712818,2281.449219
2025-05-07T01:35:50Z,,,2.711759,2281.257812
2025-05-07T01:35:51Z,,,0.543700,2281.257812
2025-05-07T01:35:52Z,,,0.520000,2281.257812
2025-05-07T01:35:53Z,,,3.756474,2281.261719
2025-05-07T01:35:54Z,,,0.547406,2281.261719
2025-05-07T01:35:55Z,,,0.538081,2281.261719
2025-05-07T01:35:56Z,,,0.517228,2281.261719
2025-05-07T01:35:57Z,,,0.550100,2281.261719
2025-05-07T01:35:58Z,,,3.752893,2281.269531
2025-05-07T01:35:59Z,,,0.541200,2281.265625
2025-05-07T01:36:00Z,,,0.667716,2281.265625
2025-05-07T01:36:01Z,,,0.538734,2281.265625
2025-05-07T01:36:02Z,,,0.527318,2281.265625
2025-05-07T01:36:03Z,,,4.311741,2281.273438
2025-05-07T01:36:04Z,,,0.560808,2281.234375
2025-05-07T01:36:05Z,,,0.524346,2281.234375
2025-05-07T01:36:06Z,,,0.621100,2281.234375
2025-05-07T01:36:07Z,,,0.537800,2281.234375
2025-05-07T01:36:08Z,,,3.704081,2281.242188
2025-05-07T01:36:09Z,,,0.570495,2281.238281
2025-05-07T01:36:10Z,,,0.536259,2281.238281
2025-05-07T01:36:11Z,,,0.555164,2281.238281
2025-05-07T01:36:12Z,,,0.575556,2281.238281
2025-05-07T01:36:13Z,,,3.709027,2281.253906
2025-05-07T01:36:14Z,,,0.534937,2281.250000
2025-05-07T01:36:15Z,,,0.535075,2281.250000
2025-05-07T01:36:16Z,,,0.537500,2280.949219
2025-05-07T01:36:17Z,,,0.517200,2280.949219
2025-05-07T01:36:18Z,,,4.031256,2280.957031
2025-05-07T01:36:19Z,,,0.567920,2280.957031
2025-05-07T01:36:20Z,,,0.903744,2280.957031
2025-05-07T01:36:21Z,,,0.474386,2280.957031
2025-05-07T01:36:22Z,,,0.526432,2280.953125
2025-05-07T01:36:23Z,,,3.801700,2280.964844
2025-05-07T01:36:24Z,,,0.560000,2280.960938
2025-05-07T01:36:25Z,,,0.516792,2280.960938
2025-05-07T01:36:26Z,,,0.555188,2280.960938
2025-05-07T01:36:27Z,,,0.540349,2280.960938
2025-05-07T01:36:28Z,,,3.595800,2281.339844
2025-05-07T01:36:29Z,,,0.553166,2280.964844
2025-05-07T01:36:30Z,,,0.566584,2280.960938
2025-05-07T01:36:31Z,,,0.541754,2280.960938
2025-05-07T01:36:32Z,,,0.521900,2280.960938
2025-05-07T01:36:33Z,,,0.552141,2280.960938
2025-05-07T01:36:34Z,,,3.558291,2280.851562
2025-05-07T01:36:35Z,,,0.510932,2280.855469
2025-05-07T01:36:36Z,,,0.534925,2280.851562
2025-05-07T01:36:37Z,,,0.872581,2280.851562
2025-05-07T01:36:38Z,,,0.521191,2280.855469
