time,msg-rate-per-second[mysql-to-kafka],msg-megabytes-in-per-second[mysql-to-kafka],msg-megabytes-out-per-second[mysql-to-kafka]
2025-04-29T17:27:52Z,96900.000000,4.577639,4.307539
2025-04-29T17:27:53Z,100000.000000,2.336502,4.673004
2025-04-29T17:27:54Z,100000.000000,4.673004,4.673004
2025-04-29T17:27:55Z,50001.000000,4.673098,2.336549
2025-04-29T17:27:56Z,100001.000000,4.673004,4.673051
2025-04-29T17:27:57Z,100000.000000,4.673004,4.673004
2025-04-29T17:27:58Z,100000.000000,2.336502,4.673004
2025-04-29T17:27:59Z,50000.000000,4.673051,2.336502
2025-04-29T17:28:00Z,100002.000000,4.673051,4.673098
2025-04-29T17:28:01Z,100000.000000,4.673051,4.673004
2025-04-29T17:28:02Z,100002.000000,2.336562,4.673111
2025-04-29T17:28:03Z,50000.000000,4.961836,2.434599
2025-04-29T17:28:04Z,100000.000000,5.054474,5.054474
2025-04-29T17:28:05Z,100001.000000,5.054575,5.054524
2025-04-29T17:28:06Z,100002.000000,5.054575,5.054575
2025-04-29T17:28:07Z,100002.000000,2.527287,5.054575
2025-04-29T17:28:08Z,50001.000000,5.054524,2.527287
2025-04-29T17:28:09Z,100000.000000,5.054474,5.054474
2025-04-29T17:28:10Z,100000.000000,5.054524,5.054474
2025-04-29T17:28:11Z,100002.000000,5.054524,5.054575
2025-04-29T17:28:12Z,100000.000000,2.527237,5.054474
2025-04-29T17:28:13Z,50000.000000,5.054474,2.527237
2025-04-29T17:28:14Z,100001.000000,5.054575,5.054524
2025-04-29T17:28:15Z,100002.000000,5.054575,5.054575
2025-04-29T17:28:16Z,100001.000000,2.527237,5.054524
2025-04-29T17:28:17Z,86924.000000,5.054474,5.054474
2025-04-29T17:28:18Z,63076.000000,5.054524,2.527237
2025-04-29T17:28:19Z,100001.000000,5.054524,5.054524
2025-04-29T17:28:20Z,100001.000000,5.054474,5.054524
2025-04-29T17:28:21Z,100000.000000,2.527237,5.054474
2025-04-29T17:28:22Z,50000.000000,5.054474,2.527237
2025-04-29T17:28:23Z,100001.000000,5.054575,5.054524
2025-04-29T17:28:24Z,100002.000000,2.527287,5.054575
2025-04-29T17:28:25Z,0.000000,0.000000,0.000000
2025-04-29T17:28:26Z,0.000000,0.000000,0.000000
2025-04-29T17:28:27Z,0.000000,0.000000,0.000000
2025-04-29T17:28:28Z,0.000000,0.000000,0.000000
2025-04-29T17:28:29Z,0.000000,0.000000,0.000000
2025-04-29T17:28:30Z,0.000000,0.000000,0.000000
2025-04-29T17:28:31Z,0.000000,0.000000,0.000000
2025-04-29T17:28:32Z,0.000000,0.000000,0.000000
2025-04-29T17:28:33Z,0.000000,0.000000,0.000000
2025-04-29T17:28:34Z,0.000000,0.000000,0.000000
2025-04-29T17:28:35Z,0.000000,0.000000,0.000000
2025-04-29T17:28:36Z,0.000000,0.000000,0.000000
2025-04-29T17:28:37Z,0.000000,0.000000,0.000000
2025-04-29T17:28:38Z,0.000000,0.000000,0.000000
2025-04-29T17:28:39Z,0.000000,0.000000,0.000000
2025-04-29T17:28:40Z,0.000000,0.000000,0.000000
2025-04-29T17:28:41Z,0.000000,0.000000,0.000000
2025-04-29T17:28:42Z,0.000000,0.000000,0.000000
2025-04-29T17:28:43Z,0.000000,0.000000,0.000000
2025-04-29T17:28:44Z,0.000000,0.000000,0.000000
2025-04-29T17:28:45Z,0.000000,0.000000,0.000000
2025-04-29T17:28:46Z,0.000000,0.000000,0.000000
2025-04-29T17:28:47Z,0.000000,0.000000,0.000000
2025-04-29T17:28:48Z,0.000000,0.000000,0.000000
2025-04-29T17:28:49Z,0.000000,0.000000,0.000000
2025-04-29T17:28:50Z,0.000000,0.000000,0.000000
2025-04-29T17:28:51Z,0.000000,0.000000,0.000000
2025-04-29T17:28:52Z,0.000000,0.000000,0.000000
2025-04-29T17:28:53Z,0.000000,0.000000,0.000000
2025-04-29T17:28:54Z,0.000000,0.000000,0.000000
2025-04-29T17:28:55Z,0.000000,0.000000,0.000000
2025-04-29T17:28:56Z,0.000000,0.000000,0.000000
2025-04-29T17:28:57Z,0.000000,0.000000,0.000000
2025-04-29T17:28:58Z,0.000000,0.000000,0.000000
2025-04-29T17:28:59Z,0.000000,0.000000,0.000000
2025-04-29T17:29:00Z,0.000000,0.000000,0.000000
2025-04-29T17:29:01Z,0.000000,0.000000,0.000000
2025-04-29T17:29:02Z,0.000000,0.000000,0.000000
2025-04-29T17:29:03Z,0.000000,0.000000,0.000000
2025-04-29T17:29:04Z,0.000000,0.000000,0.000000
2025-04-29T17:29:05Z,0.000000,0.000000,0.000000
2025-04-29T17:29:06Z,0.000000,0.000000,0.000000
2025-04-29T17:29:07Z,0.000000,0.000000,0.000000
2025-04-29T17:29:08Z,0.000000,0.000000,0.000000
2025-04-29T17:29:09Z,0.000000,0.000000,0.000000
2025-04-29T17:29:10Z,0.000000,0.000000,0.000000
2025-04-29T17:29:11Z,0.000000,0.000000,0.000000
2025-04-29T17:29:12Z,0.000000,0.000000,0.000000
2025-04-29T17:29:13Z,0.000000,0.000000,0.000000
2025-04-29T17:29:14Z,0.000000,0.000000,0.000000
2025-04-29T17:29:15Z,0.000000,0.000000,0.000000
2025-04-29T17:29:16Z,0.000000,0.000000,0.000000
2025-04-29T17:29:17Z,0.000000,0.000000,0.000000
2025-04-29T17:29:18Z,0.000000,0.000000,0.000000
2025-04-29T17:29:19Z,0.000000,0.000000,0.000000
