time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-29T17:27:49Z,0.081239,58.171875,,
2025-04-29T17:27:50Z,158.677029,430.304688,,
2025-04-29T17:27:51Z,137.012932,626.269531,,
2025-04-29T17:27:52Z,199.152242,643.191406,,
2025-04-29T17:27:53Z,210.500597,615.015625,,
2025-04-29T17:27:54Z,189.123599,521.980469,,
2025-04-29T17:27:55Z,208.793350,558.109375,,
2025-04-29T17:27:56Z,198.026835,557.472656,,
2025-04-29T17:27:57Z,213.609072,593.800781,,
2025-04-29T17:27:58Z,204.040818,595.085938,,
2025-04-29T17:27:59Z,202.020756,560.160156,,
2025-04-29T17:28:00Z,199.076119,587.234375,,
2025-04-29T17:28:01Z,209.042769,655.695312,,
2025-04-29T17:28:02Z,206.872596,606.304688,,
2025-04-29T17:28:03Z,210.159490,570.812500,,
2025-04-29T17:28:04Z,212.407301,544.082031,,
2025-04-29T17:28:05Z,217.752551,629.656250,,
2025-04-29T17:28:06Z,229.837635,562.125000,,
2025-04-29T17:28:07Z,219.296124,631.800781,,
2025-04-29T17:28:08Z,211.259233,594.363281,,
2025-04-29T17:28:09Z,220.181523,663.355469,,
2025-04-29T17:28:10Z,221.855138,576.023438,,
2025-04-29T17:28:11Z,221.099434,578.207031,,
2025-04-29T17:28:12Z,215.680918,593.890625,,
2025-04-29T17:28:13Z,220.878372,556.941406,,
2025-04-29T17:28:14Z,213.594055,576.527344,,
2025-04-29T17:28:15Z,217.364365,618.203125,,
2025-04-29T17:28:16Z,232.572953,645.558594,,
2025-04-29T17:28:17Z,219.577846,590.214844,,
2025-04-29T17:28:18Z,211.470229,570.839844,,
2025-04-29T17:28:19Z,217.200905,543.546875,,
2025-04-29T17:28:20Z,224.265612,507.722656,,
2025-04-29T17:28:21Z,218.820101,533.179688,,
2025-04-29T17:28:22Z,208.082300,578.527344,,
2025-04-29T17:28:23Z,167.436122,639.468750,,
2025-04-29T17:28:24Z,0.456683,639.476562,,
2025-04-29T17:28:25Z,0.442335,639.500000,,
2025-04-29T17:28:26Z,0.422929,639.500000,,
2025-04-29T17:28:27Z,0.427949,639.507812,,
2025-04-29T17:28:28Z,0.418291,639.507812,,
2025-04-29T17:28:29Z,0.442613,639.507812,,
2025-04-29T17:28:30Z,0.407700,639.515625,,
2025-04-29T17:28:31Z,0.436142,639.359375,,
2025-04-29T17:28:32Z,0.475848,639.378906,,
2025-04-29T17:28:33Z,0.424203,639.378906,,
2025-04-29T17:28:34Z,0.423860,639.382812,,
2025-04-29T17:28:35Z,0.444949,639.386719,,
2025-04-29T17:28:36Z,0.435477,639.386719,,
2025-04-29T17:28:37Z,0.462020,639.390625,,
2025-04-29T17:28:38Z,0.427909,639.394531,,
2025-04-29T17:28:39Z,0.421910,639.394531,,
2025-04-29T17:28:40Z,0.453734,639.406250,,
2025-04-29T17:28:41Z,0.431818,639.410156,,
2025-04-29T17:28:42Z,0.414005,639.414062,,
2025-04-29T17:28:43Z,0.397093,639.414062,,
2025-04-29T17:28:44Z,0.428152,638.988281,,
2025-04-29T17:28:45Z,0.429018,638.992188,,
2025-04-29T17:28:46Z,0.441013,639.000000,,
2025-04-29T17:28:47Z,0.443655,638.992188,,
2025-04-29T17:28:48Z,0.430955,639.003906,,
2025-04-29T17:28:49Z,0.424800,638.996094,,
2025-04-29T17:28:50Z,0.445816,639.003906,,
2025-04-29T17:28:51Z,0.427337,639.003906,,
2025-04-29T17:28:52Z,0.428413,639.003906,,
2025-04-29T17:28:53Z,0.427506,639.007812,,
2025-04-29T17:28:54Z,0.445685,639.007812,,
2025-04-29T17:28:55Z,0.413033,639.011719,,
2025-04-29T17:28:56Z,0.433149,639.007812,,
2025-04-29T17:28:57Z,0.446684,639.011719,,
2025-04-29T17:28:58Z,0.426937,639.007812,,
2025-04-29T17:28:59Z,0.414141,639.011719,,
2025-04-29T17:29:00Z,0.419542,639.007812,,
2025-04-29T17:29:01Z,0.452864,639.011719,,
2025-04-29T17:29:02Z,0.434514,639.007812,,
2025-04-29T17:29:03Z,0.408579,639.007812,,
2025-04-29T17:29:04Z,0.431859,639.007812,,
2025-04-29T17:29:05Z,0.435388,639.007812,,
2025-04-29T17:29:06Z,0.427839,639.007812,,
2025-04-29T17:29:07Z,0.415262,639.007812,,
2025-04-29T17:29:08Z,0.430977,639.007812,,
2025-04-29T17:29:09Z,0.430177,639.007812,,
2025-04-29T17:29:10Z,0.419549,639.011719,,
2025-04-29T17:29:11Z,0.419397,639.011719,,
2025-04-29T17:29:12Z,0.409091,639.015625,,
2025-04-29T17:29:13Z,0.437063,639.015625,,
2025-04-29T17:29:14Z,0.441000,639.015625,,
2025-04-29T17:29:15Z,0.445126,639.015625,,
2025-04-29T17:29:16Z,0.423819,639.015625,,
2025-04-29T17:29:17Z,0.435216,639.023438,,
2025-04-29T17:29:18Z,0.437481,639.023438,,
2025-04-29T17:29:19Z,0.403116,639.023438,,
