time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-04-29T17:30:45Z,,,4.579087,1470.203125
2025-04-29T17:30:46Z,,,258.026833,1497.179688
2025-04-29T17:30:47Z,,,256.903840,1502.484375
2025-04-29T17:30:48Z,,,263.314400,1644.285156
2025-04-29T17:30:49Z,,,196.427494,1759.460938
2025-04-29T17:30:50Z,,,163.565204,1953.804688
2025-04-29T17:30:51Z,,,192.543317,2039.093750
2025-04-29T17:30:52Z,,,193.406364,2129.730469
2025-04-29T17:30:53Z,,,207.787870,2201.207031
2025-04-29T17:30:54Z,,,233.600404,2399.390625
2025-04-29T17:30:55Z,,,263.535918,2485.367188
2025-04-29T17:30:56Z,,,262.138362,2485.484375
2025-04-29T17:30:57Z,,,260.610982,2483.585938
2025-04-29T17:30:58Z,,,261.210332,2483.371094
2025-04-29T17:30:59Z,,,276.637794,2406.140625
2025-04-29T17:31:00Z,,,271.603958,2487.890625
2025-04-29T17:31:01Z,,,261.857113,2499.921875
2025-04-29T17:31:02Z,,,277.608041,2505.699219
2025-04-29T17:31:03Z,,,283.957921,2361.257812
2025-04-29T17:31:04Z,,,259.589618,2408.523438
2025-04-29T17:31:05Z,,,221.655276,2491.484375
2025-04-29T17:31:06Z,,,233.065131,2044.421875
2025-04-29T17:31:07Z,,,199.690471,2100.300781
2025-04-29T17:31:08Z,,,211.622886,2100.468750
2025-04-29T17:31:09Z,,,202.630075,2100.453125
2025-04-29T17:31:10Z,,,132.355408,2100.703125
2025-04-29T17:31:11Z,,,4.205600,2100.601562
2025-04-29T17:31:12Z,,,2.581010,2100.601562
2025-04-29T17:31:13Z,,,14.022076,2100.601562
2025-04-29T17:31:14Z,,,0.590327,2100.601562
2025-04-29T17:31:15Z,,,0.841612,2100.609375
2025-04-29T17:31:16Z,,,4.508571,2100.605469
2025-04-29T17:31:17Z,,,0.702368,2100.601562
2025-04-29T17:31:18Z,,,0.544221,2100.601562
2025-04-29T17:31:19Z,,,0.548111,2100.601562
2025-04-29T17:31:20Z,,,0.708170,2100.601562
2025-04-29T17:31:21Z,,,3.620648,2100.960938
2025-04-29T17:31:22Z,,,0.673434,2100.609375
2025-04-29T17:31:23Z,,,0.529825,2100.609375
2025-04-29T17:31:24Z,,,0.546667,2100.609375
2025-04-29T17:31:25Z,,,0.551278,2100.609375
2025-04-29T17:31:26Z,,,0.675789,2100.609375
2025-04-29T17:31:27Z,,,4.850781,2100.625000
2025-04-29T17:31:28Z,,,0.973165,2100.613281
2025-04-29T17:31:29Z,,,0.528700,2100.613281
2025-04-29T17:31:30Z,,,0.576837,2100.613281
2025-04-29T17:31:31Z,,,1.379649,2100.613281
2025-04-29T17:31:32Z,,,3.725570,2100.625000
2025-04-29T17:31:33Z,,,0.540050,2100.625000
2025-04-29T17:31:34Z,,,0.545200,2100.625000
2025-04-29T17:31:35Z,,,0.562317,2100.625000
2025-04-29T17:31:36Z,,,0.601809,2100.621094
2025-04-29T17:31:37Z,,,4.338853,2100.640625
2025-04-29T17:31:38Z,,,0.652456,2100.640625
2025-04-29T17:31:39Z,,,0.869648,2100.640625
2025-04-29T17:31:40Z,,,0.535980,2100.640625
2025-04-29T17:31:41Z,,,0.958703,2100.640625
2025-04-29T17:31:42Z,,,3.598886,2100.640625
2025-04-29T17:31:43Z,,,0.532000,2100.640625
2025-04-29T17:31:44Z,,,0.527797,2100.640625
2025-04-29T17:31:45Z,,,1.822630,2100.511719
2025-04-29T17:31:46Z,,,0.733636,2100.511719
2025-04-29T17:31:47Z,,,3.571500,2100.531250
2025-04-29T17:31:48Z,,,0.535761,2100.531250
2025-04-29T17:31:49Z,,,0.749899,2100.531250
2025-04-29T17:31:50Z,,,0.565038,2100.531250
2025-04-29T17:31:51Z,,,0.684635,2100.531250
2025-04-29T17:31:52Z,,,3.769262,2100.531250
2025-04-29T17:31:53Z,,,0.580451,2100.535156
2025-04-29T17:31:54Z,,,1.601310,2100.531250
2025-04-29T17:31:55Z,,,0.547677,2100.531250
2025-04-29T17:31:56Z,,,0.688665,2100.187500
2025-04-29T17:31:57Z,,,4.083655,2100.199219
2025-04-29T17:31:58Z,,,0.628889,2100.199219
2025-04-29T17:31:59Z,,,0.532060,2100.199219
2025-04-29T17:32:00Z,,,0.583000,2100.199219
2025-04-29T17:32:01Z,,,0.635657,2100.199219
2025-04-29T17:32:02Z,,,3.602323,2100.242188
2025-04-29T17:32:03Z,,,0.528379,2100.207031
2025-04-29T17:32:04Z,,,0.896263,2100.203125
2025-04-29T17:32:05Z,,,0.565685,2100.203125
2025-04-29T17:32:06Z,,,0.524268,2100.203125
2025-04-29T17:32:07Z,,,3.557193,2100.207031
2025-04-29T17:32:08Z,,,0.491529,2100.210938
2025-04-29T17:32:09Z,,,0.521300,2100.210938
2025-04-29T17:32:10Z,,,0.512343,2100.207031
2025-04-29T17:32:11Z,,,0.550677,2100.089844
2025-04-29T17:32:12Z,,,3.604444,2100.136719
2025-04-29T17:32:13Z,,,0.513065,2100.093750
2025-04-29T17:32:15Z,,,0.518485,2100.093750
2025-04-29T17:32:16Z,,,0.559497,2100.093750
