time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-08T14:37:49Z,0.440660,29.523438,,
2025-05-08T14:37:50Z,1.139604,30.386719,,
2025-05-08T14:37:51Z,0.884658,30.554688,,
2025-05-08T14:37:52Z,0.961633,31.523438,,
2025-05-08T14:37:53Z,1.033970,31.687500,,
2025-05-08T14:37:54Z,0.982030,31.902344,,
2025-05-08T14:37:55Z,1.054800,32.875000,,
2025-05-08T14:37:56Z,0.916401,33.027344,,
2025-05-08T14:37:57Z,0.922640,33.183594,,
2025-05-08T14:37:58Z,0.878575,33.375000,,
2025-05-08T14:37:59Z,0.916071,33.558594,,
2025-05-08T14:38:00Z,0.914600,34.761719,,
2025-05-08T14:38:01Z,0.894874,34.945312,,
2025-05-08T14:38:02Z,1.003333,35.171875,,
2025-05-08T14:38:03Z,0.980655,35.343750,,
2025-05-08T14:38:04Z,0.896101,35.523438,,
2025-05-08T14:38:05Z,0.939500,35.699219,,
2025-05-08T14:38:06Z,1.001717,35.914062,,
2025-05-08T14:38:07Z,1.075939,36.117188,,
2025-05-08T14:38:08Z,0.889572,36.316406,,
2025-05-08T14:38:09Z,0.970151,36.511719,,
2025-05-08T14:38:10Z,1.005354,37.710938,,
2025-05-08T14:38:11Z,0.939542,37.894531,,
2025-05-08T14:38:12Z,0.938127,38.937500,,
2025-05-08T14:38:13Z,0.882922,39.136719,,
2025-05-08T14:38:14Z,1.004264,39.347656,,
2025-05-08T14:38:15Z,0.941608,39.562500,,
2025-05-08T14:38:16Z,0.918496,39.757812,,
2025-05-08T14:38:17Z,0.904631,39.984375,,
2025-05-08T14:38:18Z,0.920403,40.175781,,
2025-05-08T14:38:19Z,1.018117,40.394531,,
2025-05-08T14:38:20Z,1.879596,40.523438,,
2025-05-08T14:38:21Z,0.934731,40.613281,,
2025-05-08T14:38:22Z,0.918380,40.714844,,
2025-05-08T14:38:23Z,0.949421,40.808594,,
2025-05-08T14:38:24Z,0.890505,40.917969,,
2025-05-08T14:38:25Z,0.903650,40.953125,,
2025-05-08T14:38:26Z,0.886240,40.980469,,
2025-05-08T14:38:27Z,0.904975,41.066406,,
2025-05-08T14:38:28Z,0.870932,41.089844,,
2025-05-08T14:38:29Z,0.898329,41.097656,,
2025-05-08T14:38:30Z,0.897556,41.121094,,
2025-05-08T14:38:31Z,0.892962,41.136719,,
2025-05-08T14:38:32Z,0.872185,41.144531,,
2025-05-08T14:38:33Z,0.817512,41.144531,,
2025-05-08T14:38:34Z,0.909184,41.144531,,
2025-05-08T14:38:35Z,0.892723,41.152344,,
2025-05-08T14:38:36Z,0.986025,41.183594,,
2025-05-08T14:38:37Z,0.880305,41.187500,,
2025-05-08T14:38:38Z,0.948200,41.199219,,
2025-05-08T14:38:39Z,1.026531,41.207031,,
2025-05-08T14:38:40Z,0.880000,41.261719,,
2025-05-08T14:38:41Z,0.880916,41.269531,,
2025-05-08T14:38:42Z,0.909671,41.308594,,
2025-05-08T14:38:43Z,0.876308,41.316406,,
2025-05-08T14:38:44Z,0.890404,41.328125,,
2025-05-08T14:38:45Z,0.968776,41.347656,,
2025-05-08T14:38:46Z,0.913316,41.351562,,
2025-05-08T14:38:47Z,0.951144,41.382812,,
2025-05-08T14:38:48Z,0.998477,41.386719,,
2025-05-08T14:38:49Z,0.873300,41.390625,,
2025-05-08T14:38:50Z,1.045598,42.394531,,
2025-05-08T14:38:51Z,0.925000,42.382812,,
2025-05-08T14:38:52Z,0.875466,42.429688,,
2025-05-08T14:38:53Z,0.899600,42.433594,,
2025-05-08T14:38:54Z,0.851256,42.437500,,
2025-05-08T14:38:55Z,0.848485,42.441406,,
2025-05-08T14:38:56Z,0.964152,42.445312,,
2025-05-08T14:38:57Z,0.984181,42.433594,,
2025-05-08T14:38:58Z,0.934610,42.441406,,
2025-05-08T14:38:59Z,0.911959,42.472656,,
2025-05-08T14:39:00Z,0.899691,43.492188,,
2025-05-08T14:39:01Z,0.911494,43.519531,,
2025-05-08T14:39:02Z,0.996531,43.585938,,
2025-05-08T14:39:03Z,0.952690,43.597656,,
2025-05-08T14:39:04Z,0.945678,43.613281,,
2025-05-08T14:39:05Z,0.989798,43.632812,,
2025-05-08T14:39:06Z,0.846224,43.664062,,
2025-05-08T14:39:07Z,0.823210,43.699219,,
2025-05-08T14:39:08Z,0.877975,43.773438,,
2025-05-08T14:39:09Z,0.986599,43.875000,,
2025-05-08T14:39:10Z,0.940510,44.906250,,
2025-05-08T14:39:11Z,0.825954,45.070312,,
2025-05-08T14:39:12Z,103.108163,182.128906,,
2025-05-08T14:39:13Z,203.949691,323.886719,,
2025-05-08T14:39:14Z,215.208000,359.656250,,
2025-05-08T14:39:15Z,208.087132,253.437500,,
2025-05-08T14:39:16Z,208.834465,244.046875,,
2025-05-08T14:39:17Z,207.663239,296.144531,,
2025-05-08T14:39:18Z,211.622097,261.363281,,
2025-05-08T14:39:19Z,209.112585,258.062500,,
2025-05-08T14:39:20Z,203.940658,246.632812,,
2025-05-08T14:39:21Z,218.540524,305.765625,,
2025-05-08T14:39:22Z,208.638593,300.019531,,
2025-05-08T14:39:23Z,213.123907,273.082031,,
2025-05-08T14:39:24Z,210.967273,312.777344,,
2025-05-08T14:39:25Z,210.375408,263.414062,,
2025-05-08T14:39:26Z,206.701846,305.226562,,
2025-05-08T14:39:27Z,200.988571,261.953125,,
2025-05-08T14:39:28Z,196.505333,262.441406,,
2025-05-08T14:39:29Z,209.210228,266.679688,,
2025-05-08T14:39:30Z,206.668731,238.253906,,
2025-05-08T14:39:31Z,211.277811,253.367188,,
2025-05-08T14:39:32Z,200.229110,242.523438,,
2025-05-08T14:39:33Z,210.243532,248.996094,,
2025-05-08T14:39:34Z,216.230777,249.593750,,
2025-05-08T14:39:35Z,205.724948,287.437500,,
2025-05-08T14:39:36Z,213.125222,280.476562,,
2025-05-08T14:39:37Z,221.150643,291.093750,,
2025-05-08T14:39:38Z,211.675990,241.492188,,
2025-05-08T14:39:39Z,222.915895,299.390625,,
2025-05-08T14:39:40Z,205.855918,297.722656,,
2025-05-08T14:39:41Z,209.721860,269.500000,,
2025-05-08T14:39:42Z,202.798690,244.210938,,
2025-05-08T14:39:43Z,221.505501,279.656250,,
2025-05-08T14:39:44Z,219.481354,256.929688,,
2025-05-08T14:39:45Z,212.676250,240.406250,,
2025-05-08T14:39:46Z,222.512935,294.457031,,
2025-05-08T14:39:47Z,211.750130,253.488281,,
2025-05-08T14:39:48Z,232.084433,249.960938,,
2025-05-08T14:39:49Z,209.386599,297.125000,,
