time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-05-08T14:39:15Z,59087.000000,26.615004,
2025-05-08T14:39:16Z,40282.000000,25.920588,
2025-05-08T14:39:17Z,46753.000000,24.751936,
2025-05-08T14:39:18Z,48585.000000,25.724319,
2025-05-08T14:39:19Z,45268.000000,23.966790,
2025-05-08T14:39:20Z,48716.000000,25.795492,
2025-05-08T14:39:21Z,47355.000000,25.074806,
2025-05-08T14:39:22Z,49070.000000,25.986467,
2025-05-08T14:39:23Z,49069.000000,25.992438,
2025-05-08T14:39:24Z,48471.000000,25.665621,
2025-05-08T14:39:25Z,48811.000000,25.847314,
2025-05-08T14:39:26Z,48297.000000,25.579852,
2025-05-08T14:39:27Z,48148.000000,23.304107,
2025-05-08T14:39:28Z,44256.000000,25.634736,
2025-05-08T14:39:29Z,46961.000000,23.148488,
2025-05-08T14:39:30Z,55595.000000,26.638099,
2025-05-08T14:39:31Z,40616.000000,26.053597,
2025-05-08T14:39:32Z,59298.000000,26.112007,
2025-05-08T14:39:33Z,40002.000000,24.102349,
2025-05-08T14:39:34Z,46547.000000,26.877195,
2025-05-08T14:39:35Z,48568.000000,26.137724,
2025-05-08T14:39:36Z,49039.000000,26.118390,
2025-05-08T14:39:37Z,49390.000000,24.724863,
2025-05-08T14:39:38Z,46267.000000,24.188123,
2025-05-08T14:39:39Z,47442.000000,24.049347,
2025-05-08T14:39:40Z,55571.000000,28.155132,
2025-05-08T14:39:41Z,40857.000000,27.278075,
2025-05-08T14:39:42Z,48506.000000,25.680478,
2025-05-08T14:39:43Z,49352.000000,22.223214,
2025-05-08T14:39:44Z,51849.000000,28.877011,
2025-05-08T14:39:45Z,43849.000000,25.205546,
2025-05-08T14:39:46Z,48115.000000,24.108481,
2025-05-08T14:39:47Z,49082.000000,26.633525,
2025-05-08T14:39:48Z,48038.000000,24.322029,
2025-05-08T14:39:49Z,47390.000000,28.155662,
