time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-08T14:47:13Z,,,7.459760,2418.757812
2025-05-08T14:47:14Z,,,135.994774,2424.039062
2025-05-08T14:47:15Z,,,213.222785,2425.191406
2025-05-08T14:47:16Z,,,202.760101,2425.363281
2025-05-08T14:47:17Z,,,225.287318,2442.042969
2025-05-08T14:47:18Z,,,235.802937,2464.117188
2025-05-08T14:47:19Z,,,224.523636,2465.816406
2025-05-08T14:47:20Z,,,238.634051,2466.160156
2025-05-08T14:47:21Z,,,228.441872,2466.445312
2025-05-08T14:47:22Z,,,230.074386,2467.214844
2025-05-08T14:47:23Z,,,178.249897,2467.140625
2025-05-08T14:47:24Z,,,149.060256,2467.292969
2025-05-08T14:47:25Z,,,144.503242,2467.195312
2025-05-08T14:47:26Z,,,149.787653,2750.101562
2025-05-08T14:47:27Z,,,139.857026,3494.253906
2025-05-08T14:47:28Z,,,135.005524,4235.363281
2025-05-08T14:47:29Z,,,138.744062,4982.000000
2025-05-08T14:47:30Z,,,138.282626,5718.500000
2025-05-08T14:47:31Z,,,141.165367,6476.867188
2025-05-08T14:47:32Z,,,138.291940,6910.074219
2025-05-08T14:47:33Z,,,172.334700,6910.433594
2025-05-08T14:47:34Z,,,144.393400,6931.718750
2025-05-08T14:47:35Z,,,149.423980,6938.339844
2025-05-08T14:47:36Z,,,148.026394,6938.160156
2025-05-08T14:47:37Z,,,181.058866,6940.605469
2025-05-08T14:47:38Z,,,151.953620,6949.871094
2025-05-08T14:47:39Z,,,154.348962,6949.871094
2025-05-08T14:47:40Z,,,142.954937,6950.113281
2025-05-08T14:47:41Z,,,148.814518,6949.871094
2025-05-08T14:47:42Z,,,181.707475,6949.921875
2025-05-08T14:47:43Z,,,152.261279,6950.144531
2025-05-08T14:47:44Z,,,148.461247,6955.601562
2025-05-08T14:47:45Z,,,143.063511,6955.605469
2025-05-08T14:47:46Z,,,147.861485,6955.929688
2025-05-08T14:47:47Z,,,154.384467,6955.710938
2025-05-08T14:47:48Z,,,143.521823,6955.964844
2025-05-08T14:47:49Z,,,144.956171,6955.972656
2025-05-08T14:47:50Z,,,144.162105,6955.738281
2025-05-08T14:47:51Z,,,146.738990,6955.738281
2025-05-08T14:47:52Z,,,180.877200,6955.890625
2025-05-08T14:47:53Z,,,148.589596,6955.886719
2025-05-08T14:47:54Z,,,142.554950,6955.957031
2025-05-08T14:47:55Z,,,147.677238,6955.976562
2025-05-08T14:47:56Z,,,141.485327,6955.976562
2025-05-08T14:47:57Z,,,150.268283,6955.984375
2025-05-08T14:47:58Z,,,149.165128,6956.257812
2025-05-08T14:47:59Z,,,141.919398,6956.019531
2025-05-08T14:48:00Z,,,145.340923,6956.058594
2025-05-08T14:48:01Z,,,145.213873,6956.179688
2025-05-08T14:48:02Z,,,149.275918,6956.472656
2025-05-08T14:48:03Z,,,148.436392,6956.078125
2025-05-08T14:48:04Z,,,141.092060,6956.070312
2025-05-08T14:48:05Z,,,141.972051,6956.316406
2025-05-08T14:48:06Z,,,150.163711,6955.976562
2025-05-08T14:48:07Z,,,140.027232,6955.984375
2025-05-08T14:48:08Z,,,153.653537,6956.000000
2025-05-08T14:48:09Z,,,145.584490,6956.125000
2025-05-08T14:48:10Z,,,139.767475,6956.246094
2025-05-08T14:48:11Z,,,147.967071,6956.472656
2025-05-08T14:48:12Z,,,144.894481,6956.492188
2025-05-08T14:48:13Z,,,154.447059,6956.644531
2025-05-08T14:48:14Z,,,148.270881,6956.523438
2025-05-08T14:48:15Z,,,143.230588,6956.523438
2025-05-08T14:48:16Z,,,143.617910,6956.750000
2025-05-08T14:48:17Z,,,137.669273,6956.648438
2025-05-08T14:48:18Z,,,148.289412,6956.539062
2025-05-08T14:48:19Z,,,147.078788,6956.476562
2025-05-08T14:48:20Z,,,145.056304,6956.480469
2025-05-08T14:48:21Z,,,129.048304,6956.480469
2025-05-08T14:48:22Z,,,143.995676,6957.597656
2025-05-08T14:48:23Z,,,150.167320,6957.609375
2025-05-08T14:48:24Z,,,141.709630,6957.843750
2025-05-08T14:48:26Z,,,140.986169,6957.617188
2025-05-08T14:48:27Z,,,143.977531,6957.609375
2025-05-08T14:48:28Z,,,145.336768,6957.613281
2025-05-08T14:48:29Z,,,144.873451,6957.617188
2025-05-08T14:48:30Z,,,142.257903,6957.613281
2025-05-08T14:48:31Z,,,145.982667,6957.621094
2025-05-08T14:48:32Z,,,139.848500,6957.617188
2025-05-08T14:48:33Z,,,148.212893,6957.621094
2025-05-08T14:48:34Z,,,148.997755,6957.632812
2025-05-08T14:48:35Z,,,141.874835,6957.636719
2025-05-08T14:48:36Z,,,164.133636,6957.816406
2025-05-08T14:48:37Z,,,144.891574,6957.675781
2025-05-08T14:48:38Z,,,142.528665,6957.683594
2025-05-08T14:48:39Z,,,148.487859,6957.796875
2025-05-08T14:48:40Z,,,165.756800,6957.757812
2025-05-08T14:48:41Z,,,143.725743,6957.753906
2025-05-08T14:48:42Z,,,143.490553,6957.691406
2025-05-08T14:48:43Z,,,147.002292,6957.941406
2025-05-08T14:48:44Z,,,158.923980,6958.460938
2025-05-08T14:48:45Z,,,143.277936,6957.785156
2025-05-08T14:48:46Z,,,146.075000,6958.000000
2025-05-08T14:48:47Z,,,155.449442,6957.843750
2025-05-08T14:48:48Z,,,142.131870,6957.843750
2025-05-08T14:48:49Z,,,147.181333,6958.035156
2025-05-08T14:48:50Z,,,149.785600,6958.968750
2025-05-08T14:48:51Z,,,144.848593,6958.734375
2025-05-08T14:48:52Z,,,152.035743,6958.781250
2025-05-08T14:48:53Z,,,144.323137,6958.828125
2025-05-08T14:48:54Z,,,148.030777,6958.832031
2025-05-08T14:48:55Z,,,151.475589,6958.843750
2025-05-08T14:48:56Z,,,142.639499,6959.929688
2025-05-08T14:48:57Z,,,146.334939,6959.734375
2025-05-08T14:48:58Z,,,141.929013,6959.742188
2025-05-08T14:48:59Z,,,147.040203,6959.738281
2025-05-08T14:49:00Z,,,148.821320,6959.746094
2025-05-08T14:49:01Z,,,141.475900,6959.753906
2025-05-08T14:49:02Z,,,145.735141,6959.769531
2025-05-08T14:49:03Z,,,144.202239,6959.765625
2025-05-08T14:49:04Z,,,139.359800,6959.765625
2025-05-08T14:49:05Z,,,142.702857,6959.781250
2025-05-08T14:49:06Z,,,138.966497,6960.312500
2025-05-08T14:49:07Z,,,140.042312,6960.316406
2025-05-08T14:49:08Z,,,142.895494,6960.312500
2025-05-08T14:49:09Z,,,141.043392,6960.550781
2025-05-08T14:49:10Z,,,148.702626,6960.320312
2025-05-08T14:49:11Z,,,144.909394,6960.328125
2025-05-08T14:49:12Z,,,146.717449,6960.339844
2025-05-08T14:49:13Z,,,141.202667,6960.367188
2025-05-08T14:49:14Z,,,142.562105,6960.367188
