time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-05-08T14:47:16Z,17971.057884,0.186663,
2025-05-08T14:47:17Z,24493.987976,0.324201,
2025-05-08T14:47:18Z,37041.000000,0.419906,
2025-05-08T14:47:19Z,34646.000000,0.474405,
2025-05-08T14:47:20Z,39063.000000,0.499245,
2025-05-08T14:47:21Z,32218.000000,0.442419,
2025-05-08T14:47:22Z,43042.000000,0.467206,
2025-05-08T14:47:23Z,47697.000000,0.550868,
2025-05-08T14:47:24Z,41036.000000,0.624523,
2025-05-08T14:47:25Z,45714.000000,0.564570,
2025-05-08T14:47:26Z,36725.000000,0.425612,
2025-05-08T14:47:27Z,31733.000000,0.402280,
2025-05-08T14:47:28Z,27418.000000,0.399822,
2025-05-08T14:47:29Z,31052.000000,0.350508,
2025-05-08T14:47:30Z,29022.000000,0.407252,
2025-05-08T14:47:31Z,32821.000000,0.364333,
2025-05-08T14:47:32Z,38247.000000,0.440945,
2025-05-08T14:47:33Z,43003.000000,0.565478,
2025-05-08T14:47:34Z,46168.000000,0.579614,
2025-05-08T14:47:35Z,42801.000000,0.580406,
2025-05-08T14:47:36Z,44461.000000,0.527740,
2025-05-08T14:47:37Z,43131.000000,0.601421,
2025-05-08T14:47:38Z,46733.000000,0.587113,
2025-05-08T14:47:39Z,47343.000000,0.569085,
2025-05-08T14:47:40Z,47855.000000,0.527508,
2025-05-08T14:47:41Z,45245.000000,0.595080,
2025-05-08T14:47:42Z,44924.000000,0.560247,
2025-05-08T14:47:43Z,40620.000000,0.588414,
2025-05-08T14:47:44Z,48542.000000,0.570379,
2025-05-08T14:47:45Z,45529.000000,0.538837,
2025-05-08T14:47:46Z,47932.000000,0.605844,
2025-05-08T14:47:47Z,45330.000000,0.537377,
2025-05-08T14:47:48Z,46055.000000,0.606987,
2025-05-08T14:47:49Z,45826.000000,0.584503,
2025-05-08T14:47:50Z,42422.000000,0.597270,
2025-05-08T14:47:51Z,48428.000000,0.582168,
2025-05-08T14:47:52Z,47894.000000,0.558380,
2025-05-08T14:47:53Z,43837.000000,0.621697,
2025-05-08T14:47:54Z,47254.000000,0.499692,
2025-05-08T14:47:55Z,46850.000000,0.656795,
2025-05-08T14:47:56Z,42853.000000,0.512320,
2025-05-08T14:47:57Z,45684.000000,0.625458,
2025-05-08T14:47:58Z,46294.000000,0.509587,
2025-05-08T14:47:59Z,46255.000000,0.582493,
2025-05-08T14:48:00Z,40421.000000,0.579919,
2025-05-08T14:48:01Z,46913.000000,0.563951,
2025-05-08T14:48:02Z,45693.000000,0.508361,
2025-05-08T14:48:03Z,45133.000000,0.590666,
2025-05-08T14:48:04Z,45953.000000,0.571099,
2025-05-08T14:48:05Z,43178.000000,0.600711,
2025-05-08T14:48:06Z,43274.000000,0.492482,
2025-05-08T14:48:07Z,44750.000000,0.632068,
2025-05-08T14:48:08Z,47008.000000,0.498627,
2025-05-08T14:48:09Z,46174.000000,0.599378,
2025-05-08T14:48:10Z,41082.000000,0.589057,
2025-05-08T14:48:11Z,47183.000000,0.493235,
2025-05-08T14:48:12Z,44001.000000,0.584208,
2025-05-08T14:48:13Z,45572.000000,0.535878,
