time,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka]
2025-05-08T14:55:15Z,0.000000,,
2025-05-08T14:55:16Z,0.000000,,
2025-05-08T14:55:17Z,73350.000000,,
2025-05-08T14:55:18Z,75000.000000,,
2025-05-08T14:55:19Z,75000.000000,,
2025-05-08T14:55:20Z,0.000000,,
2025-05-08T14:55:21Z,75000.000000,,
2025-05-08T14:55:22Z,75000.000000,,
2025-05-08T14:55:23Z,75000.000000,,
2025-05-08T14:55:24Z,75000.000000,,
2025-05-08T14:55:25Z,75000.000000,,
2025-05-08T14:55:26Z,11783.000000,,
2025-05-08T14:55:27Z,63217.000000,,
2025-05-08T14:55:28Z,75000.000000,,
2025-05-08T14:55:29Z,75000.000000,,
2025-05-08T14:55:30Z,75000.000000,,
2025-05-08T14:55:31Z,75000.000000,,
2025-05-08T14:55:32Z,75000.000000,,
2025-05-08T14:55:33Z,75000.000000,,
2025-05-08T14:55:34Z,75000.000000,,
2025-05-08T14:55:35Z,0.000000,,
2025-05-08T14:55:36Z,75000.000000,,
2025-05-08T14:55:37Z,75000.000000,,
2025-05-08T14:55:38Z,75000.000000,,
2025-05-08T14:55:39Z,75000.000000,,
2025-05-08T14:55:40Z,75000.000000,,
2025-05-08T14:55:41Z,75000.000000,,
2025-05-08T14:55:42Z,75000.000000,,
2025-05-08T14:55:43Z,75000.000000,,
2025-05-08T14:55:44Z,75000.000000,,
2025-05-08T14:55:45Z,30593.000000,,
2025-05-08T14:55:46Z,78750.000000,,
2025-05-08T14:55:47Z,40657.000000,,
2025-05-08T14:55:48Z,75000.000000,,
2025-05-08T14:55:49Z,75000.000000,,
2025-05-08T14:55:50Z,75000.000000,,
2025-05-08T14:55:51Z,75000.000000,,
2025-05-08T14:55:52Z,75000.000000,,
2025-05-08T14:55:53Z,75000.000000,,
2025-05-08T14:55:54Z,75000.000000,,
2025-05-08T14:55:55Z,75000.000000,,
2025-05-08T14:55:56Z,41540.000000,,
2025-05-08T14:55:57Z,54658.000000,,
2025-05-08T14:55:58Z,53802.000000,,
2025-05-08T14:55:59Z,75000.000000,,
2025-05-08T14:56:00Z,75000.000000,,
2025-05-08T14:56:01Z,75000.000000,,
2025-05-08T14:56:02Z,75000.000000,,
2025-05-08T14:56:03Z,75000.000000,,
2025-05-08T14:56:04Z,75000.000000,,
2025-05-08T14:56:05Z,75000.000000,,
2025-05-08T14:56:06Z,39601.000000,,
2025-05-08T14:56:07Z,110399.000000,,
2025-05-08T14:56:08Z,17743.000000,,
2025-05-08T14:56:09Z,57257.000000,,
2025-05-08T14:56:10Z,75000.000000,,
2025-05-08T14:56:11Z,75000.000000,,
2025-05-08T14:56:12Z,75000.000000,,
