time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
2025-05-08T14:55:12Z,0.103578,40.746094,,
2025-05-08T14:55:13Z,201.066061,551.519531,,
2025-05-08T14:55:14Z,196.531414,1034.714844,,
2025-05-08T14:55:15Z,214.110808,1255.421875,,
2025-05-08T14:55:16Z,257.217128,1661.265625,,
2025-05-08T14:55:17Z,206.556438,1680.449219,,
2025-05-08T14:55:18Z,180.374704,1768.335938,,
2025-05-08T14:55:19Z,250.661654,1939.359375,,
2025-05-08T14:55:20Z,172.931616,1965.222656,,
2025-05-08T14:55:21Z,245.864405,1967.402344,,
2025-05-08T14:55:22Z,255.533831,2024.746094,,
2025-05-08T14:55:23Z,176.407018,2170.914062,,
2025-05-08T14:55:24Z,214.613061,2365.250000,,
2025-05-08T14:55:25Z,247.731959,2365.566406,,
2025-05-08T14:55:26Z,224.641538,2152.222656,,
2025-05-08T14:55:27Z,201.857833,2164.156250,,
2025-05-08T14:55:28Z,275.283429,2124.027344,,
2025-05-08T14:55:29Z,233.651020,2346.683594,,
2025-05-08T14:55:30Z,204.608643,2337.132812,,
2025-05-08T14:55:31Z,252.728082,2310.390625,,
2025-05-08T14:55:32Z,218.985126,2298.812500,,
2025-05-08T14:55:33Z,170.299799,2207.949219,,
2025-05-08T14:55:34Z,227.012284,2235.925781,,
2025-05-08T14:55:35Z,220.301641,2245.453125,,
2025-05-08T14:55:36Z,210.521805,2190.378906,,
2025-05-08T14:55:37Z,274.181237,2123.378906,,
2025-05-08T14:55:38Z,274.344898,2147.449219,,
2025-05-08T14:55:39Z,225.006817,2204.738281,,
2025-05-08T14:55:40Z,205.892836,2224.527344,,
2025-05-08T14:55:41Z,256.646667,2152.238281,,
2025-05-08T14:55:42Z,244.811328,2142.222656,,
2025-05-08T14:55:43Z,205.338376,2149.671875,,
2025-05-08T14:55:44Z,257.306056,2378.726562,,
2025-05-08T14:55:45Z,223.936798,2382.726562,,
2025-05-08T14:55:46Z,222.672410,2395.269531,,
2025-05-08T14:55:47Z,260.979446,2420.316406,,
2025-05-08T14:55:48Z,186.506158,2381.144531,,
2025-05-08T14:55:49Z,272.340104,2330.757812,,
2025-05-08T14:55:50Z,291.834564,2333.914062,,
2025-05-08T14:55:51Z,218.911168,2385.726562,,
2025-05-08T14:55:52Z,206.461790,2326.527344,,
2025-05-08T14:55:53Z,253.864282,2259.523438,,
2025-05-08T14:55:54Z,262.354055,2181.847656,,
2025-05-08T14:55:55Z,237.548645,2195.515625,,
2025-05-08T14:55:56Z,197.046115,2206.773438,,
2025-05-08T14:55:57Z,243.157367,2145.757812,,
2025-05-08T14:55:58Z,291.732732,2158.933594,,
2025-05-08T14:55:59Z,204.888000,2389.835938,,
2025-05-08T14:56:00Z,239.800000,2412.179688,,
2025-05-08T14:56:01Z,261.529897,2319.277344,,
2025-05-08T14:56:02Z,256.736927,2233.562500,,
2025-05-08T14:56:03Z,244.812152,2225.941406,,
2025-05-08T14:56:04Z,208.222564,2252.281250,,
2025-05-08T14:56:05Z,253.065076,2404.042969,,
2025-05-08T14:56:06Z,222.345816,2408.199219,,
2025-05-08T14:56:07Z,236.269818,2418.437500,,
2025-05-08T14:56:08Z,257.894619,2438.902344,,
2025-05-08T14:56:09Z,202.351628,2415.375000,,
2025-05-08T14:56:10Z,261.582449,2433.132812,,
2025-05-08T14:56:11Z,257.981683,2443.691406,,
2025-05-08T14:56:12Z,181.768776,2368.546875,,
